iteration_number,unreachable_points_number
1,1
2,2637
3,4733
4,6424
5,8
6,1452
7,2909
8,4148
9,17
10,1045
11,1924
12,2696
13,19
14,824
15,1564
16,2264
17,20
18,821
19,1540
20,2267
21,25
22,731
23,1451
24,2167
25,28
26,785
27,1541
28,2236
29,30
30,783
31,1499
32,2154
33,31
34,782
35,1460
36,2245
37,31
38,770
39,1448
40,2112
41,36
42,783
43,1446
44,2096
45,34
46,767
47,1517
48,2196
49,36
50,752
51,1470
52,2163
53,38
54,741
55,1479
56,2142
57,37
58,751
59,1468
60,2206
61,40
62,772
63,1550
64,2255
65,35
66,760
67,1523
68,2219
69,42
70,755
71,1469
72,2160
73,44
74,770
75,1504
76,2225
77,48
78,754
79,1408
80,2093
81,45
82,705
83,1430
84,2096
85,47
86,814
87,1554
88,2308
89,50
90,741
91,1483
92,2207
93,46
94,758
95,1440
96,2163
97,48
98,719
99,1405
100,2066
