iteration_number,unreachable_points_number,recall
0,0,0.999045
1,1,0.998836
2,4,0.998781
3,9,0.998757
4,17,0.998772
5,28,0.998719
6,33,0.998717
7,49,0.998753
8,55,0.998711
9,66,0.998738
10,76,0.998756
11,87,0.998686
12,99,0.998696
13,115,0.998704
14,121,0.998704
15,135,0.998697
16,148,0.998667
17,161,0.998712
18,182,0.998651
19,201,0.998643
20,217,0.998621
21,240,0.998624
22,252,0.998566
23,280,0.998589
24,295,0.998554
25,310,0.998593
26,324,0.998557
27,338,0.998552
28,358,0.998548
29,375,0.998559
30,389,0.998625
31,406,0.998602
32,419,0.998591
33,444,0.998611
34,463,0.998553
35,475,0.998524
36,492,0.998509
37,502,0.998517
38,513,0.998526
39,534,0.998488
40,550,0.998430
41,562,0.998445
42,577,0.998435
43,594,0.998461
44,611,0.998411
45,630,0.998401
46,643,0.998409
47,657,0.998469
48,683,0.998463
49,699,0.998437
50,709,0.998436
51,722,0.998454
52,738,0.998399
53,759,0.998413
54,775,0.998425
55,788,0.998420
56,801,0.998361
57,819,0.998351
58,834,0.998343
59,850,0.998309
60,865,0.998280
61,885,0.998299
62,892,0.998281
63,902,0.998224
64,926,0.998196
65,941,0.998210
66,950,0.998206
67,963,0.998185
68,978,0.998197
69,988,0.998213
70,1005,0.998201
71,1015,0.998244
72,1023,0.998162
73,1045,0.998148
74,1061,0.998159
75,1073,0.998176
76,1084,0.998137
77,1099,0.998114
78,1114,0.998125
79,1129,0.998091
80,1140,0.998093
81,1159,0.998082
82,1169,0.998062
83,1186,0.998041
84,1204,0.998038
85,1213,0.998005
86,1223,0.997936
87,1231,0.997982
88,1241,0.997985
89,1255,0.997997
90,1268,0.998004
91,1286,0.997965
92,1302,0.997949
93,1314,0.997987
94,1326,0.998011
95,1342,0.997995
96,1351,0.997994
97,1367,0.997948
98,1390,0.997935
99,1402,0.997926
100,1418,0.997913
101,1436,0.997858
102,1445,0.997853
103,1461,0.997880
104,1470,0.997879
105,1480,0.997888
106,1496,0.997848
107,1512,0.997804
108,1528,0.997818
109,1544,0.997835
110,1553,0.997815
111,1562,0.997804
112,1580,0.997794
113,1592,0.997758
114,1599,0.997772
115,1614,0.997746
116,1625,0.997757
117,1632,0.997703
118,1649,0.997689
119,1659,0.997716
120,1678,0.997686
121,1690,0.997665
122,1699,0.997643
123,1706,0.997665
124,1723,0.997672
125,1739,0.997647
126,1746,0.997687
127,1753,0.997673
128,1767,0.997627
129,1779,0.997635
130,1788,0.997577
131,1806,0.997601
132,1825,0.997594
133,1838,0.997586
134,1862,0.997576
135,1874,0.997587
136,1882,0.997583
137,1894,0.997574
138,1906,0.997542
139,1918,0.997538
140,1933,0.997499
141,1949,0.997473
142,1957,0.997503
143,1973,0.997476
144,1988,0.997472
145,2001,0.997465
146,2011,0.997483
147,2015,0.997467
148,2021,0.997416
149,2032,0.997397
150,2050,0.997386
151,2067,0.997411
152,2075,0.997400
153,2086,0.997344
154,2100,0.997311
155,2120,0.997313
156,2136,0.997366
157,2149,0.997331
158,2157,0.997312
159,2177,0.997302
160,2188,0.997305
161,2205,0.997351
162,2222,0.997309
163,2232,0.997326
164,2253,0.997302
165,2262,0.997298
166,2281,0.997271
167,2289,0.997248
168,2304,0.997203
169,2316,0.997200
170,2328,0.997206
171,2344,0.997186
172,2352,0.997180
173,2363,0.997255
174,2376,0.997256
175,2384,0.997191
176,2395,0.997190
177,2408,0.997168
178,2426,0.997183
179,2437,0.997155
180,2450,0.997117
181,2467,0.997054
182,2480,0.997051
183,2492,0.997089
184,2498,0.997090
185,2513,0.997115
186,2526,0.997060
187,2538,0.997020
188,2545,0.997027
189,2562,0.996985
190,2582,0.996990
191,2595,0.997004
192,2604,0.996947
193,2621,0.996908
194,2632,0.996941
195,2642,0.996927
196,2662,0.996904
197,2676,0.996863
198,2687,0.996852
199,2698,0.996854
200,2704,0.996834
201,2718,0.996829
202,2733,0.996833
203,2748,0.996830
204,2762,0.996809
205,2776,0.996806
206,2784,0.996779
207,2794,0.996807
208,2808,0.996792
209,2823,0.996775
210,2829,0.996760
211,2843,0.996740
212,2850,0.996752
213,2858,0.996747
214,2870,0.996735
215,2884,0.996748
216,2902,0.996747
217,2908,0.996721
218,2918,0.996700
219,2935,0.996714
220,2947,0.996673
221,2965,0.996655
222,2975,0.996640
223,2990,0.996638
224,2997,0.996647
225,3016,0.996655
226,3028,0.996613
227,3041,0.996623
228,3051,0.996620
229,3062,0.996616
230,3069,0.996589
231,3082,0.996555
232,3098,0.996518
233,3111,0.996526
234,3133,0.996515
235,3145,0.996531
236,3154,0.996542
237,3168,0.996544
238,3176,0.996532
239,3192,0.996515
240,3197,0.996520
241,3211,0.996516
242,3217,0.996477
243,3226,0.996439
244,3240,0.996439
245,3251,0.996424
246,3259,0.996435
247,3270,0.996416
248,3285,0.996450
249,3298,0.996456
250,3304,0.996413
251,3311,0.996457
252,3321,0.996413
253,3330,0.996372
254,3341,0.996403
255,3362,0.996397
256,3375,0.996371
257,3390,0.996397
258,3401,0.996411
259,3412,0.996351
260,3424,0.996356
261,3436,0.996359
262,3448,0.996316
263,3459,0.996289
264,3473,0.996267
265,3479,0.996272
266,3492,0.996265
267,3503,0.996218
268,3516,0.996230
269,3526,0.996228
270,3540,0.996237
271,3558,0.996256
272,3564,0.996261
273,3573,0.996257
274,3589,0.996200
275,3604,0.996178
276,3618,0.996157
277,3630,0.996157
278,3641,0.996170
279,3656,0.996156
280,3660,0.996118
281,3667,0.996101
282,3680,0.996075
283,3697,0.996098
284,3711,0.996104
285,3721,0.996129
286,3735,0.996070
287,3746,0.996077
288,3754,0.996114
289,3766,0.996121
290,3776,0.996089
291,3788,0.996052
292,3806,0.996056
293,3817,0.996045
294,3825,0.996028
295,3839,0.996047
296,3851,0.995996
297,3863,0.995964
298,3879,0.995955
299,3888,0.995932
300,3900,0.995927
301,3906,0.995933
302,3920,0.995944
303,3930,0.995918
304,3941,0.995877
305,3955,0.995924
306,3970,0.995911
307,3980,0.995915
308,3988,0.995924
309,4005,0.995928
310,4023,0.995897
311,4032,0.995887
312,4042,0.995876
313,4054,0.995847
314,4067,0.995819
315,4079,0.995768
316,4091,0.995737
317,4103,0.995746
318,4119,0.995786
319,4132,0.995757
320,4141,0.995803
321,4151,0.995805
322,4167,0.995836
323,4179,0.995784
324,4187,0.995774
325,4201,0.995765
326,4213,0.995777
327,4229,0.995723
328,4242,0.995691
329,4246,0.995694
330,4256,0.995683
331,4267,0.995687
332,4278,0.995724
333,4289,0.995689
334,4304,0.995660
335,4322,0.995660
336,4331,0.995652
337,4348,0.995621
338,4362,0.995600
339,4386,0.995600
340,4399,0.995598
341,4405,0.995585
342,4412,0.995597
343,4424,0.995542
344,4434,0.995515
345,4445,0.995533
346,4452,0.995539
347,4466,0.995533
348,4477,0.995534
349,4491,0.995471
350,4501,0.995473
351,4512,0.995473
352,4526,0.995436
353,4536,0.995419
354,4550,0.995419
355,4561,0.995411
356,4573,0.995392
357,4585,0.995387
358,4600,0.995386
359,4614,0.995400
360,4625,0.995406
361,4640,0.995396
362,4653,0.995358
363,4671,0.995393
364,4685,0.995376
365,4696,0.995330
366,4711,0.995319
367,4719,0.995310
368,4734,0.995325
369,4748,0.995274
370,4767,0.995264
371,4786,0.995271
372,4801,0.995223
373,4817,0.995257
374,4826,0.995234
375,4834,0.995227
376,4844,0.995210
377,4857,0.995160
378,4871,0.995171
379,4880,0.995138
380,4892,0.995150
381,4901,0.995139
382,4914,0.995129
383,4923,0.995127
384,4934,0.995123
385,4940,0.995093
386,4955,0.995055
387,4967,0.995090
388,4980,0.995061
389,5002,0.995013
390,5016,0.995009
391,5023,0.995014
392,5031,0.995044
393,5045,0.995025
394,5061,0.995013
395,5071,0.995000
396,5085,0.994989
397,5101,0.994971
398,5113,0.994957
399,5125,0.994933
400,5144,0.994966
401,5153,0.994959
402,5168,0.994935
403,5179,0.994917
404,5187,0.994875
405,5200,0.994904
406,5210,0.994913
407,5228,0.994924
408,5239,0.994936
409,5249,0.994934
410,5260,0.994914
411,5270,0.994875
