iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,7456,0.978600,0.000001,0.003800,0.003801,0.000947
2,9660,0.976950,0.000002,0.002634,0.002636,0.000904
3,11293,0.975720,0.000002,0.002252,0.002254,0.000859
4,12619,0.974570,0.000002,0.002261,0.002263,0.000970
5,13661,0.973980,0.000002,0.002170,0.002172,0.000968
6,14677,0.973570,0.000002,0.002284,0.002286,0.000968
7,15682,0.973350,0.000002,0.002170,0.002172,0.000930
8,16477,0.973150,0.000002,0.002103,0.002105,0.000969
9,17105,0.972630,0.000002,0.001975,0.001976,0.000914
10,17754,0.972280,0.000002,0.001882,0.001884,0.000922
11,18236,0.972030,0.000002,0.001799,0.001800,0.000884
12,18720,0.971620,0.000002,0.001842,0.001844,0.000888
13,19238,0.971950,0.000002,0.001904,0.001906,0.000864
14,19613,0.971850,0.000002,0.001773,0.001775,0.000873
15,20092,0.972100,0.000002,0.001766,0.001768,0.000871
16,20454,0.972060,0.000002,0.001742,0.001744,0.000905
17,20812,0.972180,0.000002,0.001871,0.001873,0.000920
18,21245,0.972050,0.000002,0.001863,0.001865,0.000922
19,21511,0.972090,0.000002,0.001818,0.001820,0.000920
20,21785,0.972040,0.000002,0.001781,0.001782,0.000921
21,21959,0.971960,0.000002,0.001748,0.001750,0.000912
22,22230,0.971730,0.000002,0.001774,0.001775,0.000912
23,22521,0.971770,0.000002,0.001817,0.001818,0.000915
24,22756,0.971620,0.000002,0.001784,0.001786,0.000920
25,23035,0.971580,0.000002,0.001744,0.001745,0.000914
26,23329,0.971400,0.000002,0.001864,0.001865,0.000912
27,23565,0.971500,0.000002,0.001771,0.001772,0.000910
28,23709,0.971640,0.000002,0.001762,0.001764,0.000922
29,23939,0.971600,0.000002,0.001777,0.001778,0.000916
30,24147,0.971720,0.000002,0.001715,0.001717,0.000913
31,24277,0.971570,0.000002,0.001723,0.001724,0.000912
32,24471,0.971540,0.000002,0.001716,0.001717,0.000912
33,24664,0.971300,0.000002,0.001761,0.001763,0.000910
34,24809,0.971220,0.000001,0.001781,0.001783,0.000914
35,24944,0.971490,0.000002,0.001744,0.001746,0.000911
36,25131,0.971760,0.000002,0.001766,0.001768,0.000912
37,25295,0.971780,0.000002,0.001766,0.001767,0.000914
38,25476,0.971460,0.000002,0.001739,0.001740,0.000912
39,25630,0.971360,0.000002,0.001751,0.001753,0.000913
40,25775,0.971420,0.000002,0.001757,0.001758,0.000910
41,25894,0.971360,0.000002,0.001673,0.001675,0.000918
42,26100,0.971340,0.000002,0.001788,0.001790,0.000914
43,26266,0.971190,0.000002,0.001751,0.001753,0.000914
44,26344,0.971100,0.000002,0.001678,0.001679,0.000909
45,26427,0.970890,0.000002,0.001738,0.001739,0.000908
46,26588,0.970900,0.000002,0.001728,0.001730,0.000917
47,26800,0.970860,0.000002,0.001819,0.001821,0.000916
48,26872,0.971100,0.000002,0.001659,0.001661,0.000917
49,26918,0.971170,0.000002,0.001724,0.001726,0.000915
50,26952,0.971350,0.000002,0.001626,0.001627,0.000909
51,26996,0.971680,0.000002,0.001773,0.001774,0.000917
52,27141,0.971600,0.000002,0.001754,0.001755,0.000912
53,27218,0.971730,0.000002,0.001769,0.001771,0.000913
54,27357,0.971820,0.000002,0.001748,0.001750,0.000916
55,27434,0.971670,0.000002,0.001736,0.001738,0.000917
56,27448,0.971560,0.000002,0.001704,0.001705,0.000919
57,27566,0.971760,0.000002,0.001883,0.001885,0.000916
58,27626,0.971640,0.000002,0.001743,0.001744,0.000914
59,27727,0.971900,0.000002,0.001808,0.001810,0.000913
60,27790,0.972030,0.000002,0.001736,0.001738,0.000913
61,27822,0.972390,0.000002,0.001734,0.001736,0.000913
62,27934,0.972480,0.000002,0.001741,0.001743,0.000912
63,28090,0.972480,0.000002,0.001840,0.001842,0.000911
64,28219,0.972550,0.000002,0.001819,0.001821,0.000912
65,28396,0.972450,0.000002,0.001753,0.001755,0.000910
66,28449,0.972290,0.000002,0.001783,0.001785,0.000911
67,28541,0.972230,0.000002,0.001846,0.001847,0.000912
68,28638,0.972200,0.000002,0.001843,0.001844,0.000908
69,28732,0.971950,0.000002,0.001822,0.001824,0.000909
70,28837,0.971950,0.000002,0.001665,0.001667,0.000915
71,28884,0.971980,0.000002,0.001690,0.001691,0.000909
72,28956,0.971890,0.000002,0.001777,0.001779,0.000911
73,29085,0.971790,0.000002,0.001791,0.001793,0.000912
74,29172,0.971790,0.000002,0.001771,0.001773,0.000912
75,29281,0.972000,0.000002,0.001795,0.001797,0.000909
76,29195,0.972230,0.000002,0.001656,0.001657,0.000912
77,29421,0.972080,0.000002,0.001999,0.002000,0.000912
78,29443,0.972130,0.000002,0.001719,0.001720,0.000915
79,29475,0.971960,0.000002,0.001745,0.001747,0.000912
80,29443,0.972100,0.000002,0.001678,0.001680,0.000911
81,29324,0.972110,0.000002,0.001728,0.001730,0.000915
82,29304,0.972140,0.000002,0.001843,0.001844,0.000910
83,29357,0.972040,0.000002,0.001812,0.001814,0.000911
84,29331,0.972240,0.000002,0.001807,0.001808,0.000908
85,29303,0.972350,0.000002,0.001744,0.001746,0.000910
86,29446,0.972560,0.000002,0.001785,0.001787,0.000911
87,29500,0.972270,0.000002,0.001764,0.001765,0.000909
88,29560,0.972510,0.000002,0.001773,0.001774,0.000911
89,29614,0.972040,0.000002,0.001824,0.001826,0.000911
90,29630,0.971870,0.000002,0.001785,0.001787,0.000917
91,29680,0.971850,0.000002,0.001809,0.001811,0.000914
92,29729,0.972070,0.000002,0.001813,0.001815,0.000915
93,29690,0.971860,0.000002,0.001786,0.001788,0.000919
94,29599,0.971740,0.000002,0.001758,0.001760,0.000918
95,29544,0.971690,0.000002,0.001678,0.001679,0.000918
96,29542,0.971600,0.000002,0.001763,0.001764,0.000911
97,29413,0.971580,0.000002,0.001765,0.001766,0.000911
98,29361,0.971310,0.000002,0.001702,0.001704,0.000917
99,29189,0.971110,0.000002,0.001672,0.001674,0.000917
100,29100,0.971110,0.000002,0.001718,0.001720,0.000914
