iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.977420,0.000117,0.000017,0.000134,0.018456
2,0,0.977420,0.000100,0.000014,0.000114,0.018457
3,0,0.977420,0.000120,0.000011,0.000131,0.018278
4,0,0.977420,0.000114,0.000011,0.000125,0.018695
5,0,0.977420,0.000119,0.000014,0.000133,0.018372
6,0,0.977420,0.000114,0.000014,0.000128,0.019037
7,0,0.977420,0.000115,0.000013,0.000128,0.018412
8,0,0.977420,0.000119,0.000013,0.000133,0.018136
9,0,0.977420,0.000114,0.000013,0.000128,0.018499
10,0,0.977420,0.000118,0.000013,0.000132,0.018385
11,0,0.977420,0.000114,0.000011,0.000126,0.018718
12,0,0.977420,0.000115,0.000011,0.000127,0.018693
13,0,0.977420,0.000116,0.000013,0.000129,0.018611
14,0,0.977420,0.000117,0.000011,0.000128,0.018376
15,0,0.977420,0.000114,0.000011,0.000126,0.018268
16,0,0.977420,0.000113,0.000013,0.000127,0.018501
17,0,0.977420,0.000114,0.000011,0.000125,0.018886
18,0,0.977420,0.000107,0.000011,0.000118,0.018555
19,0,0.977420,0.000114,0.000014,0.000128,0.018495
20,0,0.977420,0.000119,0.000013,0.000132,0.020029
21,0,0.977420,0.000110,0.000013,0.000123,0.018760
22,0,0.977420,0.000115,0.000011,0.000126,0.018232
23,0,0.977420,0.000118,0.000013,0.000131,0.019081
24,0,0.977420,0.000118,0.000014,0.000132,0.018509
25,0,0.977420,0.000113,0.000013,0.000127,0.019492
26,0,0.977420,0.000119,0.000014,0.000133,0.018630
27,0,0.977420,0.000121,0.000013,0.000134,0.018659
28,0,0.977420,0.000116,0.000011,0.000127,0.018752
29,0,0.977420,0.000114,0.000011,0.000125,0.018824
30,0,0.977420,0.000116,0.000011,0.000127,0.019143
31,0,0.977420,0.000104,0.000013,0.000117,0.018963
32,0,0.977420,0.000119,0.000012,0.000130,0.019683
33,0,0.977420,0.000119,0.000013,0.000132,0.018771
34,0,0.977420,0.000119,0.000011,0.000130,0.018524
35,0,0.977420,0.000119,0.000011,0.000130,0.018602
36,0,0.977420,0.000112,0.000013,0.000126,0.018904
37,0,0.977420,0.000108,0.000014,0.000122,0.018655
38,0,0.977420,0.000117,0.000011,0.000128,0.018303
39,0,0.977420,0.000114,0.000013,0.000127,0.018278
40,0,0.977420,0.000118,0.000011,0.000130,0.018353
41,0,0.977420,0.000106,0.000013,0.000119,0.018236
42,0,0.977420,0.000115,0.000011,0.000126,0.018671
43,0,0.977420,0.000115,0.000013,0.000128,0.018416
44,0,0.977420,0.000112,0.000014,0.000125,0.018093
45,0,0.977420,0.000114,0.000013,0.000127,0.017985
46,0,0.977420,0.000116,0.000013,0.000129,0.018935
47,0,0.977420,0.000111,0.000014,0.000125,0.018969
48,0,0.977420,0.000107,0.000013,0.000121,0.018617
49,0,0.977420,0.000113,0.000013,0.000126,0.018301
50,0,0.977420,0.000116,0.000011,0.000127,0.017941
51,0,0.977420,0.000108,0.000012,0.000119,0.018190
52,0,0.977420,0.000115,0.000013,0.000129,0.018446
53,0,0.977420,0.000116,0.000013,0.000129,0.018260
54,0,0.977420,0.000115,0.000013,0.000129,0.018843
55,0,0.977420,0.000102,0.000014,0.000116,0.018278
56,0,0.977420,0.000119,0.000011,0.000130,0.018335
57,0,0.977420,0.000118,0.000011,0.000129,0.018710
58,0,0.977420,0.000109,0.000011,0.000120,0.018087
59,0,0.977420,0.000106,0.000013,0.000120,0.018150
60,0,0.977420,0.000116,0.000013,0.000129,0.018629
61,0,0.977420,0.000113,0.000013,0.000127,0.019882
62,0,0.977420,0.000114,0.000013,0.000128,0.018374
63,0,0.977420,0.000113,0.000013,0.000127,0.018840
64,0,0.977420,0.000119,0.000011,0.000130,0.017899
65,0,0.977420,0.000114,0.000011,0.000125,0.018549
66,0,0.977420,0.000118,0.000011,0.000129,0.018979
67,0,0.977420,0.000104,0.000013,0.000118,0.020108
68,0,0.977420,0.000107,0.000011,0.000118,0.018886
69,0,0.977420,0.000112,0.000011,0.000123,0.019166
70,0,0.977420,0.000120,0.000011,0.000131,0.018450
71,0,0.977420,0.000118,0.000013,0.000131,0.018653
72,0,0.977420,0.000101,0.000014,0.000114,0.018327
73,0,0.977420,0.000117,0.000011,0.000128,0.018426
74,0,0.977420,0.000114,0.000013,0.000128,0.018433
75,0,0.977420,0.000118,0.000013,0.000131,0.018429
76,0,0.977420,0.000106,0.000014,0.000120,0.018847
77,0,0.977420,0.000117,0.000013,0.000130,0.018671
78,0,0.977420,0.000103,0.000014,0.000117,0.018188
79,0,0.977420,0.000115,0.000013,0.000128,0.018365
80,0,0.977420,0.000120,0.000011,0.000131,0.018624
81,0,0.977420,0.000118,0.000011,0.000129,0.018286
82,0,0.977420,0.000117,0.000011,0.000128,0.018868
83,0,0.977420,0.000113,0.000013,0.000126,0.018736
84,0,0.977420,0.000116,0.000013,0.000129,0.018791
85,0,0.977420,0.000120,0.000011,0.000130,0.018598
86,0,0.977420,0.000108,0.000012,0.000120,0.018449
87,0,0.977420,0.000108,0.000013,0.000121,0.017934
88,0,0.977420,0.000116,0.000011,0.000127,0.018901
89,0,0.977420,0.000114,0.000011,0.000125,0.019136
90,0,0.977420,0.000120,0.000011,0.000131,0.018842
91,0,0.977420,0.000105,0.000013,0.000119,0.018468
92,0,0.977420,0.000106,0.000011,0.000117,0.018540
93,0,0.977420,0.000105,0.000014,0.000119,0.018824
94,0,0.977420,0.000104,0.000011,0.000115,0.018517
95,0,0.977420,0.000112,0.000013,0.000125,0.018429
96,0,0.977420,0.000112,0.000013,0.000125,0.018327
97,0,0.977420,0.000119,0.000011,0.000130,0.018332
98,0,0.977420,0.000120,0.000013,0.000133,0.018762
99,0,0.977420,0.000120,0.000011,0.000131,0.018343
100,0,0.977420,0.000120,0.000011,0.000131,0.018237
