iteration_number,avg_sum_delete_add_time
1,0.000112
2,0.000086
3,0.000119
4,0.000111
5,0.000085
6,0.000084
7,0.000091
8,0.000111
9,0.000089
10,0.000107
11,0.000099
12,0.000100
13,0.000108
14,0.000120
15,0.000083
16,0.000081
17,0.000093
18,0.000089
19,0.000110
20,0.000102
21,0.000119
22,0.000118
23,0.000116
24,0.000119
25,0.000116
26,0.000118
27,0.000115
28,0.000094
29,0.000081
30,0.000092
31,0.000100
32,0.000097
33,0.000107
34,0.000090
35,0.000091
36,0.000105
37,0.000114
38,0.000094
39,0.000108
40,0.000104
41,0.000103
42,0.000109
43,0.000087
44,0.000103
45,0.000084
46,0.000115
47,0.000107
48,0.000080
49,0.000093
50,0.000107
51,0.000110
52,0.000108
53,0.000089
54,0.000116
55,0.000089
56,0.000089
57,0.000099
58,0.000115
59,0.000090
60,0.000103
61,0.000109
62,0.000109
63,0.000100
64,0.000089
65,0.000102
66,0.000103
67,0.000116
68,0.000084
69,0.000097
70,0.000111
71,0.000098
72,0.000109
73,0.000095
74,0.000112
75,0.000084
76,0.000106
77,0.000115
78,0.000117
79,0.000087
80,0.000091
81,0.000110
82,0.000117
83,0.000107
84,0.000107
85,0.000102
86,0.000094
87,0.000113
88,0.000092
89,0.000101
90,0.000117
91,0.000110
92,0.000119
93,0.000105
94,0.000084
95,0.000110
96,0.000108
97,0.000081
98,0.000090
99,0.000081
100,0.000085
