iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,8000,0.977810,0.000002,0.009610,0.009612,0.001496
2,10517,0.976280,0.000003,0.007727,0.007730,0.001520
3,12467,0.975040,0.000003,0.007409,0.007412,0.001509
4,14065,0.974250,0.000003,0.007064,0.007067,0.001473
5,15272,0.973450,0.000003,0.007012,0.007014,0.001488
6,16549,0.972680,0.000003,0.007311,0.007314,0.001500
7,17800,0.972910,0.000003,0.007369,0.007372,0.001496
8,18837,0.972820,0.000003,0.006995,0.006998,0.001509
9,19620,0.972590,0.000003,0.006959,0.006962,0.001530
10,20388,0.972770,0.000003,0.007051,0.007054,0.001526
11,20957,0.972400,0.000003,0.006665,0.006668,0.001539
12,21553,0.972550,0.000003,0.006938,0.006940,0.001535
13,22210,0.972840,0.000003,0.007502,0.007505,0.001542
14,22702,0.972700,0.000003,0.007023,0.007026,0.001540
15,23215,0.972870,0.000003,0.007161,0.007163,0.001540
16,23632,0.973150,0.000003,0.006883,0.006886,0.001541
17,24087,0.973280,0.000003,0.007314,0.007317,0.001538
18,24576,0.973230,0.000003,0.007293,0.007296,0.001538
19,24991,0.973430,0.000003,0.007181,0.007184,0.001550
20,25317,0.973300,0.000003,0.007150,0.007153,0.001534
21,25572,0.973270,0.000003,0.006997,0.007000,0.001558
22,25940,0.973500,0.000003,0.007287,0.007290,0.001541
23,26310,0.973430,0.000003,0.007448,0.007451,0.001556
24,26685,0.973500,0.000003,0.007426,0.007429,0.001555
25,27119,0.973610,0.000003,0.007306,0.007309,0.001578
26,27512,0.973880,0.000003,0.007918,0.007921,0.001571
27,27873,0.974020,0.000003,0.007450,0.007453,0.001561
28,28191,0.974010,0.000003,0.007497,0.007500,0.001570
29,28564,0.973760,0.000003,0.007614,0.007617,0.001576
30,28875,0.974110,0.000003,0.007240,0.007242,0.001575
31,29169,0.973730,0.000003,0.007391,0.007394,0.001566
32,29429,0.974100,0.000003,0.007326,0.007329,0.001588
33,29831,0.974460,0.000003,0.007714,0.007717,0.001584
