ef,recall,query_time
100,0.600500,0.000052
200,0.731500,0.000065
300,0.789000,0.000092
400,0.826000,0.000124
500,0.853000,0.000154
600,0.872000,0.000188
700,0.885500,0.000216
800,0.898000,0.000248
900,0.908000,0.000274
1000,0.912500,0.000308
1100,0.922500,0.000385
1200,0.927000,0.000365
1300,0.931500,0.000389
1400,0.937500,0.000413
1500,0.940500,0.000454
1600,0.945500,0.000463
1700,0.950500,0.000509
1800,0.952000,0.000547
1900,0.955500,0.000560
2000,0.956000,0.000586
2100,0.957000,0.000615
2200,0.959500,0.000648
2300,0.962000,0.000654
2400,0.963000,0.000689
2500,0.964000,0.000698
2600,0.965000,0.000747
2700,0.967000,0.000778
2800,0.967500,0.000791
2900,0.968500,0.000817
3000,0.970000,0.000881
3100,0.970000,0.000862
3200,0.972000,0.000892
3300,0.972500,0.000951
3400,0.973000,0.000978
3500,0.973000,0.000977
3600,0.973500,0.001010
3700,0.974500,0.001044
3800,0.975000,0.001036
3900,0.975000,0.001051
4000,0.975500,0.001126
4100,0.976000,0.001096
4200,0.977000,0.001168
4300,0.977000,0.001185
4400,0.977500,0.001194
4500,0.977500,0.001255
4600,0.979000,0.001244
4700,0.979500,0.001339
4800,0.979500,0.001291
4900,0.980500,0.001305
5000,0.981000,0.001333
5100,0.982000,0.001358
5200,0.982000,0.001392
5300,0.982000,0.001417
5400,0.982000,0.001421
5500,0.982000,0.001494
5600,0.982000,0.001466
5700,0.982500,0.001512
5800,0.983000,0.001591
5900,0.984000,0.001523
6000,0.984000,0.001541
6100,0.984000,0.001605
6200,0.984000,0.001577
6300,0.984500,0.001545
6400,0.985500,0.001709
6500,0.985500,0.001712
6600,0.985500,0.001646
6700,0.985500,0.001595
6800,0.985500,0.001645
6900,0.986000,0.001690
7000,0.986000,0.001758
7100,0.986000,0.001695
7200,0.986000,0.001760
7300,0.986000,0.001791
7400,0.986500,0.001757
7500,0.986500,0.001816
7600,0.986500,0.001840
7700,0.986500,0.001903
7800,0.986500,0.001841
7900,0.986500,0.001901
8000,0.986500,0.001904
8100,0.987000,0.001942
8200,0.987000,0.001933
8300,0.987000,0.001966
8400,0.987000,0.002000
8500,0.987000,0.002028
8600,0.988000,0.002067
8700,0.988500,0.002043
8800,0.988500,0.002144
8900,0.988500,0.002106
9000,0.988500,0.002140
9100,0.988500,0.002183
9200,0.988500,0.002140
9300,0.988500,0.002210
9400,0.989000,0.002204
9500,0.989000,0.002251
9600,0.989000,0.002216
9700,0.989000,0.002251
9800,0.989000,0.002267
9900,0.989000,0.002317
10000,0.989000,0.002358
