iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,421,0.896000,0.000002,0.001085,0.001087,0.000438
2,519,0.892500,0.000003,0.001020,0.001023,0.000428
3,592,0.889500,0.000003,0.001020,0.001023,0.000425
4,649,0.891000,0.000003,0.001028,0.001030,0.000449
5,695,0.889500,0.000003,0.001030,0.001033,0.000483
6,734,0.887000,0.000003,0.001028,0.001031,0.000470
7,760,0.886000,0.000003,0.001028,0.001031,0.000477
8,800,0.883000,0.000003,0.001039,0.001042,0.000488
9,817,0.881000,0.000003,0.001045,0.001047,0.000492
10,834,0.877500,0.000003,0.001045,0.001048,0.000494
11,844,0.875000,0.000002,0.001053,0.001055,0.000500
12,854,0.873000,0.000003,0.001062,0.001065,0.000514
13,861,0.873000,0.000003,0.001065,0.001068,0.000542
14,862,0.875000,0.000003,0.001077,0.001080,0.000550
15,858,0.874500,0.000003,0.001071,0.001074,0.000530
16,863,0.872000,0.000003,0.001069,0.001071,0.000535
17,864,0.869000,0.000003,0.001068,0.001071,0.000525
18,859,0.869500,0.000003,0.001071,0.001074,0.000544
19,855,0.871000,0.000003,0.001079,0.001082,0.000532
20,861,0.870500,0.000003,0.001082,0.001085,0.000546
21,868,0.867000,0.000003,0.001085,0.001087,0.000555
22,873,0.864000,0.000003,0.001084,0.001087,0.000541
23,874,0.862500,0.000003,0.001101,0.001104,0.000592
24,879,0.861500,0.000002,0.001633,0.001635,0.001327
25,884,0.859000,0.000001,0.001203,0.001204,0.000587
26,891,0.857500,0.000003,0.001106,0.001108,0.000584
27,911,0.860000,0.000003,0.001094,0.001096,0.000551
28,917,0.858500,0.000003,0.001070,0.001072,0.000561
29,920,0.855500,0.000003,0.001077,0.001079,0.000539
30,924,0.854500,0.000003,0.001076,0.001079,0.000577
31,925,0.853000,0.000003,0.001087,0.001090,0.000564
32,926,0.849500,0.000003,0.001079,0.001082,0.000548
33,934,0.845000,0.000003,0.001072,0.001074,0.000547
34,937,0.848500,0.000003,0.001075,0.001078,0.000554
