iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.989000,0.000252,0.000017,0.000268,0.004019
2,0,0.989000,0.000278,0.000008,0.000287,0.003758
3,0,0.989000,0.000252,0.000008,0.000261,0.003904
4,0,0.989000,0.000258,0.000006,0.000264,0.003784
5,0,0.989000,0.000253,0.000006,0.000259,0.003749
6,0,0.989000,0.000244,0.000008,0.000252,0.003681
7,0,0.989000,0.000267,0.000008,0.000275,0.003711
8,0,0.989000,0.000263,0.000008,0.000271,0.003714
9,0,0.989000,0.000264,0.000006,0.000270,0.003566
10,0,0.989000,0.000261,0.000006,0.000267,0.003712
11,0,0.989000,0.000267,0.000008,0.000276,0.003698
12,0,0.989000,0.000245,0.000006,0.000251,0.003637
13,0,0.989000,0.000260,0.000008,0.000268,0.003712
14,0,0.989000,0.000268,0.000008,0.000276,0.003700
15,0,0.989000,0.000258,0.000008,0.000266,0.003748
16,0,0.989000,0.000263,0.000006,0.000269,0.003666
17,0,0.989000,0.000243,0.000006,0.000249,0.003684
18,0,0.989000,0.000266,0.000008,0.000274,0.003687
19,0,0.989000,0.000260,0.000008,0.000268,0.004068
20,0,0.989000,0.000265,0.000008,0.000273,0.003707
21,0,0.989000,0.000251,0.000006,0.000257,0.003701
22,0,0.989000,0.000256,0.000008,0.000265,0.003840
23,0,0.989000,0.000259,0.000008,0.000267,0.003732
24,0,0.989000,0.000245,0.000008,0.000253,0.003693
25,0,0.989000,0.000256,0.000006,0.000262,0.003697
26,0,0.989000,0.000261,0.000008,0.000270,0.003683
27,0,0.989000,0.000251,0.000008,0.000259,0.003778
28,0,0.989000,0.000253,0.000006,0.000259,0.003702
29,0,0.989000,0.000267,0.000006,0.000273,0.003698
30,0,0.989000,0.000267,0.000008,0.000275,0.003694
31,0,0.989000,0.000247,0.000008,0.000255,0.003725
32,0,0.989000,0.000245,0.000006,0.000251,0.003735
33,0,0.989000,0.000262,0.000008,0.000270,0.004160
34,0,0.989000,0.000245,0.000008,0.000254,0.003635
35,0,0.989000,0.000255,0.000008,0.000263,0.003749
