iteration_number,avg_sum_delete_add_time
1,0.000057
2,0.000065
3,0.000085
4,0.000055
5,0.000053
6,0.000080
7,0.000054
8,0.000090
9,0.000069
10,0.000089
11,0.000074
12,0.000051
13,0.000063
14,0.000069
15,0.000075
16,0.000091
17,0.000050
18,0.000094
19,0.000084
20,0.000086
21,0.000072
22,0.000095
23,0.000093
24,0.000097
25,0.000051
26,0.000088
27,0.000080
28,0.000083
29,0.000057
30,0.000073
31,0.000077
32,0.000099
33,0.000089
34,0.000071
35,0.000068
36,0.000070
37,0.000071
38,0.000075
39,0.000052
40,0.000072
41,0.000076
42,0.000092
43,0.000079
44,0.000064
45,0.000072
46,0.000071
47,0.000095
48,0.000064
49,0.000093
50,0.000053
51,0.000079
52,0.000096
53,0.000085
54,0.000080
55,0.000099
56,0.000066
57,0.000087
58,0.000055
59,0.000065
60,0.000068
61,0.000068
62,0.000094
63,0.000064
64,0.000054
65,0.000087
66,0.000069
67,0.000077
68,0.000052
69,0.000076
70,0.000073
71,0.000070
72,0.000059
73,0.000056
74,0.000083
75,0.000060
76,0.000088
77,0.000052
78,0.000072
79,0.000055
80,0.000094
81,0.000096
82,0.000088
83,0.000079
84,0.000078
85,0.000078
86,0.000066
87,0.000053
88,0.000097
89,0.000087
90,0.000055
91,0.000081
92,0.000061
93,0.000093
94,0.000073
95,0.000067
96,0.000068
97,0.000074
98,0.000082
99,0.000082
100,0.000093
