iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,3075,0.888000,0.000002,0.004595,0.004596,0.000595
2,4669,0.884500,0.000003,0.003457,0.003460,0.000374
3,5965,0.879500,0.000004,0.003106,0.003109,0.000358
4,6952,0.881000,0.000003,0.002906,0.002909,0.000339
5,7809,0.877000,0.000003,0.002846,0.002849,0.000341
6,8588,0.871500,0.000003,0.002816,0.002819,0.000356
7,9256,0.868000,0.000003,0.002791,0.002794,0.000392
8,9902,0.865500,0.000003,0.002782,0.002785,0.000353
9,10474,0.869000,0.000003,0.002810,0.002813,0.000347
10,10977,0.869500,0.000003,0.002749,0.002752,0.000358
11,11517,0.871000,0.000003,0.002780,0.002783,0.000390
12,12013,0.869500,0.000003,0.002794,0.002797,0.000355
13,12486,0.873000,0.000003,0.002872,0.002875,0.000362
14,12918,0.873000,0.000003,0.002878,0.002881,0.000377
15,13369,0.872500,0.000003,0.002842,0.002845,0.000357
16,13779,0.872500,0.000003,0.002952,0.002956,0.000372
17,14171,0.872000,0.000002,0.002926,0.002928,0.000374
18,14617,0.868500,0.000003,0.002969,0.002972,0.000389
19,15043,0.872000,0.000003,0.003015,0.003018,0.000392
20,15426,0.873000,0.000003,0.003055,0.003058,0.000395
21,15798,0.871000,0.000003,0.003017,0.003020,0.000388
22,16140,0.870500,0.000003,0.002995,0.002998,0.000398
23,16517,0.868000,0.000003,0.003006,0.003009,0.000379
24,16843,0.867000,0.000003,0.003049,0.003052,0.000385
25,17203,0.865500,0.000003,0.003040,0.003043,0.000378
26,17570,0.867000,0.000003,0.003055,0.003058,0.000374
27,17958,0.867000,0.000003,0.003129,0.003131,0.000400
28,18334,0.868000,0.000002,0.003124,0.003126,0.000394
29,18683,0.874000,0.000003,0.003077,0.003080,0.000396
30,19022,0.873000,0.000003,0.003143,0.003146,0.000411
31,19331,0.876500,0.000003,0.003191,0.003194,0.000383
32,19661,0.874500,0.000003,0.003193,0.003196,0.000395
33,20001,0.876500,0.000003,0.003153,0.003156,0.000398
34,20334,0.877000,0.000003,0.003170,0.003172,0.000426
35,20732,0.875000,0.000003,0.003249,0.003251,0.000415
36,21116,0.877000,0.000003,0.003270,0.003272,0.000376
37,21422,0.879000,0.000003,0.003339,0.003341,0.000454
38,21739,0.881000,0.000002,0.003613,0.003616,0.000431
39,22013,0.884500,0.000002,0.003646,0.003648,0.000450
40,22275,0.886500,0.000002,0.003649,0.003651,0.000426
41,22606,0.887000,0.000002,0.003713,0.003715,0.000445
42,22922,0.886500,0.000002,0.003720,0.003723,0.000469
43,23237,0.883000,0.000002,0.003762,0.003765,0.000502
44,23581,0.883500,0.000002,0.003732,0.003734,0.000403
45,23840,0.886000,0.000003,0.003387,0.003390,0.000404
46,24099,0.887000,0.000003,0.003322,0.003325,0.000389
47,24428,0.888500,0.000003,0.003376,0.003379,0.000413
48,24689,0.891000,0.000002,0.003352,0.003355,0.000403
49,24961,0.891000,0.000003,0.003321,0.003323,0.000429
50,25238,0.891500,0.000003,0.003398,0.003400,0.000407
51,25461,0.886000,0.000003,0.003420,0.003423,0.000419
52,25769,0.884000,0.000003,0.003465,0.003468,0.000422
53,26047,0.881500,0.000003,0.003395,0.003398,0.000395
54,26236,0.882000,0.000003,0.003457,0.003460,0.000405
55,26466,0.882000,0.000003,0.003425,0.003428,0.000413
56,26634,0.881500,0.000003,0.003467,0.003469,0.000434
57,26844,0.887500,0.000003,0.003534,0.003537,0.000424
58,27038,0.886000,0.000003,0.003525,0.003528,0.000382
59,27207,0.887500,0.000003,0.003445,0.003448,0.000403
60,27430,0.889000,0.000003,0.003502,0.003505,0.000412
61,27571,0.891500,0.000003,0.003518,0.003521,0.000399
62,27790,0.891000,0.000003,0.003540,0.003543,0.000388
63,28000,0.889500,0.000003,0.003520,0.003523,0.000419
64,28150,0.889500,0.000003,0.003549,0.003551,0.000398
65,28345,0.890000,0.000003,0.003528,0.003531,0.000432
