ef,recall,query_time
100,0.664000,0.000134
200,0.780000,0.000186
300,0.837000,0.000259
400,0.865500,0.000330
500,0.885000,0.000399
600,0.900500,0.000487
700,0.913500,0.000537
800,0.923000,0.000640
900,0.932500,0.000676
1000,0.937000,0.000769
1100,0.941000,0.000823
1200,0.944000,0.000884
1300,0.947000,0.000950
1400,0.951000,0.001036
1500,0.952000,0.001104
1600,0.955500,0.001175
1700,0.955500,0.001256
1800,0.957500,0.001296
1900,0.959000,0.001368
2000,0.959500,0.001422
2100,0.961000,0.001489
2200,0.962500,0.001565
2300,0.963000,0.001660
2400,0.963500,0.001647
2500,0.963500,0.001772
2600,0.965000,0.001804
2700,0.966000,0.001846
2800,0.966000,0.001900
2900,0.966500,0.002043
3000,0.967000,0.002048
3100,0.968000,0.002089
3200,0.968000,0.002183
3300,0.968000,0.002250
3400,0.968000,0.002266
3500,0.968500,0.002345
3600,0.968500,0.002465
3700,0.969500,0.002487
3800,0.970000,0.002543
3900,0.970000,0.002634
4000,0.970500,0.002668
4100,0.970500,0.002720
4200,0.970500,0.002739
4300,0.970500,0.002817
4400,0.970500,0.002866
4500,0.970500,0.002905
4600,0.971000,0.003008
4700,0.971000,0.003051
4800,0.971000,0.003105
4900,0.971500,0.003092
5000,0.972000,0.003142
5100,0.972000,0.003172
5200,0.972000,0.003220
5300,0.972000,0.003309
5400,0.972000,0.003267
5500,0.972000,0.003357
5600,0.972000,0.003420
5700,0.972000,0.003500
5800,0.972000,0.003483
5900,0.973000,0.003575
6000,0.973000,0.003650
6100,0.973000,0.003748
6200,0.973000,0.003691
6300,0.973000,0.003743
6400,0.973500,0.003795
6500,0.973500,0.003912
6600,0.974000,0.004032
6700,0.974000,0.003944
6800,0.974000,0.004020
6900,0.974000,0.004144
7000,0.974000,0.004095
7100,0.974000,0.004138
7200,0.974000,0.004250
7300,0.974000,0.004202
7400,0.974000,0.004248
7500,0.974000,0.004326
7600,0.974000,0.004367
7700,0.974000,0.004389
7800,0.974000,0.004493
7900,0.974000,0.004609
8000,0.974000,0.004593
8100,0.974000,0.004708
8200,0.974000,0.004660
8300,0.974500,0.004826
8400,0.974500,0.004827
8500,0.974500,0.004826
8600,0.974500,0.004855
8700,0.974500,0.005088
8800,0.974500,0.005087
8900,0.974500,0.005148
9000,0.974500,0.005146
9100,0.974500,0.005100
9200,0.974500,0.005625
9300,0.975000,0.005539
9400,0.975000,0.005449
9500,0.975500,0.005382
9600,0.975500,0.005495
9700,0.976000,0.005379
9800,0.976000,0.005479
9900,0.976000,0.005602
10000,0.976000,0.005615
