ef,recall,query_time
100,0.601500,0.000186
200,0.732500,0.000194
300,0.792000,0.000263
400,0.827500,0.000346
500,0.852000,0.000427
600,0.872000,0.000499
700,0.887500,0.000570
800,0.898500,0.000648
900,0.908000,0.000743
1000,0.914500,0.000790
1100,0.922000,0.000872
1200,0.928000,0.000943
1300,0.932500,0.001023
1400,0.937000,0.001106
1500,0.942500,0.001204
1600,0.945000,0.001226
1700,0.950000,0.001282
1800,0.952000,0.001395
1900,0.955500,0.001406
2000,0.957000,0.001511
2100,0.958000,0.001526
2200,0.963000,0.001597
2300,0.965000,0.001712
2400,0.965500,0.001716
2500,0.966000,0.001785
2600,0.967500,0.001915
2700,0.968000,0.001904
2800,0.969000,0.001950
2900,0.970000,0.002063
3000,0.971500,0.002096
3100,0.972500,0.002191
3200,0.974000,0.002146
3300,0.974500,0.002247
3400,0.974500,0.002344
3500,0.975000,0.002437
3600,0.976500,0.002402
3700,0.978500,0.002468
3800,0.978500,0.002514
3900,0.979000,0.002600
4000,0.979500,0.002632
4100,0.980000,0.002757
4200,0.981000,0.002933
4300,0.981000,0.002989
4400,0.981500,0.003015
4500,0.982500,0.002992
4600,0.983500,0.003244
4700,0.983500,0.003247
4800,0.983500,0.003117
4900,0.984500,0.003192
5000,0.984500,0.003541
5100,0.985500,0.003265
5200,0.985500,0.003325
5300,0.985500,0.003439
5400,0.985500,0.003436
5500,0.985500,0.003502
5600,0.985500,0.003578
5700,0.986000,0.003663
5800,0.986500,0.003642
5900,0.987000,0.003872
6000,0.987000,0.003765
6100,0.987000,0.003861
6200,0.987000,0.003854
6300,0.988000,0.004043
6400,0.989000,0.004024
6500,0.989000,0.004076
6600,0.989500,0.004103
6700,0.989500,0.004200
6800,0.989500,0.004292
6900,0.989500,0.004284
7000,0.989500,0.004285
7100,0.989500,0.004368
7200,0.989500,0.004456
7300,0.989500,0.004478
7400,0.989500,0.004576
7500,0.989500,0.004710
7600,0.989500,0.004743
7700,0.990000,0.004871
7800,0.990000,0.004941
7900,0.990000,0.004923
8000,0.990000,0.005004
8100,0.990500,0.004998
8200,0.990500,0.005086
8300,0.990500,0.005232
8400,0.990500,0.005535
8500,0.990500,0.005135
8600,0.990500,0.005387
8700,0.990500,0.005349
8800,0.990500,0.005437
8900,0.990500,0.005389
9000,0.990500,0.005466
9100,0.990500,0.005478
9200,0.990500,0.005704
9300,0.990500,0.005617
9400,0.991000,0.005773
9500,0.991000,0.005681
9600,0.991000,0.005809
9700,0.991000,0.005768
9800,0.991000,0.006061
9900,0.991000,0.005926
10000,0.991000,0.006129
