iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,2652,0.862500,0.000001,0.000226,0.000227,0.000172
2,2840,0.866500,0.000001,0.000216,0.000217,0.000132
3,2992,0.863000,0.000002,0.000223,0.000225,0.000144
4,3074,0.860000,0.000001,0.000224,0.000225,0.000140
5,3161,0.861000,0.000001,0.000238,0.000240,0.000144
6,3253,0.862000,0.000001,0.000237,0.000238,0.000153
7,3304,0.858500,0.000001,0.000242,0.000243,0.000180
8,3325,0.854500,0.000002,0.000241,0.000242,0.000210
9,3371,0.855000,0.000002,0.000242,0.000243,0.000150
10,3397,0.853500,0.000001,0.000230,0.000231,0.000164

11,3422,0.860500,0.000001,0.000243,0.000245,0.000163
12,3431,0.858500,0.000001,0.000247,0.000248,0.000159
13,3448,0.861500,0.000001,0.000253,0.000254,0.000164
14,3468,0.859500,0.000001,0.000252,0.000253,0.000182
15,3483,0.858500,0.000001,0.000251,0.000252,0.000167
16,3478,0.858500,0.000001,0.000254,0.000255,0.000168
17,3496,0.861500,0.000001,0.000251,0.000252,0.000230
18,3498,0.857000,0.000001,0.000247,0.000248,0.000175
19,3503,0.857000,0.000001,0.000251,0.000251,0.000190
20,3503,0.858000,0.000001,0.000250,0.000251,0.000178
21,3502,0.859000,0.000002,0.000241,0.000243,0.000153
22,3494,0.859500,0.000001,0.000241,0.000242,0.000194
23,3482,0.857500,0.000002,0.000258,0.000260,0.000201
24,3484,0.858000,0.000001,0.000251,0.000252,0.000162
25,3476,0.855000,0.000002,0.000255,0.000256,0.000191
26,3461,0.857500,0.000001,0.000259,0.000261,0.000179
27,3459,0.860000,0.000001,0.000247,0.000249,0.000163
28,3454,0.860500,0.000001,0.000239,0.000241,0.000167
29,3442,0.860500,0.000001,0.000239,0.000241,0.000194
30,3430,0.863000,0.000001,0.000239,0.000240,0.000179
31,3400,0.862000,0.000001,0.000241,0.000243,0.000190
32,3368,0.861500,0.000001,0.000253,0.000255,0.000175
33,3356,0.855000,0.000001,0.000248,0.000249,0.000206
34,3349,0.858000,0.000002,0.000248,0.000250,0.000167
35,3349,0.854500,0.000001,0.000256,0.000257,0.000166
36,3343,0.854000,0.000001,0.000256,0.000258,0.000192
37,3327,0.856500,0.000001,0.000256,0.000257,0.000192
38,3310,0.852500,0.000002,0.000244,0.000245,0.000164
39,3307,0.851500,0.000002,0.000240,0.000241,0.000197
40,3297,0.853000,0.000001,0.000241,0.000242,0.000183
41,3301,0.853500,0.000002,0.000250,0.000252,0.000180
42,3298,0.852000,0.000001,0.000250,0.000251,0.000206
43,3275,0.852000,0.000002,0.000259,0.000260,0.000166
44,3255,0.852000,0.000001,0.000258,0.000259,0.000249
45,3241,0.853500,0.000001,0.000258,0.000260,0.000171
46,3211,0.851000,0.000002,0.000250,0.000252,0.000181
47,3203,0.850500,0.000002,0.000246,0.000248,0.000164
48,3195,0.849500,0.000001,0.000249,0.000251,0.000225
49,3203,0.848500,0.000001,0.000260,0.000261,0.000279
50,3189,0.847000,0.000001,0.000253,0.000254,0.000164
51,3161,0.845000,0.000002,0.000249,0.000250,0.000176
52,3157,0.843500,0.000001,0.000252,0.000253,0.000178
53,3146,0.844000,0.000002,0.000249,0.000251,0.000165
54,3122,0.844000,0.000001,0.000247,0.000248,0.000202
55,3101,0.844000,0.000001,0.000248,0.000249,0.000201
56,3063,0.841000,0.000001,0.000253,0.000254,0.000180
57,3055,0.842000,0.000001,0.000249,0.000250,0.000195
58,3027,0.842000,0.000001,0.000243,0.000244,0.000226
59,3011,0.840500,0.000002,0.000234,0.000236,0.000164
60,3009,0.842500,0.000001,0.000243,0.000244,0.000189
61,2974,0.840000,0.000001,0.000245,0.000247,0.000221
62,2936,0.845000,0.000002,0.000242,0.000243,0.000165
63,2925,0.845500,0.000001,0.000246,0.000247,0.000185
64,2924,0.845500,0.000001,0.000241,0.000242,0.000172
65,2909,0.842000,0.000001,0.000235,0.000236,0.000183
66,2888,0.842500,0.000001,0.000234,0.000235,0.000207
67,2880,0.842500,0.000001,0.000242,0.000244,0.000185
68,2852,0.843500,0.000002,0.000252,0.000254,0.000209
69,2825,0.841500,0.000001,0.000247,0.000248,0.000173
70,2816,0.840500,0.000001,0.000246,0.000247,0.000188
71,2803,0.845000,0.000001,0.000246,0.000247,0.000161
72,2769,0.844500,0.000001,0.000245,0.000246,0.000212
73,2750,0.847000,0.000001,0.000243,0.000244,0.000199
74,2728,0.849500,0.000001,0.000242,0.000243,0.000170
75,2688,0.848000,0.000001,0.000242,0.000244,0.000215
76,2672,0.843500,0.000001,0.000240,0.000242,0.000161
77,2643,0.848500,0.000001,0.000241,0.000243,0.000236
78,2606,0.848500,0.000001,0.000240,0.000242,0.000162
79,2585,0.851500,0.000001,0.000236,0.000237,0.000173
80,2547,0.850000,0.000001,0.000233,0.000234,0.000171
81,2510,0.849500,0.000001,0.000236,0.000237,0.000163
82,2478,0.849500,0.000001,0.000235,0.000236,0.000168
83,2456,0.848000,0.000001,0.000236,0.000237,0.000182
84,2440,0.849000,0.000001,0.000236,0.000237,0.000191
85,2412,0.848500,0.000001,0.000235,0.000236,0.000162
86,2416,0.850000,0.000001,0.000233,0.000234,0.000214
87,2390,0.847000,0.000001,0.000232,0.000233,0.000217
88,2379,0.843500,0.000001,0.000237,0.000238,0.000170
89,2345,0.845000,0.000001,0.000233,0.000234,0.000167
90,2319,0.846000,0.000001,0.000231,0.000232,0.000219
91,2295,0.843000,0.000001,0.000233,0.000234,0.000161
92,2273,0.843000,0.000001,0.000234,0.000235,0.000193
93,2255,0.843500,0.000001,0.000232,0.000233,0.000163
94,2232,0.843000,0.000001,0.000233,0.000234,0.000199
95,2204,0.840500,0.000001,0.000233,0.000234,0.000179
96,2188,0.841000,0.000001,0.000233,0.000234,0.000170
97,2146,0.840500,0.000001,0.000232,0.000233,0.000166
98,2103,0.843000,0.000001,0.000232,0.000233,0.000158
99,2069,0.845500,0.000001,0.000229,0.000230,0.000189
100,2059,0.849000,0.000001,0.000233,0.000235,0.000163
