iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.989000,0.000268,0.000016,0.000284,0.003751
2,0,0.989000,0.000251,0.000007,0.000258,0.004060
3,0,0.989000,0.000262,0.000007,0.000269,0.003734
4,0,0.989000,0.000261,0.000009,0.000270,0.003761
5,0,0.989000,0.000260,0.000009,0.000269,0.003715
6,0,0.989000,0.000263,0.000006,0.000269,0.003708
7,0,0.989000,0.000269,0.000006,0.000275,0.003781
8,0,0.989000,0.000247,0.000007,0.000253,0.003701
9,0,0.989000,0.000251,0.000009,0.000259,0.003777
10,0,0.989000,0.000247,0.000006,0.000254,0.003595
11,0,0.989000,0.000250,0.000008,0.000258,0.003801
12,0,0.989000,0.000256,0.000008,0.000265,0.003968
13,0,0.989000,0.000266,0.000008,0.000275,0.003715
14,0,0.989000,0.000261,0.000009,0.000269,0.003725
15,0,0.989000,0.000257,0.000006,0.000264,0.003743
16,0,0.989000,0.000256,0.000006,0.000263,0.003669
17,0,0.989000,0.000259,0.000007,0.000266,0.003598
18,0,0.989000,0.000257,0.000008,0.000266,0.003667
19,0,0.989000,0.000254,0.000009,0.000263,0.003705
20,0,0.989000,0.000252,0.000008,0.000261,0.003703
21,0,0.989000,0.000256,0.000006,0.000262,0.003989
22,0,0.989000,0.000267,0.000006,0.000273,0.003724
23,0,0.989000,0.000261,0.000009,0.000269,0.003744
24,0,0.989000,0.000250,0.000009,0.000259,0.003780
25,0,0.989000,0.000256,0.000007,0.000263,0.004151
26,0,0.989000,0.000238,0.000006,0.000245,0.003614
27,0,0.989000,0.000262,0.000009,0.000271,0.003862
28,0,0.989000,0.000253,0.000009,0.000262,0.003721
29,0,0.989000,0.000251,0.000006,0.000258,0.003712
30,0,0.989000,0.000251,0.000006,0.000257,0.003710
31,0,0.989000,0.000253,0.000008,0.000261,0.003709
32,0,0.989000,0.000251,0.000008,0.000260,0.003743
33,0,0.989000,0.000256,0.000008,0.000265,0.003708
34,0,0.989000,0.000251,0.000009,0.000259,0.003660
35,0,0.989000,0.000251,0.000009,0.000259,0.003737
36,0,0.989000,0.000251,0.000006,0.000257,0.003744
37,0,0.989000,0.000254,0.000008,0.000263,0.004105
38,0,0.989000,0.000259,0.000009,0.000268,0.003713
39,0,0.989000,0.000269,0.000009,0.000277,0.003744
40,0,0.989000,0.000261,0.000006,0.000267,0.003674
41,0,0.989000,0.000247,0.000006,0.000253,0.003625
42,0,0.989000,0.000243,0.000008,0.000252,0.003723
