iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,6366,0.859500,0.000001,0.000406,0.000407,0.000220
2,8922,0.847500,0.000002,0.000332,0.000333,0.000106
3,11135,0.838000,0.000001,0.000315,0.000317,0.000127
4,12825,0.836500,0.000001,0.000295,0.000297,0.000121
5,14352,0.834000,0.000001,0.000292,0.000293,0.000113
6,15758,0.830500,0.000001,0.000294,0.000295,0.000111
7,16999,0.827000,0.000001,0.000294,0.000295,0.000111
8,18092,0.820500,0.000001,0.000288,0.000289,0.000114
9,19092,0.825500,0.000001,0.000294,0.000295,0.000120
10,20052,0.825500,0.000001,0.000291,0.000292,0.000116
11,20903,0.827500,0.000001,0.000289,0.000290,0.000119
12,21728,0.827000,0.000001,0.000291,0.000292,0.000121
13,22605,0.829000,0.000001,0.000294,0.000295,0.000097
14,23322,0.830000,0.000001,0.000287,0.000289,0.000108
15,24099,0.829500,0.000001,0.000291,0.000292,0.000182
16,24828,0.828500,0.000001,0.000293,0.000294,0.000114
17,25494,0.830000,0.000001,0.000297,0.000298,0.000138
18,26162,0.828000,0.000001,0.000309,0.000310,0.000108
19,26941,0.828000,0.000002,0.000296,0.000297,0.000121
20,27657,0.828500,0.000001,0.000294,0.000295,0.000117
21,28276,0.830500,0.000001,0.000295,0.000297,0.000144
22,28919,0.827500,0.000001,0.000299,0.000300,0.000141
23,29518,0.827500,0.000001,0.000303,0.000304,0.000162
24,30183,0.826500,0.000002,0.000307,0.000309,0.000112
25,30859,0.823500,0.000001,0.000304,0.000305,0.000207
26,31485,0.822500,0.000001,0.000308,0.000309,0.000131
27,32124,0.821500,0.000001,0.000311,0.000312,0.000130
28,32724,0.818000,0.000001,0.000313,0.000314,0.000167
29,33285,0.821500,0.000001,0.000310,0.000311,0.000121
30,33892,0.821500,0.000001,0.000313,0.000315,0.000132
31,34445,0.821000,0.000001,0.000315,0.000316,0.000135
32,35039,0.820000,0.000001,0.000314,0.000315,0.000145
33,35574,0.821500,0.000001,0.000313,0.000314,0.000126
34,36203,0.823500,0.000002,0.000315,0.000317,0.000117
35,36809,0.820000,0.000001,0.000315,0.000316,0.000144
36,37432,0.823000,0.000001,0.000319,0.000320,0.000120
37,37945,0.821000,0.000002,0.000320,0.000322,0.000146
38,38493,0.822500,0.000002,0.000316,0.000318,0.000129
39,39051,0.818500,0.000001,0.000319,0.000320,0.000142
40,39593,0.814500,0.000001,0.000321,0.000322,0.000138
41,40155,0.809000,0.000001,0.000318,0.000319,0.000123
42,40704,0.810500,0.000001,0.000322,0.000323,0.000126
43,41176,0.811000,0.000001,0.000320,0.000321,0.000114
44,41761,0.813500,0.000001,0.000319,0.000320,0.000173
45,42193,0.816000,0.000001,0.000324,0.000325,0.000151
46,42780,0.821000,0.000002,0.000317,0.000319,0.000112
47,43305,0.817500,0.000001,0.000324,0.000325,0.000122
48,43854,0.820500,0.000001,0.000324,0.000325,0.000119
49,44363,0.821000,0.000001,0.000323,0.000324,0.000130
50,44845,0.821000,0.000001,0.000328,0.000330,0.000117
51,45264,0.817000,0.000001,0.000326,0.000327,0.000125
52,45747,0.813500,0.000001,0.000329,0.000330,0.000116
53,46235,0.815500,0.000001,0.000323,0.000324,0.000128
54,46716,0.817500,0.000001,0.000328,0.000329,0.000131
55,47177,0.819500,0.000001,0.000323,0.000324,0.000145
56,47623,0.821500,0.000001,0.000326,0.000327,0.000136
57,48047,0.821500,0.000001,0.000327,0.000329,0.000111
58,48480,0.820000,0.000001,0.000325,0.000327,0.000126
59,48843,0.818000,0.000001,0.000326,0.000328,0.000173
60,49330,0.819500,0.000001,0.000325,0.000326,0.000116
61,49669,0.824000,0.000001,0.000327,0.000328,0.000137
62,50044,0.824500,0.000001,0.000329,0.000331,0.000122
63,50378,0.824000,0.000001,0.000336,0.000337,0.000124
64,50782,0.823000,0.000002,0.000323,0.000325,0.000122
65,51099,0.822500,0.000002,0.000323,0.000325,0.000116
66,51451,0.825500,0.000002,0.000321,0.000322,0.000115
67,51841,0.822500,0.000002,0.000324,0.000325,0.000120
68,52195,0.822000,0.000001,0.000330,0.000331,0.000117
69,52472,0.823500,0.000002,0.000326,0.000328,0.000116
70,52720,0.824000,0.000002,0.000328,0.000329,0.000118
71,53045,0.828000,0.000002,0.000329,0.000331,0.000121
72,53296,0.829000,0.000002,0.000329,0.000331,0.000115
73,53631,0.830000,0.000002,0.000329,0.000331,0.000119
74,53860,0.829500,0.000002,0.000326,0.000327,0.000114
75,54092,0.828500,0.000002,0.000329,0.000330,0.000111
76,54338,0.826500,0.000002,0.000329,0.000330,0.000116
77,54538,0.825500,0.000001,0.000326,0.000327,0.000114
78,54783,0.822500,0.000002,0.000327,0.000328,0.000117
79,55050,0.820500,0.000002,0.000330,0.000331,0.000113
80,55257,0.817000,0.000002,0.000327,0.000329,0.000113
81,55398,0.818000,0.000002,0.000332,0.000334,0.000114
82,55546,0.823000,0.000002,0.000328,0.000330,0.000116
83,55698,0.826000,0.000002,0.000330,0.000331,0.000116
84,55882,0.825500,0.000002,0.000329,0.000330,0.000115
85,56102,0.829500,0.000002,0.000329,0.000331,0.000117
86,56291,0.831000,0.000002,0.000321,0.000323,0.000111
87,56405,0.831000,0.000002,0.000316,0.000317,0.000106
88,56498,0.833500,0.000002,0.000313,0.000315,0.000108
89,56640,0.828000,0.000002,0.000316,0.000318,0.000109
90,56738,0.826500,0.000002,0.000317,0.000319,0.000109
91,56813,0.828500,0.000002,0.000318,0.000320,0.000108
92,56954,0.831000,0.000001,0.000318,0.000319,0.000108
93,57071,0.829000,0.000002,0.000314,0.000316,0.000106
94,57071,0.829500,0.000002,0.000310,0.000312,0.000102
95,57105,0.828500,0.000002,0.000309,0.000311,0.000114
96,57182,0.830500,0.000002,0.000308,0.000310,0.000103
97,57205,0.829500,0.000002,0.000308,0.000310,0.000111
98,57161,0.829500,0.000002,0.000307,0.000308,0.000108
99,57168,0.835500,0.000002,0.000309,0.000310,0.000106
100,57200,0.837000,0.000002,0.000307,0.000309,0.000102
