iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,2,0.996599,0.000002,0.000242,0.000243,0.000213
2,2,0.996115,0.000003,0.000268,0.000271,0.000205
3,2,0.995856,0.000003,0.000209,0.000212,0.000206
4,2,0.995681,0.000003,0.000195,0.000198,0.000201
5,2,0.995540,0.000003,0.000175,0.000177,0.000200
6,2,0.995383,0.000003,0.000169,0.000172,0.000202
7,2,0.995041,0.000003,0.000229,0.000232,0.000198
8,2,0.994824,0.000003,0.000214,0.000217,0.000197
9,3,0.994633,0.000003,0.000205,0.000208,0.000198
10,3,0.994433,0.000003,0.000205,0.000208,0.000196
11,3,0.994192,0.000003,0.000187,0.000190,0.000196
12,3,0.994030,0.000003,0.000188,0.000191,0.000196
13,3,0.993893,0.000003,0.000190,0.000193,0.000195
14,3,0.993853,0.000003,0.000183,0.000186,0.000195
15,3,0.993791,0.000003,0.000181,0.000184,0.000195
16,3,0.993722,0.000003,0.000187,0.000190,0.000198
17,4,0.993637,0.000003,0.000189,0.000191,0.000197
18,4,0.993499,0.000003,0.000205,0.000207,0.000196
19,4,0.993379,0.000003,0.000194,0.000196,0.000196
20,4,0.993384,0.000003,0.000138,0.000141,0.000196
21,4,0.993425,0.000003,0.000148,0.000150,0.000195
22,4,0.993352,0.000003,0.000168,0.000171,0.000195
23,5,0.993265,0.000003,0.000191,0.000194,0.000197
24,5,0.993147,0.000003,0.000182,0.000185,0.000197
25,6,0.993045,0.000003,0.000186,0.000189,0.000196
26,6,0.992994,0.000003,0.000179,0.000182,0.000196
27,7,0.992888,0.000003,0.000193,0.000196,0.000197
28,8,0.992750,0.000003,0.000197,0.000200,0.000194
29,8,0.992708,0.000003,0.000177,0.000180,0.000194
30,8,0.992651,0.000003,0.000176,0.000179,0.000194
31,8,0.992619,0.000003,0.000175,0.000178,0.000194
32,8,0.992609,0.000003,0.000169,0.000172,0.000195
33,10,0.992586,0.000003,0.000174,0.000176,0.000194
34,11,0.992574,0.000003,0.000171,0.000174,0.000194
35,11,0.992563,0.000003,0.000169,0.000172,0.000194
36,11,0.992608,0.000003,0.000171,0.000174,0.000195
37,11,0.992557,0.000002,0.000177,0.000179,0.000196
38,11,0.992559,0.000003,0.000165,0.000168,0.000194
39,13,0.992521,0.000003,0.000173,0.000176,0.000195
40,14,0.992448,0.000003,0.000195,0.000198,0.000195
41,14,0.992387,0.000003,0.000174,0.000177,0.000194
42,14,0.992378,0.000003,0.000162,0.000165,0.000194
43,13,0.992323,0.000003,0.000161,0.000164,0.000194
44,13,0.992231,0.000003,0.000189,0.000191,0.000194
45,12,0.992227,0.000003,0.000135,0.000137,0.000194
46,12,0.992218,0.000003,0.000173,0.000176,0.000194
47,12,0.992165,0.000003,0.000176,0.000179,0.000195
48,11,0.992163,0.000003,0.000156,0.000159,0.000194
49,11,0.992078,0.000003,0.000188,0.000191,0.000194
50,11,0.992054,0.000003,0.000170,0.000173,0.000194
51,12,0.991997,0.000003,0.000180,0.000183,0.000195
52,13,0.991850,0.000003,0.000187,0.000190,0.000196
53,13,0.991681,0.000003,0.000186,0.000189,0.000194
54,12,0.991671,0.000003,0.000163,0.000165,0.000194
55,12,0.991639,0.000003,0.000169,0.000171,0.000195
56,14,0.991651,0.000003,0.000158,0.000161,0.000195
57,15,0.991631,0.000003,0.000158,0.000161,0.000195
58,15,0.991642,0.000003,0.000163,0.000166,0.000194
59,14,0.991632,0.000003,0.000162,0.000165,0.000194
60,14,0.991606,0.000003,0.000176,0.000179,0.000194
61,15,0.991612,0.000003,0.000155,0.000158,0.000194
62,14,0.991614,0.000003,0.000159,0.000162,0.000193
63,15,0.991611,0.000003,0.000167,0.000170,0.000196
64,15,0.991629,0.000003,0.000166,0.000168,0.000194
65,13,0.991632,0.000003,0.000128,0.000131,0.000194
66,12,0.991632,0.000003,0.000138,0.000141,0.000194
67,11,0.991613,0.000004,0.000162,0.000165,0.000196
68,9,0.991608,0.000003,0.000149,0.000152,0.000196
69,10,0.991561,0.000003,0.000175,0.000178,0.000196
70,10,0.991555,0.000003,0.000177,0.000180,0.000195
71,10,0.991515,0.000003,0.000178,0.000180,0.000195
72,11,0.991493,0.000003,0.000157,0.000160,0.000193
73,12,0.991494,0.000003,0.000179,0.000182,0.000193
74,12,0.991486,0.000003,0.000163,0.000165,0.000195
75,12,0.991408,0.000003,0.000164,0.000167,0.000193
76,12,0.991433,0.000003,0.000156,0.000159,0.000193
77,11,0.991423,0.000003,0.000142,0.000145,0.000195
78,11,0.991429,0.000003,0.000151,0.000154,0.000194
79,12,0.991454,0.000003,0.000158,0.000160,0.000194
80,12,0.991504,0.000003,0.000162,0.000165,0.000194
81,13,0.991507,0.000003,0.000166,0.000169,0.000194
82,13,0.991532,0.000003,0.000151,0.000154,0.000195
83,12,0.991505,0.000003,0.000148,0.000151,0.000194
84,12,0.991507,0.000003,0.000160,0.000162,0.000194
85,13,0.991416,0.000003,0.000169,0.000172,0.000195
86,13,0.991410,0.000003,0.000152,0.000155,0.000195
87,14,0.991345,0.000003,0.000170,0.000173,0.000195
88,16,0.991298,0.000003,0.000162,0.000165,0.000194
89,16,0.991279,0.000003,0.000157,0.000159,0.000194
90,18,0.991290,0.000003,0.000150,0.000153,0.000194
91,17,0.991280,0.000002,0.000151,0.000153,0.000194
92,18,0.991279,0.000003,0.000159,0.000162,0.000194
93,17,0.991307,0.000003,0.000168,0.000170,0.000195
94,18,0.991308,0.000003,0.000171,0.000174,0.000195
95,18,0.991314,0.000003,0.000169,0.000172,0.000194
96,18,0.991313,0.000003,0.000159,0.000162,0.000194
97,19,0.991363,0.000003,0.000164,0.000167,0.000194
98,17,0.991331,0.000003,0.000160,0.000162,0.000195
99,17,0.991407,0.000003,0.000162,0.000165,0.000195
100,14,0.991386,0.000003,0.000151,0.000153,0.000194
