iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.997441,0.000114,0.000011,0.000125,0.001868
2,0,0.997441,0.000101,0.000006,0.000108,0.001876
3,0,0.997441,0.000105,0.000009,0.000114,0.001856
4,0,0.997441,0.000101,0.000009,0.000110,0.001892
5,0,0.997441,0.000107,0.000009,0.000116,0.001874
6,0,0.997441,0.000107,0.000009,0.000115,0.001847
7,0,0.997441,0.000104,0.000006,0.000110,0.001859
8,0,0.997441,0.000104,0.000009,0.000113,0.001834
9,0,0.997441,0.000105,0.000009,0.000113,0.001853
10,0,0.997441,0.000102,0.000006,0.000108,0.001874
11,0,0.997441,0.000102,0.000009,0.000110,0.001876
12,0,0.997441,0.000102,0.000006,0.000108,0.001856
13,0,0.997441,0.000107,0.000009,0.000116,0.001886
14,0,0.997441,0.000107,0.000007,0.000113,0.001861
15,0,0.997441,0.000104,0.000006,0.000110,0.001849
16,0,0.997441,0.000107,0.000009,0.000116,0.001891
17,0,0.997441,0.000100,0.000006,0.000107,0.001872
18,0,0.997441,0.000105,0.000009,0.000114,0.001955
19,0,0.997441,0.000102,0.000007,0.000109,0.001868
20,0,0.997439,0.000107,0.000006,0.000114,0.001867
21,0,0.997442,0.000104,0.000009,0.000113,0.001981
22,0,0.997441,0.000103,0.000009,0.000112,0.001882
23,0,0.997441,0.000103,0.000009,0.000112,0.001864
24,0,0.997441,0.000106,0.000009,0.000115,0.001956
25,0,0.997441,0.000102,0.000009,0.000111,0.001900
26,0,0.997441,0.000106,0.000006,0.000112,0.001968
27,0,0.997441,0.000107,0.000006,0.000114,0.001871
28,0,0.997441,0.000107,0.000009,0.000116,0.001875
29,0,0.997441,0.000101,0.000009,0.000110,0.001873
30,0,0.997441,0.000108,0.000009,0.000116,0.001964
31,0,0.997441,0.000106,0.000009,0.000115,0.001865
32,0,0.997441,0.000107,0.000009,0.000116,0.001884
33,0,0.997441,0.000108,0.000009,0.000117,0.001852
34,0,0.997441,0.000100,0.000009,0.000109,0.001919
35,0,0.997441,0.000107,0.000009,0.000116,0.001885
36,0,0.997441,0.000099,0.000009,0.000107,0.002000
37,0,0.997441,0.000106,0.000006,0.000113,0.001856
38,0,0.997441,0.000105,0.000006,0.000112,0.001853
39,0,0.997441,0.000105,0.000009,0.000114,0.001915
40,0,0.997441,0.000100,0.000009,0.000109,0.001858
41,0,0.997441,0.000109,0.000009,0.000118,0.001906
42,0,0.997441,0.000107,0.000009,0.000116,0.001971
43,0,0.997441,0.000103,0.000006,0.000109,0.001863
44,0,0.997441,0.000105,0.000009,0.000114,0.001900
45,0,0.997441,0.000100,0.000009,0.000109,0.001886
46,0,0.997441,0.000106,0.000006,0.000113,0.001860
47,0,0.997441,0.000104,0.000006,0.000111,0.001846
48,0,0.997441,0.000105,0.000009,0.000114,0.001890
