iteration_number,avg_sum_delete_add_time
1,0.000050
2,0.000049
3,0.000046
4,0.000054
5,0.000055
6,0.000064
7,0.000052
8,0.000038
9,0.000057
10,0.000062
11,0.000055
12,0.000057
13,0.000063
14,0.000039
15,0.000057
16,0.000057
17,0.000038
18,0.000048
19,0.000054
20,0.000038
21,0.000039
22,0.000043
23,0.000048
24,0.000041
25,0.000039
26,0.000047
27,0.000041
28,0.000066
29,0.000066
30,0.000043
31,0.000060
32,0.000063
33,0.000063
34,0.000047
35,0.000040
36,0.000041
37,0.000040
38,0.000043
39,0.000039
40,0.000056
41,0.000049
42,0.000062
43,0.000047
44,0.000067
45,0.000043
46,0.000041
47,0.000064
48,0.000049
49,0.000056
50,0.000063
51,0.000054
52,0.000049
53,0.000055
54,0.000044
55,0.000049
56,0.000040
57,0.000041
58,0.000068
59,0.000049
60,0.000042
61,0.000060
62,0.000059
63,0.000052
64,0.000064
65,0.000059
66,0.000065
67,0.000039
68,0.000045
69,0.000066
70,0.000049
71,0.000056
72,0.000052
73,0.000052
74,0.000057
75,0.000064
76,0.000063
77,0.000051
78,0.000053
79,0.000062
80,0.000061
81,0.000056
82,0.000049
83,0.000066
84,0.000056
85,0.000065
86,0.000046
87,0.000050
88,0.000061
89,0.000063
90,0.000061
91,0.000043
92,0.000056
93,0.000041
94,0.000066
95,0.000060
96,0.000039
97,0.000043
98,0.000056
99,0.000040
100,0.000046
