iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,2,0.996715,0.000002,0.000893,0.000895,0.000210
2,4,0.996530,0.000003,0.001022,0.001026,0.000210
3,3,0.996395,0.000003,0.000772,0.000774,0.000209
4,3,0.996310,0.000003,0.000748,0.000751,0.000211
5,4,0.996239,0.000003,0.000643,0.000646,0.000211
6,4,0.996104,0.000003,0.000634,0.000636,0.000211
7,5,0.996078,0.000003,0.000966,0.000968,0.000214
8,7,0.996048,0.000003,0.000911,0.000913,0.000215
9,8,0.996052,0.000003,0.000923,0.000925,0.000213
10,8,0.996052,0.000003,0.000923,0.000926,0.000214
11,9,0.996034,0.000003,0.000793,0.000796,0.000215
12,9,0.996028,0.000003,0.000795,0.000797,0.000216
13,9,0.996044,0.000003,0.000851,0.000854,0.000217
14,11,0.996081,0.000003,0.000763,0.000766,0.000217
15,13,0.996105,0.000003,0.000773,0.000776,0.000218
16,13,0.996147,0.000003,0.000871,0.000874,0.000218
17,14,0.996197,0.000003,0.000841,0.000844,0.000221
18,14,0.996239,0.000002,0.000985,0.000987,0.000221
19,16,0.996241,0.000003,0.000910,0.000913,0.000221
20,16,0.996265,0.000003,0.000728,0.000731,0.000223
21,16,0.996289,0.000003,0.000781,0.000784,0.000218
22,18,0.996299,0.000003,0.000726,0.000728,0.000219
23,19,0.996297,0.000003,0.000929,0.000932,0.000223
24,20,0.996343,0.000003,0.000887,0.000889,0.000221
25,21,0.996366,0.000003,0.000881,0.000883,0.000220
26,21,0.996371,0.000003,0.000858,0.000861,0.000221
27,24,0.996379,0.000003,0.001005,0.001008,0.000222
28,26,0.996410,0.000002,0.001074,0.001077,0.000223
29,28,0.996446,0.000002,0.000874,0.000877,0.000225
30,29,0.996493,0.000003,0.000908,0.000910,0.000224
31,31,0.996546,0.000003,0.000878,0.000880,0.000223
32,35,0.996619,0.000003,0.000828,0.000831,0.000227
33,37,0.996641,0.000003,0.000878,0.000881,0.000225
34,40,0.996645,0.000003,0.000830,0.000833,0.000224
35,41,0.996634,0.000003,0.000827,0.000829,0.000225
36,44,0.996627,0.000003,0.000869,0.000872,0.000227
37,46,0.996624,0.000003,0.000926,0.000928,0.000226
38,47,0.996628,0.000003,0.000821,0.000824,0.000227
39,49,0.996670,0.000003,0.000847,0.000850,0.000226
40,50,0.996655,0.000003,0.001074,0.001076,0.000226
41,54,0.996636,0.000003,0.000911,0.000914,0.000228
42,55,0.996622,0.000003,0.000806,0.000809,0.000226
43,55,0.996647,0.000002,0.000786,0.000788,0.000229
44,56,0.996599,0.000002,0.001060,0.001062,0.000225
45,54,0.996615,0.000003,0.000578,0.000581,0.000226
46,61,0.996630,0.000003,0.000930,0.000933,0.000227
47,61,0.996605,0.000003,0.000973,0.000975,0.000231
48,61,0.996648,0.000003,0.000767,0.000770,0.000232
49,63,0.996605,0.000003,0.001033,0.001036,0.000229
50,66,0.996638,0.000003,0.000959,0.000961,0.000229
51,67,0.996613,0.000003,0.000977,0.000980,0.000228
52,69,0.996593,0.000003,0.001088,0.001091,0.000232
53,71,0.996582,0.000003,0.001082,0.001085,0.000227
54,75,0.996604,0.000003,0.000868,0.000871,0.000228
55,78,0.996586,0.000002,0.000906,0.000908,0.000228
56,78,0.996579,0.000003,0.000792,0.000795,0.000226
57,81,0.996591,0.000003,0.000796,0.000799,0.000228
58,81,0.996618,0.000003,0.000838,0.000840,0.000227
59,79,0.996625,0.000003,0.000824,0.000827,0.000228
60,80,0.996640,0.000003,0.000962,0.000964,0.000231
61,78,0.996628,0.000003,0.000782,0.000785,0.000231
62,75,0.996594,0.000002,0.000798,0.000800,0.000229
63,74,0.996635,0.000003,0.000870,0.000873,0.000230
64,74,0.996623,0.000003,0.000897,0.000900,0.000229
65,74,0.996630,0.000003,0.000493,0.000496,0.000229
66,71,0.996612,0.000003,0.000640,0.000642,0.000229
67,71,0.996616,0.000003,0.000838,0.000841,0.000230
68,72,0.996626,0.000003,0.000752,0.000754,0.000231
69,77,0.996651,0.000003,0.001007,0.001010,0.000233
70,78,0.996637,0.000003,0.001056,0.001059,0.000236
71,79,0.996618,0.000003,0.001027,0.001030,0.000234
72,81,0.996612,0.000003,0.000845,0.000847,0.000233
73,79,0.996610,0.000003,0.001091,0.001094,0.000239
74,77,0.996616,0.000003,0.000889,0.000892,0.000235
