iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,161875,0.808620,0.000001,0.000299,0.000301,0.000205
2,163743,0.808660,0.000002,0.000223,0.000225,0.000199
3,164393,0.808780,0.000002,0.000225,0.000227,0.000200
4,164299,0.808850,0.000002,0.000216,0.000217,0.000178
5,163535,0.808780,0.000002,0.000186,0.000188,0.000169
6,162562,0.808590,0.000002,0.000187,0.000188,0.000169
7,161534,0.808490,0.000002,0.000188,0.000190,0.000167
8,160441,0.807870,0.000002,0.000189,0.000191,0.000171
9,159157,0.807880,0.000002,0.000184,0.000186,0.000169
10,158023,0.807580,0.000002,0.000185,0.000187,0.000169
11,156982,0.806720,0.000002,0.000186,0.000188,0.000172
12,155542,0.806720,0.000002,0.000239,0.000240,0.000228
13,154724,0.806370,0.000002,0.000240,0.000242,0.000228
14,153638,0.806170,0.000001,0.000246,0.000247,0.000234
15,153052,0.805990,0.000002,0.000247,0.000248,0.000234
16,152483,0.805620,0.000002,0.000252,0.000253,0.000233
17,151992,0.805320,0.000002,0.000259,0.000260,0.000235
18,151593,0.804890,0.000002,0.000298,0.000299,0.000271
19,151534,0.804160,0.000002,0.000300,0.000302,0.000272
20,150987,0.803680,0.000002,0.000301,0.000303,0.000269
21,150379,0.803240,0.000002,0.000312,0.000314,0.000286
22,149547,0.802450,0.000001,0.000314,0.000316,0.000284
23,148847,0.801400,0.000002,0.000317,0.000319,0.000285
24,147889,0.800880,0.000002,0.000318,0.000320,0.000285
25,147154,0.799950,0.000001,0.000321,0.000322,0.000285
26,146541,0.799150,0.000001,0.000322,0.000324,0.000283
27,145874,0.797580,0.000002,0.000325,0.000326,0.000283
28,145532,0.796950,0.000002,0.000328,0.000329,0.000283
29,145561,0.796540,0.000002,0.000330,0.000332,0.000276
30,145890,0.795960,0.000002,0.000329,0.000330,0.000274
31,145935,0.794650,0.000002,0.000329,0.000331,0.000275
32,146005,0.794780,0.000002,0.000332,0.000334,0.000271
33,145572,0.793010,0.000002,0.000334,0.000336,0.000270
34,145442,0.792260,0.000002,0.000336,0.000337,0.000271
35,145330,0.791760,0.000002,0.000340,0.000341,0.000271
36,144928,0.790430,0.000002,0.000341,0.000342,0.000272
37,145123,0.790050,0.000002,0.000346,0.000347,0.000273
38,145118,0.788970,0.000002,0.000350,0.000352,0.000271
39,145753,0.788040,0.000002,0.000337,0.000339,0.000259
40,145805,0.786650,0.000002,0.000337,0.000339,0.000258
41,145801,0.785330,0.000002,0.000340,0.000342,0.000259
42,145883,0.783540,0.000002,0.000342,0.000344,0.000259
43,145898,0.782930,0.000002,0.000329,0.000331,0.000241
44,145965,0.782220,0.000002,0.000321,0.000323,0.000235
45,146138,0.781340,0.000002,0.000318,0.000319,0.000237
46,146104,0.780610,0.000001,0.000320,0.000321,0.000236
47,146062,0.779710,0.000002,0.000324,0.000326,0.000236
48,146433,0.778610,0.000002,0.000326,0.000328,0.000238
49,146446,0.777860,0.000002,0.000332,0.000333,0.000238
50,146959,0.776140,0.000002,0.000335,0.000337,0.000238
51,147089,0.774840,0.000002,0.000338,0.000339,0.000237
52,147279,0.773320,0.000002,0.000340,0.000342,0.000235
53,147411,0.771920,0.000002,0.000337,0.000339,0.000234
54,147207,0.770440,0.000002,0.000343,0.000345,0.000233
55,147278,0.769630,0.000002,0.000343,0.000344,0.000233
56,147023,0.768740,0.000001,0.000314,0.000315,0.000215
57,146777,0.768280,0.000002,0.000314,0.000316,0.000215
58,146894,0.766120,0.000002,0.000317,0.000319,0.000213
59,146574,0.766200,0.000002,0.000318,0.000319,0.000213
60,146723,0.765390,0.000002,0.000319,0.000321,0.000214
61,146605,0.763810,0.000002,0.000321,0.000322,0.000214
62,146916,0.763130,0.000002,0.000312,0.000315,0.000214
63,146975,0.762380,0.000002,0.000309,0.000311,0.000205
64,146812,0.761670,0.000002,0.000297,0.000298,0.000205
65,146734,0.760760,0.000002,0.000298,0.000299,0.000207
66,146675,0.759510,0.000002,0.000301,0.000303,0.000209
67,146906,0.758380,0.000002,0.000303,0.000304,0.000209
68,146977,0.757480,0.000002,0.000306,0.000308,0.000210
69,146956,0.756030,0.000002,0.000309,0.000310,0.000211
70,146820,0.755530,0.000002,0.000309,0.000310,0.000214
71,146994,0.755160,0.000002,0.000314,0.000315,0.000214
72,146943,0.753880,0.000002,0.000313,0.000315,0.000215
73,147111,0.753050,0.000002,0.000318,0.000320,0.000218
74,147034,0.752710,0.000002,0.000319,0.000321,0.000218
75,147020,0.752960,0.000002,0.000321,0.000323,0.000220
76,147055,0.751430,0.000002,0.000324,0.000326,0.000223
77,146994,0.751390,0.000002,0.000329,0.000330,0.000224
78,146896,0.751490,0.000002,0.000329,0.000331,0.000226
79,147093,0.751290,0.000002,0.000332,0.000334,0.000226
80,147300,0.750380,0.000001,0.000334,0.000335,0.000227
81,147580,0.749780,0.000002,0.000334,0.000335,0.000230
82,147519,0.750170,0.000002,0.000335,0.000336,0.000233
83,147847,0.749480,0.000002,0.000340,0.000342,0.000233
84,148259,0.748200,0.000002,0.000345,0.000347,0.000236
85,148816,0.747000,0.000002,0.000348,0.000349,0.000238
86,149374,0.746350,0.000002,0.000346,0.000348,0.000238
87,149732,0.746350,0.000002,0.000347,0.000348,0.000239
88,150123,0.746030,0.000002,0.000350,0.000351,0.000241
89,151004,0.744700,0.000002,0.000351,0.000352,0.000243
90,151708,0.743600,0.000002,0.000349,0.000351,0.000244
91,152738,0.743250,0.000002,0.000352,0.000354,0.000245
92,154102,0.742410,0.000002,0.000357,0.000359,0.000250
93,155601,0.741320,0.000002,0.000354,0.000356,0.000247
94,157060,0.739480,0.000002,0.000357,0.000358,0.000247
95,158717,0.738430,0.000002,0.000355,0.000357,0.000248
96,160286,0.737640,0.000002,0.000335,0.000336,0.000225
97,162314,0.734800,0.000002,0.000336,0.000338,0.000226
98,164467,0.733970,0.000002,0.000335,0.000337,0.000227
99,166588,0.732890,0.000002,0.000334,0.000336,0.000231
100,169058,0.731830,0.000002,0.000433,0.000434,0.000285
