ef,recall,query_time
1000,0.818390,0.000948
1100,0.824570,0.001026
1200,0.830560,0.001113
1300,0.835410,0.001203
1400,0.839690,0.001260
1500,0.844120,0.001328
1600,0.847310,0.001405
1700,0.850780,0.001487
1800,0.853970,0.001553
1900,0.856490,0.001611
2000,0.858920,0.001691
2100,0.861390,0.001761
2200,0.863540,0.001895
2300,0.865650,0.001892
2400,0.867580,0.001973
2500,0.869360,0.002073
2600,0.870960,0.002093
2700,0.872560,0.002168
2800,0.874360,0.002237
2900,0.875770,0.002290
3000,0.877190,0.002392
3100,0.878440,0.002439
3200,0.879650,0.002491
3300,0.880720,0.002579
3400,0.881840,0.002629
3500,0.882900,0.002684
3600,0.884120,0.002783
3700,0.885000,0.002820
3800,0.886080,0.002886
3900,0.887060,0.002937
4000,0.887890,0.003018
4100,0.888800,0.003093
4200,0.889700,0.003144
4300,0.890550,0.003182
4400,0.891260,0.003257
4500,0.892070,0.003315
4600,0.893000,0.003364
4700,0.893780,0.003466
4800,0.894470,0.003552
4900,0.895250,0.003579
5000,0.895890,0.003681
5100,0.896650,0.003726
5200,0.897310,0.003743
5300,0.897970,0.003811
5400,0.898460,0.003879
5500,0.899250,0.003934
5600,0.899970,0.003984
5700,0.900500,0.004033
5800,0.901010,0.004109
5900,0.901380,0.004166
6000,0.901900,0.004231
6100,0.902370,0.004280
6200,0.902760,0.004343
6300,0.903260,0.004419
6400,0.903680,0.004471
6500,0.904280,0.004512
6600,0.904720,0.004562
6700,0.905270,0.004622
6800,0.905710,0.004743
6900,0.906110,0.004742
7000,0.906460,0.004795
7100,0.906880,0.004841
7200,0.907300,0.004899
7300,0.907650,0.004967
7400,0.908000,0.005043
7500,0.908420,0.005115
7600,0.908740,0.005151
7700,0.909050,0.005215
7800,0.909440,0.005257
7900,0.909820,0.005365
8000,0.910080,0.005435
8100,0.910380,0.005486
8200,0.910720,0.005506
8300,0.911070,0.005558
8400,0.911320,0.005606
8500,0.911650,0.005667
8600,0.912030,0.005741
8700,0.912410,0.005792
8800,0.912660,0.005811
8900,0.912880,0.005896
9000,0.913170,0.005917
9100,0.913400,0.006026
9200,0.913620,0.006062
9300,0.913910,0.006084
9400,0.914130,0.006159
9500,0.914440,0.006201
9600,0.914630,0.006324
9700,0.914840,0.006301
9800,0.915200,0.006419
9900,0.915440,0.006423
10000,0.915680,0.006519
