iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.998420,0.000152,0.000013,0.000165,0.017710
2,0,0.998420,0.000156,0.000010,0.000166,0.017163
3,0,0.998420,0.000143,0.000010,0.000152,0.017679
4,0,0.998420,0.000144,0.000010,0.000154,0.017485
5,0,0.998420,0.000140,0.000010,0.000150,0.017452
6,0,0.998420,0.000142,0.000010,0.000151,0.017077
7,0,0.998420,0.000149,0.000010,0.000159,0.017554
8,0,0.998420,0.000135,0.000010,0.000145,0.017138
9,0,0.998420,0.000146,0.000010,0.000156,0.018572
10,0,0.998420,0.000142,0.000007,0.000149,0.016958
11,0,0.998420,0.000141,0.000010,0.000151,0.017340
12,0,0.998420,0.000150,0.000010,0.000160,0.017971
13,0,0.998420,0.000135,0.000007,0.000142,0.017267
14,0,0.998420,0.000141,0.000010,0.000151,0.017266
15,0,0.998420,0.000137,0.000010,0.000147,0.017353
16,0,0.998420,0.000140,0.000010,0.000150,0.017097
17,0,0.998420,0.000142,0.000010,0.000152,0.016884
18,0,0.998420,0.000147,0.000008,0.000155,0.018582
19,0,0.998420,0.000138,0.000008,0.000145,0.016624
20,0,0.998420,0.000147,0.000007,0.000154,0.017378
21,0,0.998420,0.000154,0.000010,0.000164,0.017301
22,0,0.998420,0.000147,0.000010,0.000156,0.016960
23,0,0.998420,0.000137,0.000007,0.000145,0.017192
24,0,0.998420,0.000144,0.000010,0.000154,0.017196
25,0,0.998420,0.000145,0.000007,0.000153,0.017375
26,0,0.998420,0.000140,0.000010,0.000150,0.017182
27,0,0.998420,0.000139,0.000010,0.000149,0.017238
28,0,0.998420,0.000141,0.000010,0.000150,0.016786
29,0,0.998420,0.000146,0.000010,0.000156,0.017215
30,0,0.998420,0.000135,0.000007,0.000142,0.016998
31,0,0.998420,0.000138,0.000010,0.000148,0.017087
32,0,0.998420,0.000134,0.000007,0.000141,0.016832
33,0,0.998420,0.000144,0.000009,0.000152,0.016981
34,0,0.998420,0.000142,0.000010,0.000152,0.016913
35,0,0.998420,0.000130,0.000010,0.000139,0.017260
36,0,0.998420,0.000130,0.000008,0.000137,0.017194
37,0,0.998420,0.000136,0.000010,0.000146,0.017097
38,0,0.998420,0.000145,0.000010,0.000155,0.017367
39,0,0.998420,0.000141,0.000010,0.000151,0.017342
40,0,0.998420,0.000143,0.000010,0.000152,0.017135
41,0,0.998420,0.000134,0.000010,0.000144,0.017294
42,0,0.998420,0.000140,0.000009,0.000150,0.017114
43,0,0.998420,0.000139,0.000010,0.000149,0.017237
44,0,0.998420,0.000143,0.000010,0.000152,0.016980
45,0,0.998420,0.000143,0.000007,0.000151,0.016871
46,0,0.998420,0.000140,0.000010,0.000150,0.017116
47,0,0.998420,0.000143,0.000010,0.000153,0.017018
48,0,0.998420,0.000144,0.000008,0.000151,0.017065
49,0,0.998420,0.000133,0.000007,0.000140,0.017208
50,0,0.998420,0.000142,0.000010,0.000152,0.017508
