iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,162662,0.808380,0.000001,0.000232,0.000233,0.000192
2,165108,0.808160,0.000001,0.000250,0.000252,0.000195
3,166466,0.807980,0.000001,0.000239,0.000241,0.000185
4,166915,0.807950,0.000002,0.000208,0.000210,0.000179
5,166854,0.807960,0.000002,0.000210,0.000212,0.000178
6,166593,0.807820,0.000002,0.000210,0.000211,0.000182
7,166010,0.807620,0.000002,0.000214,0.000215,0.000180
8,165640,0.806930,0.000002,0.000218,0.000219,0.000181
9,164660,0.806550,0.000002,0.000212,0.000213,0.000180
10,163962,0.806630,0.000002,0.000196,0.000198,0.000176
11,163317,0.805850,0.000002,0.000199,0.000201,0.000179
12,162136,0.805540,0.000001,0.000200,0.000202,0.000184
13,161361,0.805370,0.000001,0.000206,0.000208,0.000182
14,160893,0.805060,0.000002,0.000206,0.000208,0.000180
15,160907,0.804520,0.000002,0.000208,0.000209,0.000202
16,160644,0.804060,0.000002,0.000211,0.000213,0.000198
17,160511,0.803460,0.000002,0.000211,0.000212,0.000201
18,160455,0.802860,0.000002,0.000211,0.000213,0.000198
19,160590,0.802240,0.000002,0.000214,0.000216,0.000200
20,160731,0.801240,0.000001,0.000215,0.000216,0.000197
21,159863,0.800660,0.000001,0.000215,0.000216,0.000198
22,159722,0.800500,0.000001,0.000218,0.000219,0.000199
23,159647,0.799600,0.000002,0.000223,0.000224,0.000198
24,159681,0.799800,0.000001,0.000222,0.000223,0.000198
25,159298,0.798360,0.000001,0.000228,0.000230,0.000197
26,159063,0.797150,0.000001,0.000228,0.000229,0.000196
27,158557,0.796470,0.000001,0.000230,0.000231,0.000197
28,158341,0.796160,0.000001,0.000234,0.000235,0.000198
29,158763,0.794720,0.000001,0.000239,0.000241,0.000197
30,159102,0.792230,0.000002,0.000243,0.000244,0.000195
31,159399,0.791330,0.000002,0.000244,0.000246,0.000194
32,159606,0.790930,0.000002,0.000256,0.000258,0.000200
33,159475,0.790200,0.000002,0.000258,0.000259,0.000200
34,159623,0.788960,0.000001,0.000264,0.000266,0.000200
35,159467,0.788320,0.000002,0.000268,0.000269,0.000202
36,159173,0.787710,0.000001,0.000273,0.000275,0.000203
37,159681,0.788030,0.000002,0.000282,0.000284,0.000202
38,159844,0.787200,0.000002,0.000283,0.000285,0.000198
39,160463,0.786650,0.000001,0.000289,0.000290,0.000196
40,160699,0.785040,0.000001,0.000292,0.000293,0.000194
41,161200,0.783970,0.000002,0.000295,0.000297,0.000191
42,161478,0.783030,0.000001,0.000309,0.000311,0.000197
43,161895,0.780880,0.000001,0.000313,0.000314,0.000195
44,162219,0.779630,0.000001,0.000316,0.000317,0.000192
45,162529,0.778540,0.000001,0.000324,0.000326,0.000188
