ef,recall,query_time
1000,0.784480,0.000955
1100,0.788300,0.001022
1200,0.791660,0.001102
1300,0.794540,0.001186
1400,0.797070,0.001251
1500,0.799130,0.001320
1600,0.801150,0.001394
1700,0.802980,0.001497
1800,0.804620,0.001539
1900,0.806080,0.001607
2000,0.807300,0.001684
2100,0.808440,0.001780
2200,0.809480,0.001820
2300,0.810330,0.001905
2400,0.811430,0.001976
2500,0.812420,0.002038
2600,0.813290,0.002090
2700,0.814430,0.002167
2800,0.815390,0.002229
2900,0.816300,0.002299
3000,0.816940,0.002360
3100,0.817590,0.002452
3200,0.818190,0.002491
3300,0.818820,0.002557
3400,0.819400,0.002628
3500,0.820080,0.002703
3600,0.820630,0.002747
3700,0.821260,0.002814
3800,0.821810,0.002901
3900,0.822300,0.002953
4000,0.822750,0.003018
4100,0.823210,0.003075
4200,0.823630,0.003130
4300,0.824000,0.003186
4400,0.824430,0.003258
4500,0.824870,0.003311
4600,0.825290,0.003396
4700,0.825660,0.003457
4800,0.825970,0.003521
4900,0.826310,0.003610
5000,0.826630,0.003649
5100,0.826910,0.003703
5200,0.827190,0.003742
5300,0.827540,0.003804
5400,0.827890,0.003861
5500,0.828200,0.003926
5600,0.828560,0.003991
5700,0.828890,0.004069
5800,0.829160,0.004139
5900,0.829370,0.004191
6000,0.829670,0.004227
6100,0.829950,0.004327
6200,0.830210,0.004402
6300,0.830450,0.004413
6400,0.830690,0.004521
6500,0.830870,0.004577
6600,0.831110,0.004586
6700,0.831340,0.004633
6800,0.831530,0.004722
6900,0.831710,0.004770
7000,0.831940,0.004840
7100,0.832170,0.004884
7200,0.832390,0.004942
7300,0.832600,0.004998
7400,0.832770,0.005055
7500,0.833050,0.005110
7600,0.833220,0.005151
7700,0.833450,0.005220
7800,0.833700,0.005269
7900,0.833830,0.005362
8000,0.833960,0.005417
8100,0.834060,0.005465
8200,0.834270,0.005521
8300,0.834520,0.005567
8400,0.834690,0.005635
8500,0.834850,0.005669
8600,0.835070,0.005762
8700,0.835240,0.005804
8800,0.835350,0.005856
8900,0.835500,0.005937
9000,0.835800,0.005979
9100,0.835910,0.006028
9200,0.836080,0.006091
9300,0.836230,0.006179
9400,0.836420,0.006223
9500,0.836540,0.006360
9600,0.836730,0.006307
9700,0.836980,0.006389
9800,0.837150,0.006471
9900,0.837280,0.006479
10000,0.837380,0.006570
