iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,9,0.991681,0.000001,0.000050,0.000052,0.000050
2,8,0.990718,0.000002,0.000044,0.000046,0.000049
3,14,0.990035,0.000002,0.000047,0.000049,0.000053
4,15,0.989451,0.000002,0.000046,0.000048,0.000049
5,26,0.989219,0.000001,0.000043,0.000044,0.000049
6,28,0.988979,0.000001,0.000043,0.000045,0.000050
7,30,0.988446,0.000001,0.000043,0.000044,0.000049
8,35,0.988442,0.000001,0.000043,0.000044,0.000049
9,43,0.988382,0.000001,0.000043,0.000045,0.000048
10,48,0.988572,0.000001,0.000043,0.000044,0.000048
