ef,recall,query_time
100,0.932504,0.000046
200,0.971644,0.000080
300,0.982888,0.000115
400,0.988217,0.000150
500,0.991423,0.000185
600,0.993399,0.000221
700,0.994731,0.000257
800,0.995713,0.000294
900,0.996410,0.000330
1000,0.996999,0.000365
1100,0.997459,0.000404
1200,0.997829,0.000443
1300,0.998132,0.000476
1400,0.998382,0.000517
1500,0.998602,0.000551
1600,0.998771,0.000589
1700,0.998933,0.000627
1800,0.999027,0.000665
1900,0.999133,0.000701
2000,0.999215,0.000737
2100,0.999280,0.000782
2200,0.999337,0.000815
2300,0.999388,0.000849
2400,0.999451,0.000901
2500,0.999499,0.000938
2600,0.999533,0.000975
2700,0.999569,0.001021
2800,0.999608,0.001045
2900,0.999621,0.001089
3000,0.999642,0.001123
3100,0.999665,0.001163
3200,0.999695,0.001184
3300,0.999715,0.001220
3400,0.999733,0.001259
3500,0.999750,0.001304
3600,0.999764,0.001343
3700,0.999779,0.001382
3800,0.999782,0.001413
3900,0.999800,0.001454
4000,0.999814,0.001490
4100,0.999837,0.001546
4200,0.999848,0.001558
4300,0.999857,0.001587
4400,0.999860,0.001627
4500,0.999867,0.001659
4600,0.999871,0.001693
4700,0.999872,0.001733
4800,0.999881,0.001769
4900,0.999891,0.001809
5000,0.999894,0.001844
