iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.996529,0.000092,0.000007,0.000100,0.003408
2,0,0.996580,0.000090,0.000007,0.000098,0.003409
3,0,0.996630,0.000092,0.000008,0.000101,0.003400
4,0,0.996507,0.000095,0.000008,0.000103,0.003509
5,0,0.996509,0.000089,0.000008,0.000097,0.003379
6,0,0.996427,0.000091,0.000008,0.000099,0.003386
7,0,0.996352,0.000090,0.000006,0.000097,0.003368
8,0,0.996298,0.000090,0.000008,0.000098,0.003381
9,0,0.996251,0.000091,0.000008,0.000099,0.003378
10,0,0.996296,0.000093,0.000008,0.000101,0.003384
