iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,25,0.993749,0.000001,0.000110,0.000111,0.000057
2,32,0.993786,0.000001,0.000108,0.000109,0.000057
3,45,0.993972,0.000001,0.000107,0.000108,0.000058
4,70,0.993989,0.000001,0.000110,0.000112,0.000058
5,88,0.994220,0.000001,0.000109,0.000111,0.000059
6,116,0.994203,0.000001,0.000111,0.000112,0.000058
7,130,0.994146,0.000001,0.000110,0.000112,0.000059
8,121,0.994067,0.000001,0.000108,0.000109,0.000059
9,139,0.994234,0.000001,0.000111,0.000112,0.000060
10,160,0.994234,0.000001,0.000111,0.000112,0.000060
