ef,recall,query_time
100,0.936885,0.000052
200,0.976795,0.000084
300,0.987176,0.000122
400,0.991742,0.000156
500,0.994234,0.000195
600,0.995736,0.000228
700,0.996732,0.000265
800,0.997398,0.000301
900,0.997909,0.000335
1000,0.998278,0.000376
1100,0.998546,0.000409
1200,0.998767,0.000447
1300,0.998938,0.000486
1400,0.999075,0.000522
1500,0.999188,0.000558
1600,0.999315,0.000594
1700,0.999386,0.000630
1800,0.999444,0.000667
1900,0.999496,0.000703
2000,0.999543,0.000743
2100,0.999596,0.000782
2200,0.999646,0.000817
2300,0.999676,0.000857
2400,0.999706,0.000896
2500,0.999732,0.000929
2600,0.999753,0.000964
2700,0.999770,0.001002
2800,0.999782,0.001045
2900,0.999791,0.001089
3000,0.999808,0.001124
3100,0.999817,0.001159
3200,0.999828,0.001195
3300,0.999839,0.001232
3400,0.999849,0.001270
3500,0.999853,0.001303
3600,0.999860,0.001341
3700,0.999867,0.001378
3800,0.999877,0.001419
3900,0.999876,0.001455
4000,0.999886,0.001494
4100,0.999892,0.001521
4200,0.999898,0.001552
4300,0.999900,0.001583
4400,0.999910,0.001627
4500,0.999905,0.001663
4600,0.999916,0.001691
4700,0.999912,0.001729
4800,0.999913,0.001765
4900,0.999923,0.001801
5000,0.999924,0.001835
