iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,3881,0.978730,0.000011,0.001340,0.001352,0.001057
2,4132,0.976450,0.000003,0.001318,0.001321,0.001052
3,4352,0.975150,0.000003,0.001281,0.001284,0.001033
4,4553,0.974180,0.000008,0.001288,0.001295,0.001009
5,4692,0.973320,0.000002,0.001251,0.001253,0.001002
6,4814,0.972610,0.000002,0.001262,0.001264,0.001009
7,4917,0.972140,0.000002,0.001264,0.001266,0.001013
8,4996,0.971630,0.000002,0.001261,0.001263,0.001013
9,5064,0.971260,0.000002,0.001255,0.001257,0.001009
10,5132,0.971130,0.000002,0.001270,0.001272,0.001016
11,5171,0.970900,0.000002,0.001260,0.001262,0.001018
12,5197,0.970730,0.000002,0.001271,0.001273,0.001022
13,5236,0.970450,0.000002,0.001275,0.001276,0.001017
14,5247,0.970170,0.000002,0.001274,0.001276,0.001021
15,5281,0.969910,0.000002,0.001274,0.001276,0.001023
16,5298,0.969670,0.000002,0.001271,0.001273,0.001015
17,5301,0.969290,0.000002,0.001263,0.001265,0.001007
18,5314,0.969250,0.000002,0.001248,0.001250,0.001008
19,5335,0.968900,0.000002,0.001247,0.001249,0.001004
20,5350,0.968480,0.000002,0.001242,0.001244,0.001003
21,5381,0.968420,0.000002,0.001241,0.001243,0.001000
22,5385,0.968350,0.000002,0.001239,0.001241,0.000974
23,5399,0.968170,0.000002,0.001205,0.001207,0.000971
24,5408,0.968050,0.000002,0.001196,0.001198,0.000946
25,5421,0.968030,0.000002,0.001166,0.001168,0.000936
26,5433,0.967600,0.000002,0.001160,0.001161,0.000931
27,5446,0.967590,0.000002,0.001155,0.001157,0.000927
28,5463,0.967390,0.000002,0.001136,0.001137,0.000917
29,5468,0.967550,0.000002,0.001138,0.001140,0.000900
30,5455,0.967340,0.000002,0.001124,0.001126,0.000899
31,5449,0.966990,0.000002,0.001115,0.001117,0.000892
32,5467,0.966750,0.000002,0.001113,0.001114,0.000891
33,5469,0.966560,0.000002,0.001113,0.001115,0.000893
34,5449,0.966170,0.000002,0.001112,0.001114,0.000891
35,5461,0.966280,0.000002,0.001110,0.001112,0.000890
36,5476,0.966390,0.000002,0.001110,0.001112,0.000889
37,5495,0.966310,0.000002,0.001110,0.001112,0.000897
38,5485,0.966230,0.000002,0.001110,0.001111,0.000892
39,5487,0.966120,0.000002,0.001108,0.001110,0.000894
40,5500,0.965990,0.000002,0.001107,0.001108,0.000895
41,5500,0.966290,0.000002,0.001103,0.001105,0.000894
42,5512,0.966210,0.000002,0.001108,0.001110,0.000891
43,5526,0.966020,0.000002,0.001101,0.001102,0.000884
44,5545,0.965890,0.000002,0.001105,0.001107,0.000890
45,5541,0.965780,0.000002,0.001104,0.001106,0.000888
46,5551,0.965580,0.000002,0.001102,0.001104,0.000882
47,5544,0.965520,0.000002,0.001112,0.001114,0.000887
48,5562,0.965070,0.000002,0.001098,0.001100,0.000883
49,5568,0.965420,0.000002,0.001104,0.001105,0.000882
50,5561,0.965710,0.000002,0.001101,0.001103,0.000880
51,5561,0.965330,0.000002,0.001103,0.001105,0.000883
52,5578,0.965190,0.000002,0.001096,0.001098,0.000886
53,5595,0.964940,0.000002,0.001105,0.001107,0.000885
54,5631,0.964990,0.000002,0.001110,0.001112,0.000893
55,5652,0.965080,0.000002,0.001122,0.001123,0.000900
56,5644,0.965000,0.000002,0.001132,0.001134,0.000920
57,5667,0.964950,0.000002,0.001143,0.001145,0.000922
58,5678,0.964870,0.000002,0.001148,0.001149,0.000927
59,5691,0.964790,0.000002,0.001162,0.001164,0.000944
60,5707,0.964890,0.000002,0.001176,0.001178,0.000963
61,5699,0.964800,0.000002,0.001184,0.001186,0.000959
62,5716,0.964270,0.000002,0.001186,0.001188,0.000965
63,5733,0.963980,0.000002,0.001190,0.001192,0.000968
64,5728,0.964160,0.000002,0.001191,0.001193,0.000962
65,5745,0.963880,0.000002,0.001191,0.001193,0.000965
66,5746,0.964110,0.000002,0.001190,0.001191,0.000961
67,5760,0.964150,0.000002,0.001194,0.001195,0.000955
68,5767,0.963860,0.000002,0.001188,0.001189,0.000960
69,5791,0.963790,0.000002,0.001186,0.001188,0.000959
70,5806,0.963820,0.000002,0.001187,0.001189,0.000959
71,5821,0.963760,0.000002,0.001184,0.001186,0.000962
72,5839,0.963640,0.000002,0.001188,0.001190,0.000964
73,5843,0.963630,0.000002,0.001188,0.001190,0.000966
74,5828,0.963360,0.000002,0.001182,0.001184,0.000957
75,5816,0.963390,0.000002,0.001186,0.001187,0.000959
76,5816,0.963150,0.000002,0.001185,0.001187,0.000962
77,5832,0.963080,0.000002,0.001186,0.001187,0.000959
78,5823,0.962990,0.000002,0.001191,0.001193,0.000953
79,5832,0.963180,0.000002,0.001187,0.001189,0.000955
80,5831,0.962890,0.000002,0.001186,0.001188,0.000960
81,5851,0.962690,0.000002,0.001185,0.001187,0.000962
82,5872,0.962590,0.000002,0.001188,0.001189,0.000958
83,5883,0.962640,0.000002,0.001188,0.001190,0.000962
84,5899,0.962820,0.000002,0.001184,0.001186,0.000963
85,5920,0.962850,0.000002,0.001187,0.001189,0.000956
86,5957,0.962840,0.000004,0.001187,0.001191,0.000956
87,5968,0.962640,0.000002,0.001188,0.001189,0.000955
88,5987,0.962410,0.000002,0.001191,0.001193,0.000960
89,5997,0.962280,0.000002,0.001188,0.001190,0.000953
90,6009,0.962330,0.000002,0.001195,0.001197,0.000974
91,6023,0.962130,0.000002,0.001207,0.001209,0.000972
92,6038,0.962260,0.000002,0.001222,0.001224,0.000990
93,6026,0.962620,0.000002,0.001232,0.001233,0.001000
94,6051,0.962690,0.000002,0.001235,0.001236,0.000996
95,6071,0.962700,0.000002,0.001235,0.001237,0.001002
96,6084,0.962740,0.000002,0.001243,0.001245,0.001006
97,6097,0.962740,0.000002,0.001253,0.001254,0.001012
98,6118,0.962930,0.000002,0.001254,0.001256,0.001020
99,6128,0.962720,0.000002,0.001258,0.001259,0.001017
100,6161,0.962550,0.000002,0.001257,0.001258,0.001016
101,6174,0.962690,0.000002,0.001251,0.001252,0.001019
102,6171,0.962890,0.000002,0.001250,0.001252,0.001013
103,6196,0.962700,0.000002,0.001253,0.001255,0.001018
104,6227,0.962850,0.000002,0.001255,0.001257,0.001020
105,6242,0.962930,0.000002,0.001260,0.001261,0.001017
106,6246,0.962860,0.000002,0.001257,0.001259,0.001022
107,6264,0.962790,0.000002,0.001257,0.001259,0.001021
108,6289,0.962980,0.000002,0.001259,0.001261,0.001016
109,6315,0.962740,0.000002,0.001259,0.001260,0.001019
110,6324,0.962880,0.000002,0.001254,0.001256,0.001011
111,6339,0.962710,0.000002,0.001259,0.001260,0.001017
112,6360,0.962880,0.000002,0.001255,0.001257,0.001015
113,6388,0.962790,0.000002,0.001254,0.001256,0.001013
114,6397,0.962360,0.000002,0.001253,0.001255,0.001016
115,6419,0.962450,0.000002,0.001249,0.001251,0.001018
116,6442,0.962200,0.000002,0.001253,0.001255,0.001022
117,6456,0.962000,0.000002,0.001257,0.001258,0.001018
118,6470,0.962030,0.000002,0.001251,0.001253,0.001014
119,6464,0.962340,0.000002,0.001257,0.001259,0.001018
120,6472,0.962310,0.000002,0.001259,0.001260,0.001017
