iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,999900,0.614950,0.000000,0.000020,0.000020,0.002340
2,999900,0.614950,0.000001,0.000019,0.000020,0.002641
3,999900,0.614950,0.000000,0.000020,0.000021,0.002350
4,999900,0.614950,0.000001,0.000019,0.000020,0.002290
5,999900,0.614950,0.000001,0.000017,0.000018,0.002418
6,999900,0.614950,0.000001,0.000018,0.000019,0.002477
7,999900,0.614950,0.000001,0.000021,0.000022,0.002320
8,999900,0.614950,0.000000,0.000027,0.000027,0.002286
9,999900,0.614950,0.000000,0.000018,0.000019,0.002363
10,999900,0.614950,0.000000,0.000019,0.000019,0.002344
11,999900,0.614950,0.000002,0.000019,0.000020,0.002382
12,999900,0.614950,0.000001,0.000021,0.000022,0.002438
13,999900,0.614950,0.000001,0.000018,0.000018,0.002339
14,999900,0.614950,0.000001,0.000020,0.000021,0.002341
15,999900,0.614950,0.000001,0.000019,0.000020,0.002264
16,999900,0.614950,0.000001,0.000019,0.000019,0.002371
17,999900,0.614950,0.000000,0.000020,0.000020,0.002390
18,999900,0.614950,0.000001,0.000019,0.000020,0.002288
19,999900,0.614950,0.000001,0.000019,0.000020,0.002400
20,999900,0.614950,0.000001,0.000021,0.000021,0.002303
21,999900,0.614950,0.000000,0.000018,0.000019,0.002169
22,999900,0.614950,0.000000,0.000018,0.000018,0.002335
23,999900,0.614950,0.000000,0.000023,0.000023,0.002280
24,999900,0.614950,0.000000,0.000021,0.000021,0.002327
25,999900,0.614950,0.000001,0.000026,0.000027,0.002548
26,999900,0.614950,0.000000,0.000018,0.000018,0.002377
27,999900,0.614950,0.000001,0.000018,0.000019,0.002502
28,999900,0.614950,0.000001,0.000018,0.000019,0.002319
29,999900,0.614950,0.000001,0.000021,0.000022,0.002354
30,999900,0.614950,0.000001,0.000018,0.000019,0.002362
31,999900,0.614950,0.000000,0.000019,0.000019,0.002374
32,999900,0.614950,0.000001,0.000017,0.000018,0.002415
33,999900,0.614950,0.000004,0.000018,0.000022,0.002465
34,999900,0.614950,0.000001,0.000021,0.000021,0.002255
35,999900,0.614950,0.000001,0.000018,0.000019,0.002437
36,999900,0.614950,0.000001,0.000023,0.000024,0.002410
37,999900,0.614950,0.000002,0.000020,0.000022,0.002418
38,999900,0.614950,0.000000,0.000023,0.000023,0.002299
39,999900,0.614950,0.000000,0.000022,0.000022,0.002433
40,999900,0.614950,0.000001,0.000020,0.000021,0.002308
41,999900,0.614950,0.000002,0.000020,0.000021,0.002525
42,999900,0.614950,0.000000,0.000017,0.000017,0.002253
43,999900,0.614950,0.000001,0.000020,0.000021,0.002342
44,999900,0.614950,0.000001,0.000019,0.000020,0.002375
45,999900,0.614950,0.000001,0.000018,0.000019,0.002379
46,999900,0.614950,0.000001,0.000018,0.000019,0.002481
47,999900,0.614950,0.000001,0.000018,0.000019,0.002248
48,999900,0.614950,0.000001,0.000018,0.000019,0.002341
49,999900,0.614950,0.000003,0.000022,0.000024,0.002642
50,999900,0.614950,0.000001,0.000022,0.000023,0.002464
51,999900,0.614950,0.000002,0.000024,0.000026,0.002292
52,999900,0.614950,0.000002,0.000025,0.000027,0.002467
53,999900,0.614950,0.000001,0.000020,0.000021,0.002343
54,999900,0.614950,0.000002,0.000019,0.000021,0.002310
55,999900,0.614950,0.000003,0.000019,0.000022,0.002283
56,999900,0.614950,0.000002,0.000019,0.000022,0.002327
57,999900,0.614950,0.000001,0.000020,0.000021,0.002321
58,999900,0.614950,0.000001,0.000021,0.000022,0.002254
59,999900,0.614950,0.000001,0.000019,0.000020,0.002372
60,999900,0.614950,0.000001,0.000017,0.000019,0.002448
61,999900,0.614950,0.000001,0.000022,0.000022,0.002428
62,999900,0.614950,0.000001,0.000022,0.000023,0.002360
63,999900,0.614950,0.000001,0.000019,0.000020,0.002336
64,999900,0.614950,0.000001,0.000020,0.000021,0.002346
