iteration_number,avg_sum_delete_add_time
1,0.000119
2,0.000084
3,0.000112
4,0.000115
5,0.000105
6,0.000115
7,0.000102
8,0.000104
9,0.000101
10,0.000118
11,0.000082
12,0.000105
13,0.000119
14,0.000110
15,0.000113
16,0.000113
17,0.000091
18,0.000090
19,0.000114
20,0.000108
21,0.000114
22,0.000087
23,0.000091
24,0.000103
25,0.000081
26,0.000093
27,0.000087
28,0.000101
29,0.000114
30,0.000102
31,0.000084
32,0.000090
33,0.000107
34,0.000120
35,0.000094
36,0.000103
37,0.000113
38,0.000117
39,0.000087
40,0.000102
41,0.000109
42,0.000105
43,0.000114
44,0.000120
45,0.000098
46,0.000107
47,0.000108
48,0.000111
49,0.000114
50,0.000112
51,0.000117
52,0.000082
53,0.000116
54,0.000090
55,0.000080
56,0.000089
57,0.000118
58,0.000086
59,0.000105
60,0.000120
61,0.000097
62,0.000083
63,0.000089
64,0.000100
65,0.000080
66,0.000103
67,0.000080
68,0.000082
69,0.000087
70,0.000102
71,0.000093
72,0.000111
73,0.000090
74,0.000082
75,0.000110
76,0.000104
77,0.000094
78,0.000103
79,0.000097
80,0.000100
81,0.000114
82,0.000101
83,0.000113
84,0.000117
85,0.000088
86,0.000087
87,0.000118
88,0.000084
89,0.000103
90,0.000094
91,0.000085
92,0.000117
93,0.000119
94,0.000093
95,0.000097
96,0.000108
97,0.000112
98,0.000098
99,0.000096
100,0.000105
101,0.000088
102,0.000113
103,0.000117
104,0.000101
105,0.000097
106,0.000104
107,0.000105
108,0.000108
109,0.000085
110,0.000087
111,0.000080
112,0.000103
113,0.000112
114,0.000102
115,0.000098
116,0.000104
117,0.000108
118,0.000104
119,0.000114
120,0.000106
121,0.000117
122,0.000104
123,0.000101
124,0.000089
125,0.000081
126,0.000118
127,0.000089
128,0.000114
129,0.000093
130,0.000107
131,0.000113
132,0.000082
133,0.000093
134,0.000097
135,0.000081
136,0.000088
137,0.000088
138,0.000107
139,0.000109
140,0.000093
141,0.000100
142,0.000086
143,0.000094
144,0.000087
145,0.000109
146,0.000092
147,0.000113
148,0.000120
149,0.000117
150,0.000084
151,0.000087
152,0.000120
153,0.000114
154,0.000112
155,0.000097
156,0.000088
157,0.000098
158,0.000110
159,0.000113
160,0.000114
161,0.000105
162,0.000094
163,0.000087
164,0.000110
165,0.000089
166,0.000094
167,0.000100
168,0.000109
169,0.000093
170,0.000087
171,0.000099
172,0.000086
173,0.000096
174,0.000084
175,0.000091
176,0.000119
177,0.000108
178,0.000105
179,0.000097
180,0.000107
181,0.000084
182,0.000109
183,0.000087
184,0.000086
185,0.000094
186,0.000117
187,0.000111
188,0.000113
189,0.000108
190,0.000101
191,0.000091
192,0.000105
193,0.000118
194,0.000099
195,0.000105
196,0.000094
197,0.000116
198,0.000118
199,0.000108
200,0.000082
