iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,7113,0.978690,0.000001,0.003557,0.003559,0.001256
2,9558,0.977320,0.000004,0.004794,0.004799,0.001522
3,11363,0.975330,0.000008,0.004630,0.004638,0.001443
4,12854,0.974930,0.000002,0.004311,0.004313,0.001367
5,14008,0.974640,0.000002,0.003783,0.003785,0.001258
6,14994,0.974420,0.000002,0.003814,0.003815,0.001265
7,15830,0.974460,0.000004,0.003584,0.003588,0.001186
8,16605,0.974260,0.000002,0.003326,0.003327,0.001088
9,17267,0.974440,0.000002,0.003207,0.003209,0.001089
10,17861,0.974620,0.000003,0.003073,0.003076,0.001024
11,18440,0.974550,0.000002,0.002903,0.002905,0.000974
12,18970,0.974480,0.000002,0.002876,0.002878,0.000935
13,19447,0.974750,0.000002,0.002829,0.002830,0.000937
14,19929,0.974910,0.000002,0.002778,0.002780,0.000938
15,20365,0.974900,0.000002,0.002841,0.002843,0.000939
16,20771,0.975330,0.000002,0.002912,0.002913,0.000949
17,21118,0.975040,0.000002,0.002908,0.002910,0.000945
18,21492,0.975250,0.000002,0.002896,0.002898,0.000950
19,21898,0.975610,0.000002,0.002936,0.002937,0.000957
20,22222,0.975910,0.000003,0.002845,0.002849,0.000928
21,22587,0.975880,0.000002,0.002812,0.002814,0.000915
22,22904,0.976140,0.000002,0.002775,0.002777,0.000920
23,23235,0.976180,0.000002,0.002898,0.002900,0.000943
24,23505,0.976270,0.000002,0.002960,0.002962,0.000957
25,23793,0.976450,0.000002,0.002990,0.002991,0.000954
26,24122,0.976380,0.000002,0.002953,0.002955,0.000963
27,24392,0.976090,0.000002,0.003006,0.003008,0.000956
28,24660,0.976060,0.000002,0.002995,0.002997,0.000965
29,24909,0.976060,0.000002,0.003071,0.003073,0.000967
30,25198,0.976120,0.000002,0.003083,0.003085,0.000965
31,25479,0.976100,0.000002,0.003070,0.003071,0.000963
32,25752,0.975960,0.000004,0.003025,0.003029,0.000962
33,26113,0.976270,0.000002,0.003112,0.003114,0.000967
34,26351,0.976350,0.000002,0.003099,0.003101,0.000967
35,26609,0.976350,0.000002,0.003079,0.003081,0.000965
36,26854,0.976400,0.000003,0.003117,0.003120,0.000967
37,27154,0.976250,0.000002,0.003185,0.003187,0.000971
38,27313,0.976200,0.000002,0.003116,0.003117,0.000973
39,27561,0.976240,0.000002,0.003146,0.003148,0.000975
40,27823,0.976300,0.000002,0.003171,0.003173,0.000966
41,27942,0.976220,0.000002,0.003165,0.003166,0.000975
42,28173,0.976040,0.000002,0.003233,0.003235,0.000970
43,28422,0.975950,0.000002,0.003173,0.003175,0.000971
44,28637,0.975900,0.000002,0.003219,0.003220,0.000973
45,28865,0.976090,0.000002,0.003217,0.003219,0.000973
46,29074,0.975920,0.000002,0.003157,0.003159,0.000976
47,29316,0.975970,0.000002,0.003202,0.003203,0.000978
48,29540,0.976040,0.000002,0.003197,0.003199,0.000979
49,29750,0.975890,0.000002,0.003274,0.003276,0.000980
50,29931,0.975880,0.000002,0.003238,0.003240,0.000980
51,30136,0.975860,0.000002,0.003240,0.003242,0.000978
52,30310,0.975930,0.000002,0.003168,0.003169,0.000977
53,30518,0.975760,0.000002,0.003269,0.003271,0.000979
54,30744,0.975970,0.000002,0.003281,0.003283,0.000979
55,30971,0.975640,0.000002,0.003273,0.003274,0.000978
56,31180,0.975820,0.000002,0.003267,0.003269,0.000973
57,31394,0.975880,0.000002,0.003342,0.003343,0.000984
58,31603,0.975800,0.000002,0.003318,0.003320,0.000986
59,31747,0.975850,0.000002,0.003309,0.003310,0.000983
60,31925,0.975960,0.000002,0.003309,0.003310,0.000980
61,32127,0.975880,0.000002,0.003349,0.003350,0.000983
62,32291,0.975720,0.000002,0.003296,0.003297,0.000980
63,32421,0.975250,0.000002,0.003317,0.003319,0.000984
64,32610,0.975150,0.000002,0.003330,0.003332,0.000984
65,32770,0.975100,0.000002,0.003359,0.003361,0.000978
66,32860,0.975270,0.000002,0.003331,0.003333,0.000978
67,33107,0.975160,0.000002,0.003338,0.003339,0.000983
68,33203,0.975410,0.000005,0.003413,0.003419,0.000985
69,33404,0.975500,0.000002,0.003342,0.003344,0.000979
70,33535,0.975340,0.000002,0.003393,0.003394,0.001017
71,33666,0.975480,0.000002,0.003435,0.003437,0.001046
72,33819,0.975910,0.000002,0.003599,0.003601,0.001082
73,34000,0.975580,0.000002,0.003685,0.003687,0.001101
74,34148,0.975460,0.000002,0.003709,0.003711,0.001101
75,34272,0.975590,0.000002,0.003729,0.003730,0.001105
76,34446,0.975740,0.000002,0.003759,0.003761,0.001105
77,34583,0.975910,0.000002,0.003691,0.003693,0.001106
78,34726,0.975960,0.000002,0.003790,0.003792,0.001107
79,34828,0.976410,0.000002,0.003715,0.003717,0.001111
80,34978,0.976150,0.000002,0.003755,0.003757,0.001106
