iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,223,0.897500,0.000002,0.000418,0.000420,0.000166
2,239,0.899000,0.000017,0.000426,0.000442,0.000258
3,258,0.899500,0.000007,0.000428,0.000435,0.000181
4,273,0.902500,0.000004,0.000433,0.000437,0.000175
5,288,0.901000,0.000012,0.000434,0.000445,0.000180
6,303,0.900500,0.000012,0.000426,0.000438,0.000186
7,321,0.900000,0.000002,0.000427,0.000429,0.000184
8,338,0.901000,0.000002,0.000430,0.000432,0.000191
9,353,0.900000,0.000012,0.000439,0.000451,0.000194
10,372,0.898500,0.000002,0.000440,0.000443,0.000198
11,380,0.899000,0.000002,0.000444,0.000446,0.000204
12,400,0.899000,0.000002,0.000447,0.000449,0.000247
13,413,0.898500,0.000005,0.000453,0.000458,0.000212
14,418,0.900000,0.000002,0.000454,0.000456,0.000211
15,430,0.900000,0.000002,0.000453,0.000454,0.000208
16,441,0.900000,0.000002,0.000454,0.000456,0.000211
17,442,0.902500,0.000002,0.000456,0.000458,0.000214
18,451,0.901000,0.000002,0.000458,0.000460,0.000216
19,451,0.900000,0.000002,0.000461,0.000463,0.000219
20,461,0.899500,0.000002,0.000464,0.000465,0.000218
21,463,0.898000,0.000002,0.000465,0.000467,0.000220
22,467,0.898000,0.000008,0.000467,0.000475,0.000222
23,472,0.897000,0.000002,0.000468,0.000470,0.000223
24,476,0.897000,0.000002,0.000471,0.000473,0.000219
25,485,0.898500,0.000002,0.000473,0.000475,0.000233
26,489,0.896000,0.000002,0.000473,0.000475,0.000223
27,494,0.896000,0.000002,0.000475,0.000477,0.000224
28,499,0.896500,0.000004,0.000478,0.000482,0.000224
29,505,0.895000,0.000002,0.000478,0.000480,0.000227
30,507,0.896500,0.000002,0.000484,0.000486,0.000226
31,509,0.897000,0.000002,0.000481,0.000482,0.000231
32,512,0.899000,0.000002,0.000483,0.000485,0.000237
33,513,0.898000,0.000002,0.000483,0.000484,0.000225
34,516,0.897000,0.000002,0.000486,0.000488,0.000228
35,524,0.897500,0.000002,0.000487,0.000489,0.000228
36,528,0.899000,0.000002,0.000488,0.000490,0.000249
37,531,0.899500,0.000002,0.000491,0.000493,0.000234
38,534,0.901500,0.000002,0.000492,0.000494,0.000236
39,539,0.900000,0.000002,0.000493,0.000495,0.000242
40,539,0.900500,0.000002,0.000495,0.000497,0.000248
41,540,0.901000,0.000002,0.000494,0.000495,0.000245
42,541,0.897500,0.000002,0.000492,0.000494,0.000253
43,545,0.900000,0.000002,0.000489,0.000491,0.000251
44,547,0.901000,0.000002,0.000496,0.000498,0.000236
45,543,0.902000,0.000002,0.000495,0.000496,0.000239
46,548,0.903000,0.000002,0.000499,0.000500,0.000243
47,549,0.903500,0.000002,0.000500,0.000502,0.000241
48,551,0.902000,0.000002,0.000501,0.000503,0.000245
49,551,0.901000,0.000002,0.000505,0.000507,0.000234
50,554,0.902000,0.000002,0.000501,0.000503,0.000237
51,557,0.902000,0.000002,0.000502,0.000504,0.000248
52,561,0.903000,0.000002,0.000505,0.000506,0.000241
53,566,0.902000,0.000002,0.000504,0.000506,0.000245
54,570,0.904500,0.000002,0.000504,0.000505,0.000240
55,574,0.907000,0.000002,0.000506,0.000508,0.000241
