ef,recall,query_time
100,0.621000,0.000064
200,0.743000,0.000066
300,0.801500,0.000097
400,0.833000,0.000132
500,0.856500,0.000164
600,0.874000,0.000191
700,0.886000,0.000226
800,0.900500,0.000260
900,0.910000,0.000293
1000,0.916000,0.000316
1100,0.923000,0.000358
1200,0.928500,0.000379
1300,0.930500,0.000421
1400,0.934000,0.000438
1500,0.939500,0.000464
1600,0.942500,0.000513
1700,0.946000,0.000536
1800,0.948000,0.000559
1900,0.950500,0.000605
2000,0.953000,0.000606
2100,0.955000,0.000642
2200,0.957000,0.000744
2300,0.960000,0.000728
2400,0.961000,0.000745
2500,0.962000,0.000781
2600,0.963000,0.000786
2700,0.964000,0.000822
2800,0.965000,0.000842
2900,0.966000,0.000851
3000,0.968500,0.000895
3100,0.969000,0.000946
3200,0.970500,0.000948
3300,0.971000,0.000948
3400,0.972000,0.000994
3500,0.972500,0.001016
3600,0.972500,0.001056
3700,0.972500,0.001098
3800,0.973500,0.001128
3900,0.973500,0.001150
4000,0.973500,0.001186
4100,0.973500,0.001197
4200,0.974500,0.001224
4300,0.974500,0.001260
4400,0.975000,0.001296
4500,0.975500,0.001307
4600,0.975500,0.001320
4700,0.975500,0.001342
4800,0.975500,0.001384
4900,0.976000,0.001465
5000,0.976500,0.001458
5100,0.976500,0.001418
5200,0.977500,0.001546
5300,0.978000,0.001517
5400,0.978000,0.001522
5500,0.978000,0.001566
5600,0.978000,0.001506
5700,0.978000,0.001554
5800,0.979000,0.001544
5900,0.979000,0.001562
6000,0.979000,0.001574
6100,0.980000,0.001609
6200,0.980000,0.001651
6300,0.980500,0.001694
6400,0.980500,0.001647
6500,0.980500,0.001694
6600,0.980500,0.001687
6700,0.980500,0.001706
6800,0.980500,0.001722
6900,0.980500,0.001778
7000,0.981500,0.001757
7100,0.981500,0.001784
7200,0.981500,0.001856
7300,0.981500,0.001838
7400,0.981500,0.001878
7500,0.981500,0.001882
7600,0.981500,0.001900
7700,0.982000,0.001932
7800,0.982000,0.001920
7900,0.982000,0.001944
8000,0.982000,0.002007
8100,0.982000,0.002024
8200,0.982000,0.002022
8300,0.982500,0.002045
8400,0.982500,0.002079
8500,0.982500,0.002130
8600,0.982500,0.002094
8700,0.982500,0.002127
8800,0.982500,0.002195
8900,0.982500,0.002174
9000,0.982500,0.002213
9100,0.982500,0.002236
9200,0.982500,0.002283
9300,0.982500,0.002256
9400,0.982500,0.002245
9500,0.983500,0.002320
9600,0.983500,0.002310
9700,0.984000,0.002324
9800,0.984000,0.002446
9900,0.984000,0.002402
10000,0.984000,0.002352
