nprobe,recall,query_time
10,0.688500,0.000445
15,0.786500,0.000610
20,0.842000,0.000730
25,0.879500,0.000900
30,0.913000,0.001070
35,0.932000,0.001275
40,0.946000,0.001455
45,0.953500,0.001645
50,0.957500,0.001810
55,0.962500,0.002000
60,0.969000,0.002205
65,0.971500,0.002380
70,0.976000,0.002575
75,0.979500,0.002805
80,0.982500,0.002995
85,0.985000,0.003175
90,0.986000,0.003360
95,0.987000,0.003595
100,0.989000,0.003785
105,0.989500,0.003980
110,0.992000,0.004205
115,0.993500,0.004440
120,0.994500,0.004400
125,0.994500,0.004635
130,0.995500,0.004830
135,0.996000,0.005280
140,0.996000,0.005445
145,0.996500,0.005665
150,0.997500,0.005790
