iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,2340363,0.688500,0.000000,0.000012,0.000012,0.000387
2,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
3,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
4,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
5,2340363,0.688500,0.000000,0.000009,0.000009,0.000353
6,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
7,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
8,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
9,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
10,2340363,0.688500,0.000000,0.000009,0.000009,0.000356
11,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
12,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
13,2340363,0.688500,0.000001,0.000009,0.000010,0.000351
14,2340363,0.688500,0.000000,0.000009,0.000010,0.000351
15,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
16,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
17,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
18,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
19,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
20,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
21,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
22,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
23,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
24,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
25,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
26,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
27,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
28,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
29,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
30,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
31,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
32,2340363,0.688500,0.000000,0.000009,0.000009,0.000351
33,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
34,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
35,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
36,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
37,2340363,0.688500,0.000000,0.000009,0.000009,0.000343
