iteration_number,avg_sum_delete_add_time
1,0.000084
2,0.000074
3,0.000096
4,0.000091
5,0.000075
6,0.000099
7,0.000088
8,0.000065
9,0.000066
10,0.000088
11,0.000083
12,0.000069
13,0.000096
14,0.000061
15,0.000063
16,0.000074
17,0.000073
18,0.000097
19,0.000097
20,0.000083
21,0.000071
22,0.000065
23,0.000070
24,0.000065
25,0.000081
26,0.000099
27,0.000077
28,0.000069
29,0.000094
30,0.000069
31,0.000077
32,0.000063
33,0.000091
34,0.000098
35,0.000063
36,0.000083
37,0.000087
38,0.000061
39,0.000069
40,0.000067
41,0.000073
42,0.000070
43,0.000069
44,0.000085
45,0.000090
46,0.000081
47,0.000091
48,0.000096
49,0.000098
50,0.000092
51,0.000069
52,0.000086
53,0.000089
54,0.000065
55,0.000070
56,0.000094
57,0.000081
58,0.000082
59,0.000060
60,0.000075
61,0.000084
62,0.000088
63,0.000078
64,0.000060
65,0.000079
66,0.000081
67,0.000084
68,0.000071
69,0.000100
70,0.000095
71,0.000088
72,0.000079
73,0.000065
74,0.000094
75,0.000064
76,0.000093
77,0.000089
78,0.000093
79,0.000086
80,0.000068
81,0.000096
82,0.000095
83,0.000074
84,0.000071
85,0.000092
86,0.000099
87,0.000095
88,0.000067
89,0.000098
90,0.000067
91,0.000091
92,0.000080
93,0.000077
94,0.000062
95,0.000070
96,0.000092
97,0.000065
98,0.000085
99,0.000067
100,0.000098
101,0.000083
102,0.000099
103,0.000093
104,0.000063
105,0.000068
106,0.000084
107,0.000091
108,0.000096
109,0.000079
110,0.000096
111,0.000071
112,0.000073
113,0.000060
114,0.000062
115,0.000062
116,0.000063
117,0.000074
118,0.000063
119,0.000072
120,0.000063
121,0.000096
122,0.000081
123,0.000063
124,0.000071
125,0.000098
126,0.000072
127,0.000068
128,0.000078
129,0.000063
130,0.000094
131,0.000074
132,0.000067
133,0.000083
134,0.000083
135,0.000097
136,0.000069
137,0.000079
138,0.000092
139,0.000074
140,0.000083
141,0.000099
142,0.000069
143,0.000083
144,0.000068
145,0.000078
146,0.000072
147,0.000100
148,0.000076
149,0.000065
150,0.000067
151,0.000086
152,0.000084
153,0.000066
154,0.000088
155,0.000071
156,0.000094
157,0.000097
158,0.000094
159,0.000094
160,0.000086
161,0.000085
162,0.000090
163,0.000089
164,0.000069
165,0.000084
166,0.000097
167,0.000088
168,0.000080
169,0.000096
170,0.000062
171,0.000063
172,0.000064
173,0.000083
174,0.000080
175,0.000095
176,0.000083
177,0.000082
178,0.000072
179,0.000089
180,0.000098
181,0.000082
182,0.000077
183,0.000080
184,0.000095
185,0.000074
186,0.000094
187,0.000074
188,0.000079
189,0.000067
190,0.000076
191,0.000087
192,0.000097
193,0.000078
194,0.000078
195,0.000066
196,0.000090
197,0.000099
198,0.000093
199,0.000088
200,0.000074
