iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,4066,0.864500,0.000002,0.000346,0.000347,0.000138
2,5647,0.862000,0.000015,0.000327,0.000342,0.000114
3,6849,0.859000,0.000010,0.000296,0.000306,0.000115
4,7889,0.857500,0.000012,0.000300,0.000312,0.000112
5,8848,0.857500,0.000002,0.000288,0.000290,0.000108
6,9689,0.855500,0.000002,0.000277,0.000279,0.000107
7,10526,0.855000,0.000009,0.000283,0.000292,0.000105
8,11298,0.853000,0.000002,0.000272,0.000274,0.000105
9,12000,0.849500,0.000002,0.000268,0.000270,0.000112
10,12592,0.848500,0.000002,0.000267,0.000269,0.000111
11,13224,0.849000,0.000004,0.000267,0.000271,0.000102
12,13765,0.848000,0.000002,0.000259,0.000261,0.000108
13,14258,0.849000,0.000002,0.000258,0.000260,0.000103
14,14739,0.848500,0.000002,0.000254,0.000256,0.000101
15,15210,0.849000,0.000002,0.000254,0.000256,0.000105
16,15682,0.847500,0.000002,0.000255,0.000257,0.000102
17,16060,0.844000,0.000002,0.000254,0.000256,0.000109
18,16461,0.842500,0.000002,0.000261,0.000263,0.000104
19,16844,0.842500,0.000002,0.000258,0.000260,0.000107
20,17224,0.844500,0.000003,0.000259,0.000262,0.000100
21,17596,0.842000,0.000002,0.000257,0.000258,0.000099
22,17944,0.840000,0.000002,0.000258,0.000260,0.000100
23,18266,0.840000,0.000002,0.000257,0.000258,0.000100
24,18607,0.841000,0.000007,0.000260,0.000266,0.000106
25,18885,0.841000,0.000002,0.000257,0.000259,0.000106
26,19191,0.843000,0.000003,0.000255,0.000258,0.000104
27,19456,0.843000,0.000002,0.000259,0.000261,0.000103
28,19723,0.842500,0.000002,0.000259,0.000260,0.000105
29,20004,0.840000,0.000002,0.000263,0.000265,0.000103
30,20291,0.840500,0.000002,0.000260,0.000262,0.000103
31,20602,0.841500,0.000002,0.000265,0.000267,0.000104
32,20944,0.839500,0.000002,0.000264,0.000266,0.000104
33,21198,0.839500,0.000002,0.000261,0.000263,0.000103
34,21509,0.838000,0.000002,0.000266,0.000268,0.000102
35,21722,0.841000,0.000002,0.000263,0.000265,0.000104
36,21960,0.839000,0.000002,0.000266,0.000267,0.000104
37,22224,0.840500,0.000007,0.000270,0.000277,0.000108
38,22475,0.838000,0.000002,0.000268,0.000270,0.000109
39,22713,0.840000,0.000002,0.000271,0.000273,0.000105
40,22968,0.841000,0.000002,0.000271,0.000272,0.000104
41,23222,0.840000,0.000002,0.000271,0.000273,0.000117
42,23417,0.839500,0.000002,0.000269,0.000271,0.000103
43,23658,0.836500,0.000002,0.000269,0.000271,0.000104
44,23867,0.836500,0.000002,0.000268,0.000270,0.000106
45,24111,0.836000,0.000002,0.000270,0.000272,0.000107
46,24341,0.834000,0.000002,0.000273,0.000275,0.000109
47,24556,0.836000,0.000002,0.000270,0.000272,0.000106
48,24750,0.833000,0.000002,0.000276,0.000277,0.000107
49,24955,0.833500,0.000002,0.000275,0.000277,0.000106
50,25214,0.833500,0.000003,0.000276,0.000279,0.000104
51,25447,0.832000,0.000002,0.000280,0.000281,0.000109
52,25652,0.833500,0.000002,0.000274,0.000276,0.000105
53,25878,0.833000,0.000002,0.000278,0.000279,0.000108
54,26131,0.838500,0.000002,0.000277,0.000279,0.000106
55,26363,0.837000,0.000002,0.000278,0.000280,0.000105
56,26618,0.835000,0.000002,0.000282,0.000283,0.000107
57,26814,0.839000,0.000002,0.000280,0.000282,0.000105
58,26990,0.835000,0.000002,0.000277,0.000279,0.000108
59,27164,0.836000,0.000002,0.000279,0.000280,0.000107
60,27389,0.837500,0.000002,0.000279,0.000281,0.000110
61,27586,0.838500,0.000002,0.000278,0.000279,0.000109
62,27787,0.836500,0.000002,0.000284,0.000286,0.000107
63,28008,0.839000,0.000002,0.000281,0.000282,0.000113
64,28184,0.839500,0.000002,0.000277,0.000279,0.000108
65,28366,0.838500,0.000003,0.000283,0.000286,0.000110
66,28537,0.838500,0.000002,0.000284,0.000286,0.000115
67,28708,0.838000,0.000002,0.000283,0.000285,0.000109
68,28930,0.837000,0.000002,0.000282,0.000284,0.000107
69,29117,0.834500,0.000002,0.000284,0.000286,0.000107
70,29286,0.835000,0.000002,0.000282,0.000283,0.000111
71,29487,0.834500,0.000002,0.000284,0.000285,0.000110
72,29626,0.832000,0.000002,0.000287,0.000289,0.000109
73,29799,0.829000,0.000002,0.000286,0.000287,0.000111
74,30007,0.825500,0.000002,0.000288,0.000290,0.000109
75,30202,0.825000,0.000002,0.000287,0.000289,0.000108
76,30380,0.824000,0.000002,0.000292,0.000294,0.000116
77,30546,0.824000,0.000002,0.000287,0.000289,0.000109
78,30724,0.824000,0.000002,0.000287,0.000289,0.000112
79,30892,0.823000,0.000002,0.000287,0.000288,0.000115
80,31068,0.825000,0.000002,0.000291,0.000293,0.000109
81,31278,0.824000,0.000002,0.000290,0.000291,0.000109
82,31492,0.821000,0.000002,0.000290,0.000291,0.000114
83,31689,0.824000,0.000002,0.000293,0.000294,0.000124
84,31885,0.824500,0.000002,0.000288,0.000290,0.000112
85,32037,0.827000,0.000002,0.000290,0.000292,0.000108
86,32208,0.831000,0.000002,0.000293,0.000295,0.000111
87,32375,0.826500,0.000002,0.000289,0.000291,0.000111
88,32558,0.825500,0.000002,0.000296,0.000298,0.000118
89,32770,0.826500,0.000002,0.000290,0.000291,0.000111
90,32979,0.825000,0.000002,0.000292,0.000294,0.000114
91,33174,0.822000,0.000002,0.000289,0.000290,0.000110
92,33361,0.823000,0.000002,0.000294,0.000295,0.000111
93,33544,0.824000,0.000002,0.000294,0.000296,0.000114
94,33712,0.826500,0.000002,0.000295,0.000297,0.000111
95,33902,0.828500,0.000002,0.000298,0.000300,0.000114
96,34052,0.829500,0.000002,0.000294,0.000295,0.000118
97,34239,0.829500,0.000002,0.000293,0.000294,0.000115
98,34425,0.830000,0.000002,0.000295,0.000297,0.000112
99,34616,0.829500,0.000002,0.000291,0.000293,0.000114
100,34782,0.828500,0.000002,0.000293,0.000295,0.000118
101,34930,0.829500,0.000002,0.000296,0.000298,0.000114
102,35077,0.829500,0.000002,0.000298,0.000300,0.000114
103,35249,0.829000,0.000002,0.000292,0.000294,0.000117
104,35444,0.830000,0.000002,0.000297,0.000299,0.000122
105,35613,0.827500,0.000002,0.000294,0.000296,0.000112
106,35792,0.828000,0.000002,0.000296,0.000298,0.000113
107,35942,0.826500,0.000002,0.000297,0.000299,0.000124
108,36095,0.829000,0.000002,0.000299,0.000301,0.000119
109,36307,0.829000,0.000002,0.000304,0.000306,0.000120
110,36492,0.827500,0.000002,0.000302,0.000303,0.000122
111,36662,0.828500,0.000002,0.000311,0.000313,0.000121
112,36841,0.830500,0.000002,0.000311,0.000313,0.000122
113,37042,0.829500,0.000002,0.000306,0.000308,0.000126
114,37167,0.829500,0.000002,0.000309,0.000311,0.000124
115,37303,0.830000,0.000002,0.000319,0.000321,0.000124
116,37490,0.829000,0.000002,0.000315,0.000317,0.000119
117,37683,0.829000,0.000002,0.000315,0.000316,0.000121
118,37858,0.831500,0.000002,0.000311,0.000312,0.000129
119,38038,0.829500,0.000002,0.000313,0.000315,0.000123
120,38214,0.832500,0.000002,0.000308,0.000310,0.000120
121,38378,0.833000,0.000002,0.000308,0.000310,0.000117
122,38539,0.836000,0.000002,0.000312,0.000314,0.000142
123,38687,0.835500,0.000002,0.000322,0.000323,0.000130
124,38858,0.835000,0.000002,0.000313,0.000314,0.000129
125,38996,0.833000,0.000002,0.000314,0.000316,0.000127
126,39155,0.831500,0.000002,0.000319,0.000320,0.000120
127,39303,0.829500,0.000002,0.000317,0.000319,0.000131
128,39523,0.830000,0.000002,0.000310,0.000312,0.000118
129,39677,0.832500,0.000002,0.000314,0.000315,0.000127
130,39828,0.830500,0.000002,0.000309,0.000310,0.000132
131,39989,0.831000,0.000002,0.000312,0.000314,0.000122
132,40137,0.833000,0.000002,0.000310,0.000312,0.000123
133,40285,0.832000,0.000002,0.000316,0.000318,0.000120
134,40414,0.829000,0.000002,0.000314,0.000316,0.000134
135,40595,0.830500,0.000002,0.000317,0.000319,0.000146
136,40682,0.833000,0.000004,0.000310,0.000314,0.000139
137,40843,0.833500,0.000002,0.000313,0.000315,0.000124
138,41011,0.835500,0.000002,0.000319,0.000320,0.000123
139,41159,0.835500,0.000002,0.000315,0.000317,0.000119
140,41320,0.832500,0.000002,0.000313,0.000315,0.000121
141,41483,0.833500,0.000002,0.000312,0.000314,0.000120
142,41638,0.830500,0.000002,0.000313,0.000314,0.000131
143,41740,0.832500,0.000002,0.000314,0.000316,0.000121
144,41927,0.831000,0.000002,0.000313,0.000315,0.000121
145,42070,0.831500,0.000002,0.000312,0.000314,0.000122
146,42243,0.828500,0.000002,0.000311,0.000313,0.000122
147,42424,0.825500,0.000002,0.000314,0.000316,0.000121
148,42582,0.828000,0.000002,0.000311,0.000313,0.000120
149,42701,0.826000,0.000002,0.000313,0.000314,0.000122
150,42871,0.827000,0.000005,0.000318,0.000323,0.000133
151,43057,0.828500,0.000002,0.000314,0.000316,0.000142
152,43193,0.830500,0.000002,0.000317,0.000318,0.000128
153,43331,0.830000,0.000002,0.000317,0.000319,0.000125
154,43482,0.830000,0.000002,0.000313,0.000314,0.000126
155,43609,0.830000,0.000002,0.000314,0.000316,0.000127
156,43725,0.830500,0.000002,0.000320,0.000321,0.000124
157,43859,0.829500,0.000002,0.000317,0.000319,0.000125
158,44003,0.827000,0.000002,0.000313,0.000314,0.000125
159,44148,0.829000,0.000002,0.000318,0.000320,0.000138
160,44264,0.830000,0.000002,0.000317,0.000319,0.000126
161,44402,0.828000,0.000002,0.000318,0.000320,0.000126
162,44577,0.827500,0.000002,0.000315,0.000317,0.000126
163,44743,0.827500,0.000002,0.000318,0.000320,0.000129
164,44864,0.828000,0.000002,0.000313,0.000315,0.000125
165,44989,0.824500,0.000002,0.000315,0.000317,0.000128
166,45120,0.824000,0.000002,0.000320,0.000321,0.000132
167,45224,0.824000,0.000002,0.000316,0.000318,0.000125
168,45372,0.825500,0.000002,0.000315,0.000316,0.000130
169,45502,0.826000,0.000002,0.000319,0.000320,0.000128
170,45642,0.823500,0.000002,0.000315,0.000317,0.000123
171,45790,0.825000,0.000002,0.000316,0.000318,0.000126
172,45900,0.824500,0.000002,0.000312,0.000314,0.000126
173,46009,0.822500,0.000002,0.000316,0.000318,0.000129
174,46173,0.822000,0.000002,0.000316,0.000318,0.000126
175,46348,0.821000,0.000002,0.000312,0.000314,0.000123
176,46488,0.823500,0.000002,0.000315,0.000317,0.000122
177,46625,0.823500,0.000002,0.000314,0.000316,0.000126
178,46725,0.825500,0.000002,0.000313,0.000315,0.000122
179,46885,0.825500,0.000002,0.000317,0.000319,0.000122
180,47027,0.826500,0.000002,0.000311,0.000313,0.000119
181,47130,0.828000,0.000002,0.000313,0.000314,0.000126
182,47251,0.826000,0.000002,0.000313,0.000315,0.000122
183,47398,0.824000,0.000002,0.000318,0.000320,0.000128
184,47555,0.826000,0.000002,0.000317,0.000319,0.000123
185,47680,0.825500,0.000002,0.000313,0.000315,0.000121
186,47823,0.827500,0.000002,0.000314,0.000316,0.000126
187,47922,0.828000,0.000002,0.000312,0.000314,0.000124
188,48037,0.828500,0.000002,0.000318,0.000320,0.000140
189,48167,0.828500,0.000002,0.000314,0.000316,0.000121
190,48252,0.830500,0.000002,0.000314,0.000315,0.000124
191,48340,0.832000,0.000002,0.000313,0.000315,0.000122
192,48444,0.832500,0.000002,0.000320,0.000322,0.000122
193,48551,0.833000,0.000002,0.000316,0.000317,0.000119
194,48703,0.832500,0.000002,0.000323,0.000325,0.000120
195,48831,0.830500,0.000002,0.000320,0.000321,0.000121
196,48996,0.830500,0.000001,0.000320,0.000321,0.000121
197,49104,0.829000,0.000002,0.000319,0.000321,0.000121
198,49184,0.829000,0.000002,0.000313,0.000314,0.000118
199,49302,0.830500,0.000002,0.000314,0.000315,0.000123
200,49429,0.831500,0.000002,0.000317,0.000319,0.000118
