ef,recall,query_time
200,0.725500,0.000047
300,0.775500,0.000072
400,0.808000,0.000093
500,0.831500,0.000116
600,0.845500,0.000139
700,0.855500,0.000165
800,0.862500,0.000196
900,0.872000,0.000212
1000,0.876000,0.000238
1100,0.882000,0.000260
1200,0.887500,0.000290
1300,0.890500,0.000304
1400,0.892500,0.000323
1500,0.896000,0.000348
1600,0.902500,0.000374
1700,0.904500,0.000393
1800,0.906500,0.000423
1900,0.907000,0.000440
2000,0.910000,0.000464
2100,0.911500,0.000501
2200,0.912000,0.000503
2300,0.912500,0.000523
2400,0.913000,0.000537
2500,0.914000,0.000577
2600,0.915000,0.000604
2700,0.916500,0.000612
2800,0.917500,0.000618
2900,0.918500,0.000648
3000,0.919500,0.000692
3100,0.919500,0.000700
3200,0.921500,0.000709
3300,0.922000,0.000736
3400,0.922500,0.000750
3500,0.923000,0.000815
3600,0.923000,0.000782
3700,0.923500,0.000851
3800,0.923500,0.000843
3900,0.924500,0.000868
4000,0.926500,0.000902
4100,0.927000,0.000952
4200,0.929500,0.000958
4300,0.931000,0.000941
4400,0.932000,0.000993
4500,0.933000,0.000989
4600,0.934000,0.001029
4700,0.935000,0.001034
4800,0.935500,0.001051
4900,0.936500,0.001093
5000,0.937000,0.001086
5100,0.937500,0.001172
5200,0.937500,0.001137
5300,0.937500,0.001157
5400,0.938500,0.001208
5500,0.939000,0.001201
5600,0.939000,0.001223
5700,0.940000,0.001257
5800,0.940000,0.001260
5900,0.940000,0.001291
6000,0.940000,0.001293
6100,0.940500,0.001315
6200,0.941500,0.001347
6300,0.942000,0.001335
6400,0.942000,0.001431
6500,0.942000,0.001447
6600,0.942000,0.001393
6700,0.942500,0.001477
6800,0.943000,0.001489
6900,0.943000,0.001493
7000,0.943500,0.001478
7100,0.944000,0.001508
7200,0.944000,0.001506
7300,0.944000,0.001564
7400,0.944000,0.001576
7500,0.944000,0.001567
7600,0.944000,0.001600
7700,0.944000,0.001590
7800,0.944000,0.001643
7900,0.944000,0.001620
8000,0.944000,0.001698
8100,0.944500,0.001716
8200,0.945000,0.001720
8300,0.945000,0.001731
8400,0.945500,0.001744
8500,0.945500,0.001761
8600,0.946000,0.001808
8700,0.946000,0.001775
8800,0.946000,0.001848
8900,0.946000,0.001827
9000,0.946000,0.001877
9100,0.946000,0.001916
9200,0.946000,0.001947
9300,0.946000,0.001927
9400,0.946000,0.001941
9500,0.946000,0.001969
9600,0.946500,0.002007
9700,0.946500,0.002013
9800,0.946500,0.002129
9900,0.946500,0.002042
10000,0.946500,0.002132
