iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.996762,0.000001,0.000059,0.000060,0.000090
2,0,0.996728,0.000006,0.000059,0.000065,0.000089
3,0,0.996643,0.000002,0.000061,0.000062,0.000081
4,0,0.996591,0.000002,0.000053,0.000055,0.000080
5,0,0.996522,0.000002,0.000053,0.000054,0.000080
6,0,0.996479,0.000009,0.000052,0.000061,0.000080
7,0,0.996481,0.000002,0.000053,0.000055,0.000081
8,0,0.996473,0.000004,0.000053,0.000057,0.000081
9,0,0.996430,0.000008,0.000052,0.000060,0.000082
10,0,0.996396,0.000002,0.000052,0.000054,0.000081
11,0,0.996351,0.000002,0.000054,0.000056,0.000081
12,0,0.996304,0.000002,0.000052,0.000054,0.000081
13,0,0.996317,0.000002,0.000052,0.000054,0.000081
14,0,0.996323,0.000002,0.000052,0.000054,0.000082
15,0,0.996307,0.000002,0.000052,0.000054,0.000082
16,0,0.996293,0.000002,0.000052,0.000054,0.000082
17,0,0.996269,0.000010,0.000053,0.000062,0.000084
18,0,0.996230,0.000002,0.000055,0.000057,0.000083
19,0,0.996234,0.000002,0.000052,0.000054,0.000082
20,0,0.996223,0.000002,0.000052,0.000054,0.000082
21,0,0.996195,0.000008,0.000053,0.000061,0.000083
22,0,0.996162,0.000002,0.000054,0.000056,0.000083
23,0,0.996169,0.000002,0.000053,0.000055,0.000083
24,0,0.996137,0.000002,0.000053,0.000055,0.000084
25,0,0.996134,0.000002,0.000053,0.000055,0.000083
26,0,0.996102,0.000002,0.000053,0.000054,0.000083
27,0,0.996072,0.000004,0.000054,0.000058,0.000083
28,0,0.996099,0.000002,0.000055,0.000057,0.000083
29,0,0.996107,0.000002,0.000055,0.000057,0.000083
30,0,0.996087,0.000002,0.000055,0.000056,0.000084
31,0,0.996046,0.000002,0.000053,0.000055,0.000083
32,0,0.996051,0.000002,0.000053,0.000055,0.000084
33,0,0.996062,0.000002,0.000053,0.000054,0.000084
34,0,0.996036,0.000002,0.000053,0.000054,0.000084
35,1,0.996047,0.000002,0.000053,0.000055,0.000084
36,1,0.996036,0.000002,0.000053,0.000054,0.000084
37,1,0.996029,0.000002,0.000053,0.000055,0.000084
38,1,0.996005,0.000002,0.000053,0.000055,0.000084
39,1,0.996009,0.000002,0.000053,0.000055,0.000084
40,1,0.996011,0.000002,0.000053,0.000055,0.000085
41,1,0.996019,0.000002,0.000053,0.000054,0.000084
