iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,999900,0.804850,0.000001,0.000014,0.000015,0.000262
2,999900,0.804850,0.000001,0.000013,0.000014,0.000252
3,999900,0.804850,0.000001,0.000012,0.000013,0.000260
4,999900,0.804850,0.000000,0.000012,0.000012,0.000262
5,999900,0.804850,0.000001,0.000015,0.000016,0.000262
6,999900,0.804850,0.000001,0.000014,0.000015,0.000274
7,999900,0.804850,0.000001,0.000016,0.000017,0.000280
8,999900,0.804850,0.000002,0.000013,0.000014,0.000270
9,999900,0.804850,0.000001,0.000015,0.000016,0.000267
10,999900,0.804850,0.000001,0.000012,0.000012,0.000255
11,999900,0.804850,0.000002,0.000013,0.000015,0.000290
12,999900,0.804850,0.000001,0.000011,0.000012,0.000266
13,999900,0.804850,0.000001,0.000014,0.000015,0.000252
14,999900,0.804850,0.000002,0.000013,0.000015,0.000267
15,999900,0.804850,0.000001,0.000014,0.000015,0.000249
16,999900,0.804850,0.000002,0.000012,0.000014,0.000253
17,999900,0.804850,0.000001,0.000013,0.000014,0.000258
18,999900,0.804850,0.000001,0.000011,0.000011,0.000266
19,999900,0.804850,0.000000,0.000016,0.000016,0.000256
20,999900,0.804850,0.000001,0.000014,0.000015,0.000259
21,999900,0.804850,0.000001,0.000010,0.000011,0.000274
22,999900,0.804850,0.000002,0.000013,0.000015,0.000252
23,999900,0.804850,0.000000,0.000010,0.000010,0.000265
24,999900,0.804850,0.000002,0.000014,0.000016,0.000277
25,999900,0.804850,0.000001,0.000015,0.000017,0.000263
26,999900,0.804850,0.000001,0.000013,0.000014,0.000256
27,999900,0.804850,0.000002,0.000011,0.000013,0.000250
28,999900,0.804850,0.000000,0.000011,0.000011,0.000261
29,999900,0.804850,0.000002,0.000013,0.000015,0.000258
30,999900,0.804850,0.000002,0.000014,0.000015,0.000261
31,999900,0.804850,0.000002,0.000012,0.000013,0.000259
32,999900,0.804850,0.000001,0.000014,0.000015,0.000266
33,999900,0.804850,0.000000,0.000012,0.000012,0.000271
34,999900,0.804850,0.000001,0.000012,0.000013,0.000265
35,999900,0.804850,0.000001,0.000013,0.000014,0.000262
36,999900,0.804850,0.000001,0.000014,0.000015,0.000258
37,999900,0.804850,0.000001,0.000014,0.000014,0.000262
38,999900,0.804850,0.000001,0.000015,0.000016,0.000268
39,999900,0.804850,0.000001,0.000015,0.000016,0.000264
40,999900,0.804850,0.000001,0.000013,0.000013,0.000262
41,999900,0.804850,0.000002,0.000015,0.000016,0.000254
42,999900,0.804850,0.000001,0.000012,0.000013,0.000258
43,999900,0.804850,0.000001,0.000013,0.000014,0.000256
44,999900,0.804850,0.000002,0.000016,0.000017,0.000262
45,999900,0.804850,0.000000,0.000015,0.000015,0.000262
46,999900,0.804850,0.000001,0.000015,0.000016,0.000258
47,999900,0.804850,0.000000,0.000012,0.000013,0.000260
48,999900,0.804850,0.000000,0.000015,0.000015,0.000256
49,999900,0.804850,0.000001,0.000013,0.000014,0.000252
50,999900,0.804850,0.000001,0.000011,0.000012,0.000252
51,999900,0.804850,0.000002,0.000013,0.000015,0.000258
52,999900,0.804850,0.000001,0.000013,0.000014,0.000257
53,999900,0.804850,0.000001,0.000013,0.000015,0.000267
54,999900,0.804850,0.000000,0.000014,0.000014,0.000250
55,999900,0.804849,0.000001,0.000012,0.000013,0.000268
56,999900,0.804850,0.000000,0.000013,0.000014,0.000261
57,999900,0.804850,0.000000,0.000013,0.000013,0.000266
58,999900,0.804850,0.000000,0.000013,0.000013,0.000249
59,999900,0.804850,0.000000,0.000011,0.000012,0.000265
60,999900,0.804850,0.000002,0.000015,0.000016,0.000273
61,999900,0.804850,0.000001,0.000013,0.000014,0.000256
62,999900,0.804850,0.000001,0.000011,0.000012,0.000256
63,999900,0.804850,0.000002,0.000018,0.000020,0.000263
64,999900,0.804850,0.000001,0.000011,0.000012,0.000258
65,999900,0.804850,0.000001,0.000011,0.000012,0.000260
66,999900,0.804850,0.000001,0.000019,0.000020,0.000262
67,999900,0.804850,0.000001,0.000015,0.000016,0.000250
68,999900,0.804850,0.000001,0.000016,0.000017,0.000256
69,999900,0.804850,0.000002,0.000015,0.000016,0.000270
70,999900,0.804850,0.000001,0.000013,0.000014,0.000273
71,999900,0.804850,0.000001,0.000015,0.000016,0.000251
72,999900,0.804850,0.000001,0.000013,0.000014,0.000271
73,999900,0.804850,0.000000,0.000012,0.000012,0.000286
74,999900,0.804850,0.000001,0.000014,0.000015,0.000250
75,999900,0.804850,0.000000,0.000014,0.000014,0.000266
76,999900,0.804850,0.000002,0.000015,0.000017,0.000261
77,999900,0.804850,0.000001,0.000013,0.000014,0.000277
78,999900,0.804850,0.000001,0.000012,0.000013,0.000249
79,999900,0.804850,0.000002,0.000016,0.000018,0.000263
80,999900,0.804850,0.000001,0.000014,0.000015,0.000270
81,999900,0.804850,0.000001,0.000013,0.000014,0.000250
82,999900,0.804850,0.000001,0.000013,0.000014,0.000259
83,999900,0.804850,0.000001,0.000015,0.000016,0.000269
84,999900,0.804850,0.000001,0.000016,0.000017,0.000259
85,999900,0.804850,0.000001,0.000014,0.000016,0.000277
86,999900,0.804850,0.000001,0.000014,0.000015,0.000271
87,999900,0.804850,0.000001,0.000012,0.000013,0.000271
88,999900,0.804850,0.000000,0.000014,0.000014,0.000266
89,999900,0.804850,0.000001,0.000012,0.000013,0.000244
90,999900,0.804850,0.000001,0.000012,0.000013,0.000265
91,999900,0.804850,0.000001,0.000012,0.000013,0.000257
92,999900,0.804850,0.000001,0.000012,0.000013,0.000268
93,999900,0.804850,0.000001,0.000014,0.000015,0.000258
94,999900,0.804850,0.000001,0.000011,0.000011,0.000256
95,999900,0.804850,0.000001,0.000015,0.000016,0.000267
96,999900,0.804850,0.000001,0.000012,0.000013,0.000258
97,999900,0.804850,0.000001,0.000015,0.000016,0.000279
98,999900,0.804850,0.000001,0.000014,0.000015,0.000263
99,999900,0.804850,0.000000,0.000013,0.000014,0.000257
