iteration_number,avg_sum_delete_add_time
1,0.000020
2,0.000020
3,0.000019
4,0.000021
5,0.000014
6,0.000017
7,0.000017
8,0.000022
9,0.000015
10,0.000010
11,0.000011
12,0.000016
13,0.000014
14,0.000013
15,0.000017
16,0.000022
17,0.000010
18,0.000014
19,0.000021
20,0.000017
21,0.000020
22,0.000012
23,0.000014
24,0.000011
25,0.000015
26,0.000012
27,0.000019
28,0.000014
29,0.000016
30,0.000017
31,0.000011
32,0.000013
33,0.000014
34,0.000015
35,0.000018
36,0.000011
37,0.000014
38,0.000017
39,0.000019
40,0.000013
41,0.000019
42,0.000011
43,0.000014
44,0.000017
45,0.000018
46,0.000021
47,0.000022
48,0.000013
49,0.000018
50,0.000014
51,0.000013
52,0.000010
53,0.000020
54,0.000017
55,0.000016
56,0.000022
57,0.000016
58,0.000014
59,0.000017
60,0.000010
61,0.000018
62,0.000011
63,0.000015
64,0.000020
65,0.000013
66,0.000011
67,0.000019
68,0.000017
69,0.000019
70,0.000017
71,0.000016
72,0.000018
73,0.000011
74,0.000021
75,0.000018
76,0.000019
77,0.000011
78,0.000014
79,0.000021
80,0.000022
81,0.000020
82,0.000018
83,0.000018
84,0.000016
85,0.000015
86,0.000016
87,0.000018
88,0.000012
89,0.000012
90,0.000019
91,0.000013
92,0.000016
93,0.000014
94,0.000013
95,0.000022
96,0.000016
97,0.000014
98,0.000019
99,0.000010
100,0.000016
101,0.000015
102,0.000014
103,0.000015
104,0.000013
105,0.000014
106,0.000020
107,0.000019
108,0.000020
109,0.000016
110,0.000010
111,0.000017
112,0.000012
113,0.000018
114,0.000019
115,0.000013
116,0.000015
117,0.000021
118,0.000015
119,0.000019
120,0.000022
121,0.000016
122,0.000015
123,0.000015
124,0.000021
125,0.000013
126,0.000011
127,0.000020
128,0.000012
129,0.000015
130,0.000020
131,0.000022
132,0.000010
133,0.000013
134,0.000018
135,0.000018
136,0.000020
137,0.000020
138,0.000010
139,0.000016
140,0.000015
141,0.000017
142,0.000010
143,0.000019
144,0.000016
145,0.000018
146,0.000022
147,0.000016
148,0.000016
149,0.000021
150,0.000015
151,0.000022
152,0.000017
153,0.000014
154,0.000021
155,0.000012
156,0.000017
157,0.000011
158,0.000019
159,0.000018
160,0.000020
161,0.000016
162,0.000011
163,0.000021
164,0.000011
165,0.000018
166,0.000021
167,0.000019
168,0.000019
169,0.000010
170,0.000012
171,0.000014
172,0.000015
173,0.000012
174,0.000019
175,0.000019
176,0.000012
177,0.000013
178,0.000013
179,0.000011
180,0.000022
181,0.000012
182,0.000017
183,0.000015
184,0.000015
185,0.000018
186,0.000018
187,0.000017
188,0.000022
189,0.000016
190,0.000019
191,0.000020
192,0.000015
193,0.000011
194,0.000012
195,0.000017
196,0.000020
197,0.000020
198,0.000011
199,0.000020
200,0.000013
