iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.996685,0.000001,0.000110,0.000111,0.000091
2,2,0.996469,0.000008,0.000107,0.000114,0.000085
3,2,0.996373,0.000002,0.000105,0.000107,0.000084
4,3,0.996300,0.000002,0.000102,0.000104,0.000081
5,3,0.996222,0.000002,0.000100,0.000102,0.000079
6,3,0.996124,0.000002,0.000098,0.000100,0.000079
7,4,0.996124,0.000002,0.000099,0.000100,0.000079
8,4,0.996072,0.000002,0.000098,0.000100,0.000080
9,5,0.996061,0.000004,0.000102,0.000105,0.000082
10,5,0.996011,0.000002,0.000098,0.000100,0.000082
11,7,0.996030,0.000002,0.000099,0.000100,0.000082
12,8,0.996095,0.000006,0.000098,0.000104,0.000082
13,7,0.996087,0.000002,0.000101,0.000103,0.000095
14,8,0.996062,0.000002,0.000099,0.000101,0.000093
15,11,0.996106,0.000002,0.000100,0.000102,0.000094
16,13,0.996111,0.000002,0.000101,0.000102,0.000094
17,15,0.996140,0.000002,0.000101,0.000103,0.000094
18,16,0.996132,0.000002,0.000103,0.000105,0.000095
19,16,0.996134,0.000002,0.000103,0.000105,0.000095
20,16,0.996173,0.000008,0.000103,0.000111,0.000095
21,17,0.996222,0.000002,0.000103,0.000105,0.000093
22,17,0.996253,0.000003,0.000106,0.000109,0.000100
23,23,0.996286,0.000002,0.000104,0.000106,0.000100
24,26,0.996277,0.000002,0.000107,0.000108,0.000101
25,27,0.996304,0.000002,0.000105,0.000107,0.000101
26,27,0.996285,0.000002,0.000106,0.000108,0.000101
27,28,0.996320,0.000002,0.000107,0.000108,0.000101
28,30,0.996323,0.000002,0.000107,0.000108,0.000101
29,31,0.996331,0.000002,0.000106,0.000108,0.000101
30,32,0.996384,0.000002,0.000106,0.000108,0.000102
31,33,0.996403,0.000002,0.000109,0.000110,0.000097
32,33,0.996431,0.000002,0.000107,0.000109,0.000097
33,34,0.996443,0.000004,0.000106,0.000110,0.000097
34,38,0.996416,0.000002,0.000109,0.000111,0.000089
35,38,0.996412,0.000002,0.000109,0.000111,0.000085
36,37,0.996407,0.000002,0.000107,0.000109,0.000085
37,39,0.996431,0.000002,0.000107,0.000109,0.000086
38,40,0.996458,0.000002,0.000107,0.000108,0.000086
39,40,0.996477,0.000002,0.000106,0.000108,0.000086
40,43,0.996497,0.000002,0.000108,0.000110,0.000086
41,44,0.996498,0.000002,0.000108,0.000110,0.000086
42,46,0.996496,0.000002,0.000109,0.000110,0.000086
43,47,0.996475,0.000002,0.000108,0.000110,0.000086
44,50,0.996493,0.000002,0.000109,0.000111,0.000086
45,51,0.996478,0.000002,0.000109,0.000111,0.000086
46,50,0.996510,0.000002,0.000110,0.000111,0.000086
47,51,0.996529,0.000002,0.000109,0.000111,0.000087
48,52,0.996497,0.000002,0.000108,0.000110,0.000086
49,53,0.996541,0.000002,0.000109,0.000110,0.000086
50,52,0.996498,0.000002,0.000110,0.000112,0.000086
51,51,0.996508,0.000002,0.000109,0.000111,0.000086
52,52,0.996515,0.000002,0.000109,0.000111,0.000086
53,53,0.996531,0.000002,0.000112,0.000114,0.000086
54,54,0.996534,0.000002,0.000111,0.000113,0.000086
55,57,0.996528,0.000002,0.000110,0.000112,0.000086
56,58,0.996548,0.000002,0.000111,0.000112,0.000086
57,61,0.996561,0.000002,0.000110,0.000112,0.000087
58,61,0.996590,0.000002,0.000110,0.000112,0.000086
59,61,0.996553,0.000002,0.000110,0.000112,0.000087
60,61,0.996520,0.000002,0.000111,0.000113,0.000087
61,61,0.996534,0.000002,0.000111,0.000113,0.000087
62,60,0.996494,0.000002,0.000111,0.000113,0.000087
63,60,0.996487,0.000002,0.000111,0.000113,0.000087
64,62,0.996537,0.000002,0.000111,0.000113,0.000087
65,61,0.996571,0.000002,0.000111,0.000113,0.000087
66,61,0.996606,0.000002,0.000113,0.000114,0.000088
67,63,0.996611,0.000002,0.000111,0.000113,0.000087
68,63,0.996622,0.000002,0.000111,0.000113,0.000087
69,61,0.996602,0.000002,0.000112,0.000114,0.000087
70,60,0.996592,0.000002,0.000112,0.000113,0.000087
71,62,0.996636,0.000002,0.000110,0.000112,0.000087
72,62,0.996639,0.000002,0.000111,0.000113,0.000087
73,62,0.996611,0.000002,0.000111,0.000113,0.000087
74,62,0.996601,0.000002,0.000111,0.000113,0.000087
75,62,0.996576,0.000002,0.000112,0.000114,0.000087
76,61,0.996551,0.000002,0.000111,0.000112,0.000087
77,61,0.996561,0.000002,0.000112,0.000113,0.000088
78,63,0.996563,0.000002,0.000112,0.000114,0.000087
79,63,0.996543,0.000002,0.000112,0.000113,0.000087
80,69,0.996545,0.000002,0.000111,0.000113,0.000087
81,71,0.996588,0.000002,0.000112,0.000113,0.000087
82,75,0.996602,0.000002,0.000111,0.000113,0.000087
83,77,0.996590,0.000002,0.000112,0.000113,0.000087
84,80,0.996583,0.000002,0.000112,0.000114,0.000087
85,81,0.996567,0.000002,0.000112,0.000113,0.000087
86,80,0.996606,0.000002,0.000112,0.000113,0.000087
87,79,0.996572,0.000002,0.000110,0.000112,0.000087
88,79,0.996571,0.000002,0.000113,0.000114,0.000087
89,80,0.996560,0.000002,0.000111,0.000113,0.000087
90,82,0.996606,0.000002,0.000112,0.000114,0.000087
91,82,0.996583,0.000002,0.000112,0.000114,0.000087
92,81,0.996561,0.000002,0.000113,0.000114,0.000087
93,80,0.996570,0.000002,0.000112,0.000114,0.000087
94,82,0.996555,0.000002,0.000114,0.000116,0.000087
95,81,0.996550,0.000002,0.000114,0.000115,0.000087
96,83,0.996567,0.000002,0.000112,0.000114,0.000087
97,84,0.996587,0.000002,0.000113,0.000115,0.000087
98,86,0.996599,0.000002,0.000114,0.000115,0.000087
99,84,0.996613,0.000002,0.000114,0.000116,0.000087
100,84,0.996622,0.000002,0.000113,0.000114,0.000088
101,84,0.996636,0.000002,0.000112,0.000114,0.000088
102,86,0.996654,0.000002,0.000113,0.000114,0.000087
103,84,0.996614,0.000002,0.000113,0.000115,0.000087
104,85,0.996577,0.000002,0.000114,0.000116,0.000087
105,83,0.996578,0.000002,0.000112,0.000114,0.000087
106,84,0.996563,0.000002,0.000115,0.000117,0.000087
107,85,0.996581,0.000002,0.000113,0.000115,0.000087
108,86,0.996641,0.000002,0.000113,0.000115,0.000087
109,85,0.996653,0.000002,0.000113,0.000114,0.000087
110,85,0.996669,0.000002,0.000113,0.000115,0.000087
111,86,0.996660,0.000002,0.000113,0.000115,0.000087
112,85,0.996639,0.000002,0.000114,0.000115,0.000089
113,85,0.996651,0.000002,0.000113,0.000114,0.000088
114,83,0.996645,0.000002,0.000113,0.000115,0.000088
115,84,0.996640,0.000002,0.000114,0.000115,0.000087
116,84,0.996638,0.000002,0.000113,0.000114,0.000087
117,84,0.996638,0.000002,0.000113,0.000115,0.000087
118,85,0.996634,0.000002,0.000113,0.000115,0.000087
119,87,0.996602,0.000002,0.000113,0.000115,0.000087
120,88,0.996628,0.000002,0.000113,0.000115,0.000088
121,89,0.996592,0.000002,0.000113,0.000115,0.000087
122,85,0.996596,0.000002,0.000113,0.000114,0.000087
123,84,0.996568,0.000002,0.000114,0.000116,0.000087
124,86,0.996574,0.000002,0.000114,0.000116,0.000087
125,89,0.996571,0.000002,0.000114,0.000116,0.000087
126,89,0.996575,0.000002,0.000113,0.000115,0.000087
127,89,0.996586,0.000002,0.000113,0.000115,0.000087
128,92,0.996562,0.000002,0.000115,0.000117,0.000087
129,92,0.996607,0.000002,0.000114,0.000116,0.000087
130,91,0.996559,0.000002,0.000115,0.000116,0.000087
131,91,0.996562,0.000002,0.000114,0.000116,0.000087
132,93,0.996575,0.000002,0.000114,0.000116,0.000087
133,94,0.996554,0.000002,0.000114,0.000116,0.000087
134,91,0.996575,0.000002,0.000114,0.000116,0.000088
135,90,0.996607,0.000002,0.000115,0.000116,0.000087
136,92,0.996618,0.000002,0.000113,0.000115,0.000087
137,93,0.996602,0.000002,0.000113,0.000115,0.000087
138,92,0.996618,0.000002,0.000113,0.000114,0.000087
139,92,0.996630,0.000002,0.000114,0.000116,0.000088
140,95,0.996605,0.000002,0.000114,0.000115,0.000088
141,98,0.996619,0.000002,0.000114,0.000116,0.000088
142,98,0.996608,0.000002,0.000113,0.000115,0.000087
143,98,0.996623,0.000002,0.000114,0.000115,0.000087
144,98,0.996613,0.000002,0.000115,0.000117,0.000087
145,97,0.996582,0.000002,0.000114,0.000116,0.000088
146,99,0.996574,0.000002,0.000114,0.000116,0.000088
147,100,0.996589,0.000002,0.000114,0.000116,0.000088
148,100,0.996565,0.000002,0.000114,0.000116,0.000087
149,102,0.996585,0.000002,0.000114,0.000116,0.000088
150,103,0.996528,0.000002,0.000114,0.000116,0.000088
151,102,0.996569,0.000002,0.000114,0.000116,0.000087
152,102,0.996553,0.000002,0.000114,0.000116,0.000087
153,100,0.996593,0.000002,0.000114,0.000116,0.000087
154,98,0.996633,0.000002,0.000113,0.000115,0.000087
155,99,0.996618,0.000002,0.000115,0.000116,0.000087
