iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,937,0.927429,0.000001,0.000101,0.000102,0.000324
2,1072,0.925151,0.000001,0.000091,0.000092,0.000320
3,1152,0.923132,0.000001,0.000090,0.000091,0.000298
4,1237,0.921421,0.000001,0.000087,0.000088,0.000299
5,1341,0.919878,0.000001,0.000089,0.000090,0.000293
6,1412,0.918525,0.000001,0.000087,0.000088,0.000291
7,1484,0.917334,0.000001,0.000086,0.000087,0.000294
8,1552,0.916272,0.000001,0.000087,0.000088,0.000294
9,1661,0.915257,0.000001,0.000088,0.000089,0.000295
10,1706,0.914319,0.000001,0.000086,0.000087,0.000288
11,1753,0.913438,0.000001,0.000085,0.000086,0.000285
12,1799,0.912597,0.000001,0.000083,0.000085,0.000287
13,1838,0.911819,0.000001,0.000083,0.000084,0.000285
14,1947,0.911107,0.000001,0.000082,0.000083,0.000284
15,1985,0.910449,0.000001,0.000083,0.000084,0.000286
16,2052,0.909766,0.000001,0.000082,0.000083,0.000280
17,2121,0.909155,0.000001,0.000081,0.000082,0.000285
18,2174,0.908547,0.000001,0.000082,0.000083,0.000276
19,2243,0.907964,0.000001,0.000081,0.000082,0.000275
20,2292,0.907415,0.000001,0.000081,0.000082,0.000274
21,2406,0.906944,0.000001,0.000080,0.000081,0.000275
22,2468,0.906449,0.000001,0.000080,0.000081,0.000275
23,2511,0.905985,0.000001,0.000080,0.000081,0.000273
24,2554,0.905487,0.000001,0.000080,0.000081,0.000271
25,2610,0.905019,0.000001,0.000079,0.000080,0.000276
26,2681,0.904657,0.000001,0.000074,0.000075,0.000260
27,2716,0.904241,0.000001,0.000074,0.000075,0.000262
28,2766,0.903815,0.000001,0.000074,0.000075,0.000259
29,2811,0.903436,0.000001,0.000074,0.000075,0.000257
30,2869,0.903013,0.000001,0.000073,0.000074,0.000257
31,2963,0.902657,0.000001,0.000073,0.000074,0.000259
32,3018,0.902363,0.000001,0.000073,0.000074,0.000256
33,3078,0.902053,0.000001,0.000073,0.000074,0.000258
34,3182,0.901715,0.000001,0.000074,0.000075,0.000259
35,3267,0.901360,0.000001,0.000075,0.000076,0.000261
36,3375,0.901034,0.000001,0.000075,0.000076,0.000257
37,3436,0.900720,0.000001,0.000074,0.000075,0.000260
38,3506,0.900476,0.000002,0.000075,0.000077,0.000258
39,3544,0.900175,0.000001,0.000074,0.000076,0.000262
40,3607,0.899885,0.000001,0.000074,0.000075,0.000255
41,3689,0.899618,0.000001,0.000074,0.000075,0.000256
42,3794,0.899374,0.000001,0.000072,0.000073,0.000257
