ef,recall,query_time
1000,0.896235,0.000315
1100,0.907143,0.000325
1200,0.916293,0.000356
1300,0.924075,0.000380
1400,0.930772,0.000411
1500,0.936619,0.000438
1600,0.941649,0.000472
1700,0.946100,0.000500
1800,0.950034,0.000529
1900,0.953559,0.000559
2000,0.956705,0.000582
2100,0.959517,0.000598
2200,0.962053,0.000630
2300,0.964359,0.000660
2400,0.966454,0.000693
2500,0.968381,0.000715
2600,0.970126,0.000742
2700,0.971744,0.000770
2800,0.973208,0.000797
2900,0.974549,0.000816
3000,0.975809,0.000846
3100,0.976956,0.000878
3200,0.978028,0.000904
3300,0.979008,0.000926
3400,0.979920,0.000953
3500,0.980806,0.000980
3600,0.981626,0.001007
3700,0.982382,0.001038
3800,0.983099,0.001058
3900,0.983770,0.001081
4000,0.984424,0.001106
4100,0.985026,0.001138
4200,0.985582,0.001167
4300,0.986116,0.001190
4400,0.986617,0.001216
4500,0.987078,0.001250
4600,0.987519,0.001269
4700,0.987940,0.001299
4800,0.988354,0.001328
4900,0.988740,0.001353
5000,0.989102,0.001378
5100,0.989441,0.001407
5200,0.989777,0.001426
5300,0.990091,0.001455
5400,0.990389,0.001479
5500,0.990668,0.001510
5600,0.990946,0.001532
5700,0.991195,0.001556
5800,0.991443,0.001577
5900,0.991673,0.001608
6000,0.991904,0.001635
6100,0.992130,0.001665
6200,0.992343,0.001687
6300,0.992541,0.001714
6400,0.992721,0.001751
6500,0.992905,0.001773
6600,0.993080,0.001796
6700,0.993250,0.001821
6800,0.993421,0.001849
6900,0.993582,0.001876
7000,0.993737,0.001896
7100,0.993888,0.001929
7200,0.994032,0.001945
7300,0.994169,0.001974
7400,0.994304,0.002005
7500,0.994435,0.002024
7600,0.994558,0.002056
7700,0.994681,0.002079
7800,0.994802,0.002113
7900,0.994907,0.002144
8000,0.995016,0.002167
8100,0.995123,0.002187
8200,0.995223,0.002218
8300,0.995322,0.002241
8400,0.995417,0.002278
8500,0.995515,0.002303
8600,0.995601,0.002340
8700,0.995681,0.002347
8800,0.995764,0.002370
8900,0.995849,0.002407
9000,0.995931,0.002432
9100,0.996003,0.002456
9200,0.996078,0.002545
9300,0.996156,0.002594
9400,0.996226,0.002572
9500,0.996294,0.002589
9600,0.996360,0.002591
9700,0.996423,0.002609
9800,0.996488,0.002635
9900,0.996545,0.002667
10000,0.996602,0.002706
