iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.960812,0.009095,0.000076,0.009170,0.018707
2,0,0.960812,0.008779,0.000077,0.008856,0.019585
3,0,0.960812,0.008686,0.000079,0.008765,0.019675
4,0,0.960812,0.008774,0.000077,0.008851,0.018450
5,0,0.960812,0.008781,0.000079,0.008860,0.018503
6,0,0.960812,0.008808,0.000068,0.008876,0.019819
7,0,0.960812,0.008920,0.000080,0.009000,0.018637
8,0,0.960812,0.008868,0.000063,0.008931,0.019071
9,0,0.960812,0.008854,0.000076,0.008930,0.018745
10,0,0.960812,0.008847,0.000071,0.008918,0.018641
11,0,0.960812,0.008782,0.000075,0.008857,0.018749
12,0,0.960812,0.008707,0.000078,0.008785,0.019448
13,0,0.960812,0.008707,0.000070,0.008776,0.018505
14,0,0.960812,0.008858,0.000079,0.008938,0.018518
15,0,0.960812,0.008885,0.000079,0.008965,0.018512
16,0,0.960812,0.008823,0.000079,0.008902,0.018513
17,0,0.960812,0.008893,0.000067,0.008960,0.018582
18,0,0.960812,0.009007,0.000074,0.009081,0.018519
19,0,0.960812,0.008780,0.000079,0.008859,0.018818
20,0,0.960812,0.008782,0.000069,0.008851,0.018672
21,0,0.960812,0.008858,0.000078,0.008935,0.018735
22,0,0.960812,0.008767,0.000077,0.008845,0.018756
23,0,0.960812,0.008979,0.000059,0.009038,0.019865
24,0,0.960812,0.008958,0.000068,0.009026,0.018662
25,0,0.960812,0.008819,0.000079,0.008898,0.018769
26,0,0.960812,0.008855,0.000079,0.008934,0.018488
27,0,0.960812,0.008934,0.000069,0.009003,0.018629
28,0,0.960812,0.008906,0.000076,0.008982,0.018494
29,0,0.960812,0.008863,0.000074,0.008937,0.018697
30,0,0.960812,0.008893,0.000080,0.008973,0.018482
31,0,0.960812,0.008802,0.000075,0.008877,0.018827
32,0,0.960812,0.008939,0.000079,0.009018,0.018568
33,0,0.960812,0.008995,0.000060,0.009056,0.018482
34,0,0.960812,0.008979,0.000071,0.009051,0.018707
35,0,0.960812,0.008939,0.000077,0.009016,0.018690
36,0,0.960812,0.008851,0.000079,0.008930,0.018690
37,0,0.960812,0.008814,0.000073,0.008887,0.018720
38,0,0.960812,0.008712,0.000069,0.008781,0.018930
39,0,0.960812,0.008936,0.000079,0.009015,0.019485
40,0,0.960812,0.008926,0.000078,0.009004,0.018671
41,0,0.960812,0.008948,0.000080,0.009028,0.019557
42,0,0.960812,0.008887,0.000078,0.008965,0.019778
43,0,0.960812,0.008819,0.000066,0.008885,0.019292
44,0,0.960812,0.008847,0.000078,0.008926,0.018553
45,0,0.960812,0.008836,0.000076,0.008913,0.018573
46,0,0.960812,0.008880,0.000067,0.008946,0.018727
47,0,0.960812,0.008856,0.000079,0.008934,0.018423
48,0,0.960812,0.008902,0.000068,0.008970,0.018478
49,0,0.960812,0.008783,0.000079,0.008862,0.018809
50,0,0.960812,0.008858,0.000077,0.008935,0.018771
51,0,0.960812,0.008713,0.000079,0.008793,0.018612
52,0,0.960812,0.008749,0.000069,0.008818,0.018751
53,0,0.960812,0.008790,0.000079,0.008870,0.018635
54,0,0.960812,0.008928,0.000079,0.009007,0.018604
55,0,0.960812,0.008777,0.000075,0.008852,0.018473
56,0,0.960812,0.008788,0.000079,0.008867,0.018632
57,0,0.960812,0.008790,0.000080,0.008870,0.020631
58,0,0.960812,0.008825,0.000070,0.008895,0.018792
