iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,1486,0.929178,0.000001,0.000194,0.000195,0.000302
2,2126,0.928466,0.000001,0.000187,0.000189,0.000291
3,2737,0.928042,0.000001,0.000187,0.000189,0.000295
4,3338,0.927857,0.000001,0.000186,0.000187,0.000294
5,4138,0.927841,0.000001,0.000191,0.000192,0.000299
6,4849,0.927947,0.000001,0.000189,0.000190,0.000303
7,5750,0.928147,0.000001,0.000190,0.000191,0.000298
8,6325,0.928407,0.000001,0.000191,0.000192,0.000305
9,7290,0.928654,0.000001,0.000191,0.000192,0.000308
10,7853,0.928976,0.000001,0.000193,0.000194,0.000309
11,8366,0.929292,0.000001,0.000196,0.000198,0.000309
12,8892,0.929551,0.000001,0.000196,0.000197,0.000315
13,9447,0.929784,0.000001,0.000199,0.000200,0.000311
14,10390,0.930071,0.000001,0.000197,0.000198,0.000313
15,10890,0.930387,0.000001,0.000199,0.000200,0.000313
16,11532,0.930693,0.000001,0.000198,0.000199,0.000323
17,12017,0.930998,0.000001,0.000198,0.000199,0.000314
18,12579,0.931263,0.000001,0.000200,0.000201,0.000317
19,13241,0.931503,0.000001,0.000201,0.000202,0.000315
20,13688,0.931718,0.000001,0.000202,0.000203,0.000320
21,14268,0.931946,0.000001,0.000201,0.000202,0.000318
22,14868,0.932130,0.000001,0.000202,0.000203,0.000318
23,15422,0.932304,0.000001,0.000204,0.000205,0.000321
24,15984,0.932490,0.000001,0.000204,0.000206,0.000320
25,16643,0.932659,0.000001,0.000203,0.000204,0.000323
26,17206,0.932851,0.000001,0.000203,0.000204,0.000321
27,17735,0.933020,0.000001,0.000205,0.000206,0.000321
28,18353,0.933156,0.000001,0.000205,0.000206,0.000324
29,19017,0.933274,0.000001,0.000205,0.000206,0.000322
30,19568,0.933430,0.000001,0.000202,0.000203,0.000321
31,20153,0.933551,0.000001,0.000204,0.000205,0.000321
32,20775,0.933644,0.000001,0.000204,0.000205,0.000322
33,21454,0.933744,0.000001,0.000204,0.000205,0.000325
34,22051,0.933871,0.000001,0.000204,0.000205,0.000324
35,22641,0.933949,0.000001,0.000206,0.000207,0.000322
36,23313,0.934033,0.000001,0.000204,0.000205,0.000322
37,23911,0.934088,0.000001,0.000204,0.000205,0.000323
38,24564,0.934141,0.000001,0.000207,0.000208,0.000322
39,25115,0.934218,0.000001,0.000207,0.000208,0.000323
40,25722,0.934287,0.000001,0.000207,0.000208,0.000329
41,26319,0.934363,0.000001,0.000208,0.000209,0.000324
42,26918,0.934454,0.000001,0.000208,0.000209,0.000322
43,27522,0.934508,0.000001,0.000208,0.000209,0.000323
44,28154,0.934572,0.000001,0.000206,0.000207,0.000327
45,28707,0.934606,0.000001,0.000208,0.000209,0.000329
46,29281,0.934629,0.000001,0.000207,0.000208,0.000328
47,29998,0.934621,0.000001,0.000210,0.000211,0.000324
48,31145,0.934683,0.000001,0.000207,0.000208,0.000324
49,31820,0.934746,0.000001,0.000210,0.000211,0.000324
50,32472,0.934780,0.000001,0.000209,0.000211,0.000326
51,33123,0.934793,0.000001,0.000208,0.000209,0.000324
52,33831,0.934855,0.000001,0.000209,0.000210,0.000323
53,34421,0.934861,0.000001,0.000210,0.000211,0.000325
54,34998,0.934890,0.000001,0.000210,0.000211,0.000324
55,35623,0.934942,0.000001,0.000211,0.000212,0.000323
56,36098,0.934999,0.000001,0.000209,0.000210,0.000323
57,36662,0.934997,0.000001,0.000211,0.000212,0.000324
58,37291,0.935023,0.000001,0.000210,0.000211,0.000326
59,38004,0.935062,0.000001,0.000212,0.000213,0.000325
60,38754,0.935071,0.000001,0.000210,0.000211,0.000323
61,39429,0.935153,0.000001,0.000209,0.000210,0.000324
62,40105,0.935148,0.000001,0.000213,0.000214,0.000325
63,40770,0.935132,0.000001,0.000211,0.000212,0.000326
64,41212,0.935191,0.000001,0.000212,0.000213,0.000326
65,41703,0.935178,0.000001,0.000212,0.000213,0.000327
66,42253,0.935216,0.000001,0.000210,0.000211,0.000324
67,42977,0.935227,0.000001,0.000211,0.000212,0.000327
68,43506,0.935269,0.000001,0.000212,0.000213,0.000327
69,44060,0.935278,0.000001,0.000211,0.000212,0.000327
70,44615,0.935312,0.000001,0.000211,0.000212,0.000327
71,45256,0.935356,0.000001,0.000212,0.000213,0.000327
72,45783,0.935353,0.000001,0.000213,0.000214,0.000324
73,46258,0.935343,0.000001,0.000211,0.000212,0.000327
74,46704,0.935372,0.000001,0.000212,0.000213,0.000325
75,47127,0.935368,0.000001,0.000213,0.000214,0.000327
76,47617,0.935304,0.000001,0.000213,0.000214,0.000327
77,48350,0.935314,0.000001,0.000213,0.000214,0.000325
78,48676,0.935323,0.000001,0.000212,0.000213,0.000326
79,49078,0.935320,0.000001,0.000214,0.000215,0.000325
80,49515,0.935362,0.000001,0.000214,0.000215,0.000324
81,49981,0.935393,0.000001,0.000213,0.000214,0.000324
82,50372,0.935380,0.000001,0.000214,0.000215,0.000324
83,50995,0.935428,0.000001,0.000212,0.000214,0.000325
84,51431,0.935416,0.000001,0.000213,0.000214,0.000326
85,51848,0.935411,0.000001,0.000213,0.000215,0.000325
86,52233,0.935453,0.000001,0.000212,0.000213,0.000324
87,52510,0.935449,0.000001,0.000213,0.000214,0.000325
88,52743,0.935458,0.000001,0.000213,0.000215,0.000327
89,53018,0.935442,0.000001,0.000214,0.000215,0.000328
90,53135,0.935438,0.000001,0.000215,0.000216,0.000325
91,53219,0.935421,0.000001,0.000216,0.000217,0.000328
92,53456,0.935423,0.000001,0.000214,0.000215,0.000328
93,53602,0.935419,0.000001,0.000215,0.000216,0.000330
94,53806,0.935444,0.000001,0.000215,0.000216,0.000326
95,54110,0.935428,0.000001,0.000216,0.000217,0.000325
96,54173,0.935443,0.000001,0.000216,0.000217,0.000324
97,54178,0.935411,0.000001,0.000217,0.000218,0.000324
98,54125,0.935450,0.000001,0.000215,0.000217,0.000328
99,54070,0.935474,0.000001,0.000216,0.000217,0.000326
100,54054,0.935466,0.000001,0.000216,0.000217,0.000326
