ef,recall,query_time
1000,0.935466,0.000401
1100,0.942931,0.000427
1200,0.949076,0.000459
1300,0.954249,0.000493
1400,0.958580,0.000533
1500,0.962276,0.000569
1600,0.965503,0.000615
1700,0.968277,0.000653
1800,0.970711,0.000685
1900,0.972854,0.000723
2000,0.974752,0.000747
2100,0.976453,0.000787
2200,0.977963,0.000833
2300,0.979316,0.000864
2400,0.980548,0.000895
2500,0.981656,0.000935
2600,0.982682,0.000970
2700,0.983603,0.000987
2800,0.984449,0.001023
2900,0.985233,0.001058
3000,0.985950,0.001093
3100,0.986600,0.001132
3200,0.987212,0.001162
3300,0.987780,0.001199
3400,0.988311,0.001226
3500,0.988794,0.001263
3600,0.989255,0.001308
3700,0.989692,0.001336
3800,0.990089,0.001363
3900,0.990473,0.001393
4000,0.990812,0.001432
4100,0.991148,0.001467
4200,0.991460,0.001496
4300,0.991758,0.001543
4400,0.992042,0.001566
4500,0.992303,0.001597
4600,0.992553,0.001648
4700,0.992788,0.001682
4800,0.993011,0.001723
4900,0.993222,0.001742
5000,0.993427,0.001787
5100,0.993630,0.001803
5200,0.993810,0.001835
5300,0.993976,0.001884
5400,0.994138,0.001902
5500,0.994292,0.001941
5600,0.994452,0.001985
5700,0.994599,0.002011
5800,0.994737,0.002040
5900,0.994878,0.002073
6000,0.995007,0.002107
6100,0.995125,0.002146
6200,0.995246,0.002169
6300,0.995356,0.002197
6400,0.995470,0.002246
6500,0.995570,0.002257
6600,0.995672,0.002310
6700,0.995764,0.002344
6800,0.995857,0.002389
6900,0.995942,0.002396
7000,0.996027,0.002433
7100,0.996110,0.002474
7200,0.996184,0.002511
7300,0.996260,0.002533
7400,0.996333,0.002585
7500,0.996411,0.002597
7600,0.996483,0.002632
7700,0.996547,0.002655
7800,0.996611,0.002720
7900,0.996672,0.002739
8000,0.996733,0.002797
8100,0.996796,0.002806
8200,0.996853,0.002835
8300,0.996909,0.002844
8400,0.996957,0.002887
8500,0.997010,0.002922
8600,0.997060,0.002962
8700,0.997105,0.002980
8800,0.997150,0.003034
8900,0.997197,0.003054
9000,0.997245,0.003100
9100,0.997288,0.003123
9200,0.997330,0.003159
9300,0.997368,0.003198
9400,0.997411,0.003224
9500,0.997452,0.003252
9600,0.997491,0.003275
9700,0.997524,0.003308
9800,0.997562,0.003350
9900,0.997596,0.003382
10000,0.997631,0.003418
