ef,recall,query_time
1100,0.924962,0.000330
1200,0.932801,0.000359
1300,0.939461,0.000386
1400,0.945053,0.000413
1500,0.949910,0.000440
1600,0.954126,0.000467
1700,0.957796,0.000495
1800,0.961102,0.000522
1900,0.963938,0.000550
2000,0.966515,0.000577
2100,0.968810,0.000605
2200,0.970867,0.000631
2300,0.972738,0.000660
2400,0.974410,0.000686
2500,0.975945,0.000715
2600,0.977337,0.000741
2700,0.978647,0.000766
2800,0.979824,0.000794
2900,0.980883,0.000820
3000,0.981873,0.000848
3100,0.982800,0.000875
3200,0.983647,0.000903
3300,0.984425,0.000931
3400,0.985150,0.000957
3500,0.985820,0.000986
3600,0.986460,0.001010
3700,0.987042,0.001035
3800,0.987589,0.001066
3900,0.988118,0.001090
4000,0.988613,0.001117
4100,0.989065,0.001139
4200,0.989504,0.001166
4300,0.989899,0.001194
4400,0.990280,0.001219
4500,0.990640,0.001246
4600,0.990972,0.001271
4700,0.991296,0.001299
4800,0.991603,0.001327
4900,0.991906,0.001354
5000,0.992181,0.001379
5100,0.992443,0.001404
5200,0.992688,0.001432
5300,0.992929,0.001459
5400,0.993159,0.001483
5500,0.993366,0.001516
5600,0.993570,0.001537
5700,0.993765,0.001564
5800,0.993950,0.001590
5900,0.994127,0.001613
6000,0.994297,0.001640
6100,0.994464,0.001665
6200,0.994624,0.001693
6300,0.994776,0.001723
6400,0.994917,0.001749
6500,0.995051,0.001776
6600,0.995186,0.001802
6700,0.995314,0.001829
6800,0.995434,0.001857
6900,0.995549,0.001883
7000,0.995667,0.001906
7100,0.995775,0.001935
7200,0.995875,0.001956
7300,0.995976,0.001984
7400,0.996072,0.002008
7500,0.996167,0.002041
7600,0.996257,0.002066
7700,0.996337,0.002089
7800,0.996423,0.002119
7900,0.996505,0.002144
8000,0.996581,0.002172
8100,0.996659,0.002196
8200,0.996728,0.002221
8300,0.996796,0.002242
8400,0.996864,0.002271
8500,0.996932,0.002299
8600,0.996994,0.002320
8700,0.997052,0.002346
8800,0.997113,0.002390
8900,0.997174,0.002408
9000,0.997226,0.002414
9100,0.997281,0.002450
9200,0.997340,0.002468
9300,0.997389,0.002490
9400,0.997439,0.002525
9500,0.997485,0.002549
9600,0.997533,0.002574
9700,0.997579,0.002602
9800,0.997624,0.002627
9900,0.997670,0.002647
10000,0.997711,0.002670
