iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,1366,0.929438,0.000002,0.000146,0.000147,0.000329
2,1940,0.928803,0.000009,0.000142,0.000150,0.000334
3,2506,0.928339,0.000006,0.000137,0.000143,0.000331
4,2978,0.928013,0.000002,0.000135,0.000137,0.000326
5,3400,0.927830,0.000001,0.000134,0.000136,0.000326
6,3818,0.927728,0.000007,0.000134,0.000141,0.000333
7,4238,0.927652,0.000001,0.000133,0.000134,0.000330
8,4615,0.927648,0.000001,0.000133,0.000134,0.000330
9,4966,0.927698,0.000007,0.000133,0.000140,0.000333
10,5339,0.927724,0.000001,0.000133,0.000134,0.000335
11,5727,0.927822,0.000001,0.000133,0.000135,0.000335
12,6091,0.927932,0.000004,0.000133,0.000137,0.000335
13,6456,0.928006,0.000004,0.000133,0.000137,0.000334
14,6847,0.928051,0.000002,0.000134,0.000135,0.000336
15,7187,0.928159,0.000001,0.000134,0.000136,0.000337
16,7517,0.928208,0.000001,0.000134,0.000135,0.000338
17,7857,0.928253,0.000006,0.000134,0.000140,0.000338
18,8198,0.928351,0.000003,0.000135,0.000137,0.000340
19,8522,0.928411,0.000001,0.000135,0.000136,0.000340
20,8859,0.928490,0.000001,0.000135,0.000137,0.000345
21,9214,0.928533,0.000001,0.000135,0.000137,0.000344
22,9541,0.928614,0.000005,0.000135,0.000139,0.000340
23,9875,0.928688,0.000004,0.000136,0.000140,0.000341
24,10222,0.928728,0.000001,0.000135,0.000137,0.000340
25,10572,0.928775,0.000001,0.000135,0.000137,0.000341
26,10909,0.928824,0.000001,0.000136,0.000137,0.000344
27,11243,0.928873,0.000005,0.000135,0.000141,0.000348
28,11575,0.928914,0.000005,0.000136,0.000140,0.000347
29,11873,0.928965,0.000001,0.000136,0.000137,0.000349
30,12210,0.928972,0.000001,0.000136,0.000138,0.000343
31,12530,0.928985,0.000001,0.000136,0.000137,0.000344
32,12859,0.928994,0.000005,0.000136,0.000142,0.000345
33,13197,0.929006,0.000002,0.000136,0.000138,0.000344
34,13515,0.929063,0.000002,0.000136,0.000139,0.000348
35,13887,0.929067,0.000001,0.000136,0.000137,0.000348
36,14213,0.929076,0.000001,0.000137,0.000138,0.000343
37,14574,0.929058,0.000001,0.000137,0.000139,0.000344
38,14965,0.929056,0.000005,0.000137,0.000142,0.000346
39,15369,0.929104,0.000005,0.000138,0.000142,0.000345
40,15727,0.929116,0.000001,0.000137,0.000139,0.000345
41,16056,0.929085,0.000001,0.000138,0.000139,0.000344
42,16396,0.929071,0.000001,0.000138,0.000139,0.000349
43,16774,0.929074,0.000005,0.000139,0.000144,0.000346
44,17156,0.929039,0.000003,0.000138,0.000142,0.000346
45,17510,0.929039,0.000001,0.000138,0.000140,0.000344
46,17873,0.929057,0.000001,0.000137,0.000138,0.000344
47,18251,0.928996,0.000001,0.000137,0.000139,0.000344
48,18580,0.928988,0.000004,0.000137,0.000141,0.000348
49,18973,0.928956,0.000002,0.000138,0.000139,0.000345
50,19314,0.928912,0.000005,0.000137,0.000142,0.000349
51,19606,0.928902,0.000001,0.000138,0.000140,0.000343
52,19908,0.928926,0.000001,0.000138,0.000139,0.000348
53,20276,0.928900,0.000001,0.000137,0.000139,0.000349
54,20590,0.928919,0.000005,0.000138,0.000143,0.000345
55,20966,0.928921,0.000006,0.000138,0.000144,0.000348
56,21335,0.928942,0.000001,0.000137,0.000139,0.000344
57,21735,0.928946,0.000001,0.000137,0.000139,0.000340
58,22128,0.928947,0.000001,0.000138,0.000140,0.000343
59,22457,0.928941,0.000003,0.000138,0.000141,0.000346
60,22828,0.928918,0.000002,0.000138,0.000139,0.000349
61,23234,0.928890,0.000006,0.000138,0.000144,0.000348
62,23635,0.928902,0.000001,0.000138,0.000139,0.000345
63,24022,0.928855,0.000001,0.000138,0.000139,0.000344
64,24431,0.928867,0.000001,0.000137,0.000139,0.000341
65,24748,0.928872,0.000001,0.000138,0.000140,0.000344
66,25165,0.928867,0.000003,0.000137,0.000140,0.000344
67,25528,0.928836,0.000001,0.000138,0.000139,0.000345
68,25913,0.928765,0.000005,0.000138,0.000144,0.000344
69,26323,0.928754,0.000001,0.000138,0.000139,0.000343
70,26692,0.928767,0.000001,0.000138,0.000139,0.000342
71,27047,0.928744,0.000001,0.000138,0.000139,0.000342
72,27425,0.928722,0.000001,0.000137,0.000139,0.000343
73,27847,0.928710,0.000005,0.000137,0.000142,0.000346
74,28184,0.928701,0.000006,0.000138,0.000144,0.000343
75,28528,0.928688,0.000001,0.000138,0.000139,0.000342
76,28897,0.928601,0.000001,0.000137,0.000139,0.000341
77,29361,0.928587,0.000001,0.000138,0.000139,0.000342
78,29729,0.928562,0.000003,0.000138,0.000141,0.000345
79,30110,0.928539,0.000001,0.000138,0.000139,0.000343
80,30510,0.928552,0.000006,0.000138,0.000144,0.000341
81,30897,0.928539,0.000001,0.000138,0.000139,0.000342
82,31321,0.928550,0.000001,0.000138,0.000140,0.000341
83,31723,0.928539,0.000001,0.000137,0.000139,0.000342
84,32147,0.928497,0.000001,0.000138,0.000139,0.000341
85,32526,0.928482,0.000004,0.000138,0.000142,0.000345
86,32889,0.928487,0.000002,0.000139,0.000140,0.000344
87,33303,0.928509,0.000005,0.000138,0.000143,0.000342
88,33629,0.928462,0.000001,0.000139,0.000141,0.000343
89,33958,0.928450,0.000001,0.000138,0.000139,0.000342
90,34321,0.928436,0.000001,0.000138,0.000139,0.000342
91,34712,0.928437,0.000001,0.000138,0.000140,0.000342
92,35079,0.928445,0.000004,0.000138,0.000142,0.000342
93,35488,0.928442,0.000006,0.000139,0.000145,0.000342
94,35852,0.928392,0.000001,0.000139,0.000140,0.000345
95,36236,0.928339,0.000001,0.000138,0.000140,0.000341
96,36608,0.928305,0.000001,0.000138,0.000140,0.000341
97,37000,0.928314,0.000001,0.000138,0.000140,0.000340
98,37366,0.928305,0.000004,0.000138,0.000143,0.000341
99,37735,0.928311,0.000006,0.000138,0.000144,0.000341
100,38109,0.928316,0.000001,0.000138,0.000140,0.000340
