iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,0,0.960812,0.008694,0.000067,0.008761,0.019302
2,0,0.960812,0.008796,0.000070,0.008866,0.018796
3,0,0.960812,0.008898,0.000064,0.008962,0.019013
4,0,0.960812,0.008796,0.000080,0.008876,0.019770
5,0,0.960812,0.008943,0.000065,0.009008,0.019395
6,0,0.960812,0.008883,0.000075,0.008958,0.020139
7,0,0.960812,0.008834,0.000068,0.008902,0.020309
8,0,0.960812,0.009074,0.000063,0.009137,0.019631
9,0,0.960812,0.008945,0.000076,0.009021,0.020104
10,0,0.960812,0.008739,0.000066,0.008805,0.019119
11,0,0.960812,0.008915,0.000077,0.008992,0.019355
12,0,0.960812,0.009005,0.000078,0.009083,0.020005
13,0,0.960812,0.008976,0.000077,0.009053,0.019292
14,0,0.960812,0.008756,0.000060,0.008816,0.019734
15,0,0.960812,0.009084,0.000076,0.009160,0.018854
16,0,0.960812,0.008870,0.000068,0.008938,0.019758
17,0,0.960812,0.008751,0.000077,0.008828,0.020329
18,0,0.960812,0.008760,0.000072,0.008832,0.020345
19,0,0.960812,0.008726,0.000077,0.008803,0.020030
20,0,0.960812,0.009015,0.000069,0.009084,0.020076
21,0,0.960812,0.008736,0.000070,0.008806,0.019667
22,0,0.960812,0.008737,0.000062,0.008799,0.019725
23,0,0.960812,0.009034,0.000075,0.009109,0.018741
24,0,0.960812,0.008827,0.000068,0.008895,0.019418
25,0,0.960812,0.008699,0.000070,0.008769,0.019433
26,0,0.960812,0.008707,0.000075,0.008782,0.020540
27,0,0.960812,0.008744,0.000072,0.008816,0.019390
28,0,0.960812,0.008773,0.000063,0.008836,0.019648
29,0,0.960812,0.008958,0.000071,0.009029,0.019613
30,0,0.960812,0.008750,0.000068,0.008818,0.019839
31,0,0.960812,0.008735,0.000069,0.008804,0.020082
32,0,0.960812,0.008999,0.000060,0.009059,0.018941
33,0,0.960812,0.008960,0.000063,0.009023,0.019603
34,0,0.960812,0.008864,0.000065,0.008929,0.020251
35,0,0.960812,0.008911,0.000074,0.008985,0.019460
36,0,0.960812,0.008814,0.000059,0.008873,0.019057
37,0,0.960812,0.008883,0.000068,0.008951,0.019878
38,0,0.960812,0.008893,0.000078,0.008971,0.020247
39,0,0.960812,0.008844,0.000061,0.008905,0.018588
40,0,0.960812,0.009057,0.000070,0.009127,0.020144
41,0,0.960812,0.008693,0.000076,0.008769,0.020242
42,0,0.960812,0.009006,0.000079,0.009085,0.019457
43,0,0.960812,0.008737,0.000075,0.008812,0.020595
44,0,0.960812,0.009012,0.000074,0.009086,0.020166
45,0,0.960812,0.008938,0.000076,0.009014,0.020137
46,0,0.960812,0.009031,0.000068,0.009099,0.020081
47,0,0.960812,0.008726,0.000076,0.008802,0.018778
48,0,0.960812,0.008915,0.000059,0.008974,0.018924
49,0,0.960812,0.008891,0.000078,0.008969,0.019462
50,0,0.960812,0.008975,0.000068,0.009043,0.019026
51,0,0.960812,0.008905,0.000071,0.008976,0.019356
52,0,0.960812,0.008907,0.000064,0.008971,0.020388
53,0,0.960812,0.008862,0.000075,0.008937,0.020248
54,0,0.960812,0.008812,0.000061,0.008873,0.019824
55,0,0.960812,0.008883,0.000077,0.008960,0.020322
56,0,0.960812,0.008734,0.000076,0.008810,0.020159
57,0,0.960812,0.009079,0.000064,0.009143,0.019386
58,0,0.960812,0.008978,0.000076,0.009054,0.018889
