iteration_number,unreachable_points_number,recall,avg_delete_time,avg_add_time,avg_sum_delete_add_time,avg_query_time
1,1512,0.929431,0.000002,0.000168,0.000169,0.000345
2,2209,0.928810,0.000006,0.000163,0.000169,0.000324
3,2885,0.928426,0.000007,0.000162,0.000168,0.000334
4,3483,0.928251,0.000005,0.000164,0.000169,0.000338
5,4045,0.928209,0.000003,0.000162,0.000165,0.000336
6,4610,0.928234,0.000001,0.000166,0.000167,0.000338
7,5127,0.928383,0.000007,0.000166,0.000173,0.000341
8,5634,0.928548,0.000001,0.000167,0.000168,0.000328
9,6151,0.928814,0.000001,0.000169,0.000170,0.000337
10,6677,0.929020,0.000004,0.000173,0.000177,0.000332
11,7152,0.929309,0.000003,0.000174,0.000177,0.000333
12,7633,0.929596,0.000001,0.000175,0.000176,0.000333
13,8127,0.929847,0.000001,0.000176,0.000177,0.000334
14,8578,0.930086,0.000001,0.000178,0.000179,0.000334
15,9087,0.930350,0.000008,0.000179,0.000187,0.000342
16,9547,0.930586,0.000004,0.000182,0.000186,0.000342
17,10051,0.930745,0.000001,0.000181,0.000183,0.000339
18,10534,0.930966,0.000001,0.000183,0.000185,0.000341
19,11026,0.931175,0.000001,0.000185,0.000186,0.000342
20,11532,0.931341,0.000007,0.000186,0.000194,0.000347
21,12038,0.931535,0.000005,0.000187,0.000192,0.000381
22,12574,0.931755,0.000001,0.000188,0.000189,0.000344
23,13063,0.931964,0.000001,0.000189,0.000190,0.000345
24,13576,0.932096,0.000001,0.000190,0.000191,0.000356
25,14101,0.932246,0.000002,0.000191,0.000193,0.000354
26,14644,0.932377,0.000005,0.000191,0.000196,0.000349
27,15125,0.932485,0.000001,0.000192,0.000194,0.000349
28,15637,0.932603,0.000001,0.000192,0.000193,0.000349
29,16142,0.932768,0.000001,0.000193,0.000195,0.000349
30,16634,0.932838,0.000001,0.000195,0.000196,0.000351
31,17149,0.932954,0.000005,0.000195,0.000200,0.000351
32,17633,0.933045,0.000004,0.000195,0.000200,0.000349
33,18205,0.933112,0.000001,0.000195,0.000197,0.000348
34,18665,0.933192,0.000001,0.000195,0.000197,0.000348
35,19214,0.933235,0.000001,0.000196,0.000197,0.000348
36,19744,0.933337,0.000001,0.000197,0.000198,0.000352
37,20317,0.933379,0.000005,0.000197,0.000202,0.000349
38,20973,0.933445,0.000004,0.000198,0.000202,0.000350
39,21546,0.933486,0.000001,0.000198,0.000199,0.000349
40,22216,0.933541,0.000001,0.000200,0.000201,0.000351
41,22793,0.933571,0.000001,0.000200,0.000201,0.000350
42,23344,0.933569,0.000003,0.000199,0.000203,0.000352
43,23964,0.933650,0.000002,0.000200,0.000202,0.000351
44,24571,0.933697,0.000001,0.000200,0.000202,0.000350
45,25206,0.933744,0.000001,0.000200,0.000202,0.000352
46,25850,0.933788,0.000001,0.000201,0.000202,0.000350
47,26482,0.933821,0.000001,0.000201,0.000202,0.000350
48,27163,0.933839,0.000005,0.000201,0.000206,0.000353
49,27780,0.933892,0.000005,0.000201,0.000206,0.000353
50,28381,0.933883,0.000001,0.000202,0.000203,0.000349
51,28995,0.933883,0.000001,0.000202,0.000203,0.000350
52,29640,0.933897,0.000001,0.000202,0.000203,0.000349
53,30302,0.933932,0.000001,0.000202,0.000203,0.000354
54,30917,0.933979,0.000003,0.000202,0.000206,0.000350
55,31563,0.934021,0.000005,0.000203,0.000208,0.000351
56,32217,0.934079,0.000001,0.000203,0.000204,0.000350
57,32858,0.934129,0.000001,0.000204,0.000205,0.000350
58,33428,0.934149,0.000001,0.000204,0.000206,0.000350
59,34001,0.934168,0.000004,0.000204,0.000208,0.000350
60,34722,0.934153,0.000002,0.000204,0.000206,0.000353
61,35380,0.934206,0.000002,0.000205,0.000207,0.000351
62,36057,0.934233,0.000001,0.000205,0.000206,0.000350
63,36729,0.934205,0.000001,0.000205,0.000207,0.000349
64,37322,0.934192,0.000001,0.000204,0.000205,0.000352
65,37955,0.934192,0.000004,0.000206,0.000210,0.000353
66,38606,0.934228,0.000002,0.000206,0.000208,0.000352
67,39318,0.934247,0.000002,0.000205,0.000207,0.000349
68,40027,0.934265,0.000001,0.000205,0.000206,0.000352
69,40658,0.934275,0.000001,0.000205,0.000207,0.000350
70,41268,0.934322,0.000001,0.000206,0.000207,0.000349
71,41932,0.934280,0.000001,0.000206,0.000207,0.000350
72,42561,0.934312,0.000004,0.000206,0.000210,0.000349
73,43318,0.934285,0.000005,0.000207,0.000212,0.000353
74,43965,0.934300,0.000001,0.000206,0.000208,0.000352
75,44647,0.934279,0.000001,0.000206,0.000208,0.000350
76,45252,0.934253,0.000001,0.000206,0.000208,0.000350
77,45901,0.934270,0.000001,0.000207,0.000209,0.000352
78,46580,0.934293,0.000003,0.000207,0.000210,0.000350
79,47258,0.934324,0.000005,0.000207,0.000213,0.000351
80,47859,0.934290,0.000001,0.000208,0.000209,0.000350
81,48482,0.934255,0.000001,0.000207,0.000208,0.000349
82,49115,0.934262,0.000001,0.000207,0.000208,0.000349
83,49788,0.934256,0.000003,0.000208,0.000210,0.000350
84,50464,0.934235,0.000005,0.000207,0.000212,0.000353
85,51092,0.934235,0.000001,0.000207,0.000208,0.000351
86,51768,0.934206,0.000001,0.000207,0.000209,0.000349
87,52414,0.934221,0.000001,0.000207,0.000209,0.000348
88,53067,0.934208,0.000001,0.000208,0.000209,0.000349
89,53682,0.934219,0.000006,0.000207,0.000213,0.000352
90,54306,0.934214,0.000005,0.000208,0.000213,0.000350
91,55020,0.934211,0.000001,0.000208,0.000209,0.000350
92,55687,0.934167,0.000001,0.000208,0.000210,0.000348
93,56375,0.934184,0.000001,0.000208,0.000210,0.000348
94,57000,0.934180,0.000001,0.000208,0.000210,0.000349
95,57586,0.934192,0.000004,0.000208,0.000212,0.000349
96,58187,0.934168,0.000006,0.000209,0.000215,0.000349
97,58949,0.934188,0.000001,0.000208,0.000210,0.000349
98,59600,0.934171,0.000001,0.000209,0.000210,0.000348
99,60247,0.934155,0.000001,0.000209,0.000210,0.000347
100,60933,0.934176,0.000001,0.000208,0.000210,0.000355
