ef,recall,query_time
1000,0.933980,0.000349
1100,0.944200,0.000375
1200,0.951000,0.000407
1300,0.956200,0.000440
1400,0.960400,0.000472
1500,0.963700,0.000508
1600,0.966500,0.000549
1700,0.968800,0.000587
1800,0.970800,0.000619
1900,0.972500,0.000652
2000,0.974100,0.000677
2100,0.975600,0.000713
2200,0.977000,0.000751
2300,0.978300,0.000782
2400,0.979500,0.000814
2500,0.980600,0.000854
2600,0.981600,0.000885
2700,0.982500,0.000905
2800,0.983400,0.000943
2900,0.984200,0.000975
3000,0.985000,0.001006
3100,0.985600,0.001046
3200,0.986200,0.001077
3300,0.986800,0.001113
3400,0.987300,0.001139
3500,0.987800,0.001175
3600,0.988300,0.001223
3700,0.988800,0.001252
3800,0.989200,0.001282
3900,0.989600,0.001313
4000,0.990000,0.001356
4100,0.990400,0.001392
4200,0.990700,0.001418
4300,0.991000,0.001465
4400,0.991300,0.001491
4500,0.991600,0.001527
4600,0.991900,0.001574
4700,0.992200,0.001609
4800,0.992500,0.001642
4900,0.992800,0.001670
5000,0.993100,0.001715
5100,0.993400,0.001731
5200,0.993700,0.001769
5300,0.993900,0.001816
5400,0.994100,0.001834
5500,0.994300,0.001869
5600,0.994500,0.001917
5700,0.994700,0.001943
5800,0.994900,0.001973
5900,0.995100,0.002009
6000,0.995300,0.002043
6100,0.995500,0.002080
6200,0.995700,0.002108
6300,0.995900,0.002153
6400,0.996100,0.002196
6500,0.996200,0.002222
6600,0.996300,0.002274
6700,0.996400,0.002310
6800,0.996500,0.002359
6900,0.996600,0.002370
7000,0.996700,0.002403
7100,0.996800,0.002444
7200,0.996900,0.002480
7300,0.997000,0.002505
7400,0.997100,0.002560
7500,0.997200,0.002571
7600,0.997300,0.002611
7700,0.997400,0.002632
7800,0.997500,0.002699
7900,0.997600,0.002719
8000,0.997700,0.002773
8100,0.997800,0.002780
8200,0.997900,0.002812
8300,0.998000,0.002822
8400,0.998100,0.002865
8500,0.998200,0.002899
8600,0.998300,0.002944
8700,0.998400,0.002960
8800,0.998500,0.003015
8900,0.998600,0.003034
9000,0.998700,0.003080
9100,0.998800,0.003098
9200,0.998900,0.003134
9300,0.999000,0.003172
9400,0.999100,0.003200
9500,0.999200,0.003225
9600,0.999300,0.003248
9700,0.999400,0.003281
9800,0.999500,0.003323
9900,0.999600,0.003356
10000,0.999700,0.003391
